names(nla12_dd_wt)
SITE_ID
VISIT_NO
UID
SID
YEAR
DATE_COL_iso
SAMPLE_ID
SAMPLED_PHAB
dD
d18O
d_excess
E_I
RT_iso
RT_modeled
Water_yield_m
Modeled_Water_yield_m
Lake_precip_m
Lake_evap_m
Volume_Corrected_m3
VertDD_use
HorizDD_use
L_VertDD_use
L_HorizDD_use
DDHzSqrtA_sc
DDVrtDix_sc
L_DDHzSqrtA_sc
L_DDVrtDix_sc
VertDD_CONDc315
HorizDD_CONDc315
Drawdown_CONDus15
RT_NLA12_2015
LkArea_km2
L_LkAreakm2
DpthMx_use
L_DpthMx_use
PERIM_KM
ELEV_use
L_ELEV_use
LATdd_use
LONdd_use
XCOORD
YCOORD
STATE
URBAN
Lake_Origin_use
NARS_NAME
LAKE_ORIGIN
LAKE_ORIGIN12
COMID2012
COMID2007
COMIDS2007
ECOWSA9_2015
WSA9_LO
ECOP5_2015
ECOP6_2015
TNT
RESAMPLED12
SIZE_CLASS
SITETYPE
WGT_ALL
WGT_CAT.v1
CH0712_CAT
CH0712_WGT
CH0712_USE
CAT_UNIQUE
BORD_LAKE
SAM_CODE
ALUMINUM_RESULT_mgL
AMMONIA_N_RESULT_mgL
ANC_RESULT_ueqL
CALCIUM_RESULT_mgL
CHLORIDE_RESULT_mgL
COLOR_RESULT_PtCo
COND_RESULT_uscm
DOC_RESULT_mgL
MAGNESIUM_RESULT_mgL
NITRATE_N_RESULT_mgL
NITRATE_NITRITE_N_RESULT_mgL
NITRITE_N_RESULT_mgL
NTL_RESULT_mgL
PH_RESULT
POTASSIUM_RESULT_mgL
PTL_RESULT_ugL
SILICA_RESULT_mgL
SODIUM_RESULT_mgL
SULFATE_RESULT_mgL
TOC_RESULT_mgL
TSS_RESULT_mgL
TURB_RESULT_NTU
CHLL_RESULT_ugL
SECCHI_m
MICL_RESULT_ugL
AMFCALL
AMFCEMERGENT
AMFCFLOATING
AMFCSUBMERGENT
BFFFLAT
BFFGRADUAL
BFFSTEEP
BFFVERTICAL
BFOANGLE
BFXHORIZDIST
BFXHORIZDIST_DD
BFXVERTHEIGHT
BFXVERTHEIGHT_DD
BSFCBEDROCK
BSFCBOULDERS
BSFCCOBBLE
BSFCGRAVEL
BSFCORGANIC
BSFCSAND
BSFCSILT
BSFCWOOD
BSISITEVARIETY
BSISTAVARIETY
BSVLDIA
BSXLDIA
FCFCAQUATIC
FCFCAQUATIC_DD
FCFCAQUATIC_LIT
FCFCAQUATIC_SIM
FCFCBOULDERS
FCFCBOULDERS_DD
FCFCBOULDERS_LIT
FCFCBOULDERS_SIM
FCFCBRUSH
FCFCBRUSH_DD
FCFCBRUSH_LIT
FCFCBRUSH_SIM
FCFCLEDGES
FCFCLEDGES_DD
FCFCLEDGES_LIT
FCFCLEDGES_SIM
FCFCLIVETREES
FCFCLIVETREES_DD
FCFCLIVETREES_LIT
FCFCLIVETREES_SIM
FCFCSNAG
FCFCSNAGS_DD
FCFCSNAGS_LIT
FCFCSNAGS_SIM
FCFCSTRUCTURES
FCFCSTRUCTURES_DD
FCFCSTRUCTURES_LIT
FCFCSTRUCTURES_SIM
HIFPANY_SYN
HIFPANYCIRCA_SYN
HIIAG_SYN
HIIAGCIRCA_SYN
HIIALL_SYN
HIIALLCIRCA_SYN
HIINONAG_SYN
HIINONAGCIRCA_SYN
HIPWAG_SYN
HIPWALL_SYN
HIPWBUILDINGS_SYN
HIPWCOMMERCIAL_SYN
HIPWCROPS_SYN
HIPWDOCKS_SYN
HIPWLANDFILL_SYN
HIPWLAWN_SYN
HIPWNONAG_SYN
HIPWORCHARD_SYN
HIPWOTHER_SYN
HIPWPARK_SYN
HIPWPASTURE_SYN
HIPWPOWERLINES_SYN
HIPWROADS_SYN
HIPWWALLS_SYN
LitCvrQc3OE
LitRipCvrQc3OE
RDis_IX
RVegQc3OE
RVFCCANBIG
RVFCCANBIG_DD
RVFCCANBIG_RIP
RVFCCANBIG_SYN
RVFCCANSMALL
RVFCCANSMALL_DD
RVFCCANSMALL_RIP
RVFCCANSMALL_SYN
RVFCGNDBARE
RVFCGNDBARE_DD
RVFCGNDBARE_RIP
RVFCGNDBARE_SYN
RVFCGNDINUNDATED
RVFCGNDINUNDATED_DD
RVFCGNDINUNDATED_RIP
RVFCGNDINUNDATED_SYN
RVFCGNDNONW
RVFCGNDNONW_DD
RVFCGNDNONW_RIP
RVFCGNDNONW_SYN
RVFCGNDWOODY
RVFCGNDWOODY_DD
RVFCGNDWOODY_RIP
RVFCGNDWOODY_SYN
RVFCUNDNONW
RVFCUNDNONW_DD
RVFCUNDNONW_RIP
RVFCUNDNONW_SYN
RVFCUNDWOODY
RVFCUNDWOODY_DD
RVFCUNDWOODY_RIP
RVFCUNDWOODY_SYN
RVICANOPY
RVICANOPY_DD
RVICANOPY_RIP
RVICANOPY_SYN
RVICANUND
RVICANUND_DD
RVICANUND_RIP
RVICANUND_SYN
RVIGROUND
RVIGROUND_DD
RVIGROUND_RIP
RVIGROUND_SYN
RVIHERBS
RVIHERBS_DD
RVIHERBS_RIP
RVIHERBS_SYN
RVITALLWOOD
RVITALLWOOD_DD
RVITALLWOOD_RIP
RVITALLWOOD_SYN
RVITOTALVEG
RVITOTALVEG_DD
RVITOTALVEG_RIP
RVITOTALVEG_SYN
RVIUNDERSTORY
RVIUNDERSTORY_DD
RVIUNDERSTORY_RIP
RVIUNDERSTORY_SYN
RVIWOODY
RVIWOODY_DD
RVIWOODY_RIP
RVIWOODY_SYN
SIVDEPTH
SIXDEPTH
SSFCBEDROCK
SSFCBOULDERS
SSFCCOBBLE
SSFCGRAVEL
SSFCORGANIC
SSFCOTHER
SSFCSAND
SSFCSILT
SSFCWOOD
SSISITEVARIETY
SSISTAVARIETY
SSVLDIA
SSXLDIA
BASINAreaSqKM
OPEN_11_km2
ICE_11_km2
DEVOPEN_11_km2
DEVLOW_11_km2
DEVMED_11_km2
DEVHIGH_11_km2
BARREN_11_km2
DECID_11_km2
CONIF_11_km2
MIXED_11_km2
SHRUBLAND_11_km2
GRASS_11_km2
PASTURE_11_km2
CROPS_11_km2
WDYWET_11_km2
EMHERBWET_11_km2
DOMGEOL_BSN
SITE_GEOLOGY
ELEVMAX_BSN_m
ELEVMEAN_BSN_m
ELEVMIN_BSN_m
AGR_CROPLAND
AGR_FEEDLOT
AGR_LIVESTOCK
AGR_ORCHARDS
AGR_PASTURE
AGR_POULTRY
AGR_SCORE
AGR_STRING
AGR_WITHDRAWAL
APPEALING
BIOTIC_INTEGRITY
IND_COMMERCIAL
IND_FIRE
IND_INDUSTRIAL
IND_LOGGING
IND_MINES
IND_ODORS
IND_OIL
IND_POWER
IND_SCORE
IND_STRING
HYDRO_TYPE
