SITE_ID,DOMGEOL_BSN,DAMCNT_BSN,DAMDEN_BSN,ELEV_SITE,ELEVMAX_BSN,ELEVMEAN_BSN,ELEVMIN_BSN,GNEISSAREA_BSN,GNEISSPCT_BSN,GRANITICAREA_BSN,GRANITICPCT_BSN,HOUSEDEN_BSN,MAFULAREA_BSN,MAFULPCT_BSN,PERMRATE_BSN,PERMRATE_SITE,POPDEN_BSN,PSUM6M_BSN,PSUMPY_BSN,QTRNRYAREA_BSN,QTRNRYPCT_BSN,ROADDEN_BSN,SANDPCT_BSN,SITE_GEOLOGY,PMEAN_BSN,PMIN_BSN,PMAX_BSN,PIP_BSN,TIP_BSN,TMEAN_BSN,TMAX_BSN,TMIN_BSN,TMEANSD_BSN,TMINSD_BSN,TMAXSD_BSN,PMIN_PT,PMAX_PT,PMEAN_PT,PIP_PT,TIP_PT,TMIN_PT,TMAX_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT
NLA_MI-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_ND-199,SDMNTRY,0,0,48929,51133,49708.69922,48928,0,0,0,0,1.43314,0,0,14,14,2.222039,10660.2002,51853.69922,0,0,1.1987,50,SDMNTRY,44768.5,1009,8345.360352,18961.59961,1734.02002,471.358002,1100.589966,-157.856995,113.089996,106.268997,129.863007,1009,8345,44761,19042,1735.800049,-160,1100,469.653992,-640.833008,685.375
NLA12_ND-201,SDMNTRY,0,0,56186,60530,58366.19922,56185,0,0,0,0,0.927909,0,0,3,3,1.680209,10695.2002,57801.19922,0,0,1.65207,12,SDMNTRY,49228.60156,1009.210022,8803.280273,22261.59961,1784.579956,507.973999,1128.160034,-112.218002,108.748001,112.414002,122.341003,1016,8776,49266,22246,1785.900024,-107,1132,512.104981,-610.5,723.791992
NLA12_ND-202,SDMNTRY,0,0,68475,71076,69778.29688,68423,0,0,0,0,0.533693,0,0,3,3,0.768209,7504.799805,50790.10156,0,0,1.87942,30,SDMNTRY,39558.19922,919.367004,7648,21148.90039,1649.23999,402.903992,1053.540039,-247.778,107.209,102.843002,118.307999,914,7654,39470,21305,1651.400024,-244,1056,406,-678.323975,627.700012
NLA12_ND-R17,SDMNTRY,1,0.018434335,56064,67758,58617.60156,56023,0,0,0,0,1.260179,0,0,12.053299,0,1.69289,11137.29981,59259.5,0,0,1.05824,39.844299,SDMNTRY,47743.10156,933.820984,8778.070313,23555.80078,1766.900024,494.872009,1115.339966,-125.596001,108.474999,108.605003,124.001999,924,8723,47643,23725,1775.199951,-114,1122,504.06601,-604,724.583008
NLA12_ND-R18,SDMNTRY,0,0,53621,61689,55827,53605,0,0,0,0,0.72149,0,0,15.604499,19,0.991887,8411.400391,54296.60156,0,0,1.40791,47.996799,SDMNTRY,47186.60156,1045.219971,8905.450195,22517.90039,1785.640015,505.144989,1124.310059,-114.011002,109.781998,113.968002,120,1049,8902,47180,22688,1788.400024,-112,1135,511.496002,-645.333008,710.875
NLA12_NE-101,SDMNTRY,328,0.006735573,59349,181866,103349,57233,0,0,0,0,2.261859,0,0,7.335239,0,4.487969,12821.7002,56079.89844,0,0,1.18602,23.0608,SDMNTRY,50139.19922,1003.190002,8286.990234,14038.79981,2205.169922,1038.77002,1818.160034,259.38501,72.135002,61.988602,93.530701,1172,12205,60905,19350,2255.979981,386,1841,1113.51001,-85.564697,1189.569946
NLA12_NE-102,SDMNTRY,0,0,88943,93033,90356.5,88940,0,0,0,0,0.192172,0,0,28,28,0.304913,15354.90039,68746.5,0,0,0.6467,80,SDMNTRY,56516.80078,986.085022,9066.219727,11877,2138.919922,897.767029,1613.449951,182.125,102.685997,88.956497,121.857002,986,9076,56650,12017,2142.600098,187,1614,900.294006,-149.832993,1021.039978
NLA12_NE-103,SDMNTRY,5,0.002925293,78542,105554,93123.79688,78499,0,0,0,0,0.974355,0,0,12.691699,0,1.92218,12979,60571.80078,0,0,1.00276,38.952598,SDMNTRY,52472.80078,928.317017,8735.519531,12508.5,2167.979981,1002.210022,1760.310059,244.106995,71.111397,60.115799,91.8116,944,12205,52030,12421,2180.899902,277,1807,1041.619995,-139,1096.170044
NLA12_NE-104,SDMNTRY,1,7.83082e-4,61076,78627,68889.20313,60945,0,0,0,0,0.854351,0,0,28.519599,27,1.392889,17388,70715.10156,0,0,0.636349,72.512603,SDMNTRY,64666.39844,1280.180054,10003.90039,14003.2002,2084.030029,894.245972,1593.280029,195.214005,84.863503,73.991402,107.605003,1350,10192,67172,13744,2124.899902,246,1617,931.546997,-194.832993,1053.540039
NLA12_NE-105,SDMNTRY,0,0,88793,93323,90217.79688,88792,0,0,0,0,0.192172,0,0,28,28,0.304913,15397.90039,68617.10156,0,0,0.348403,80,SDMNTRY,56169.89844,987.994019,9039.080078,11595,2127.699951,893.101013,1613.349976,172.852005,98.500603,85.481499,117.421997,992,9034,56086,11540,2123.800049,170,1613,891.505981,-153.167007,1016.5
