SITE_ID,Precip_mm_avg_yr,Precip_mm_total_yr,Temp_degC_avg_yr,P_WY_m,E_m,E_avg_11_12,RH_PT_avg_11_12,temp_degC_summer,precip_mm_summer,temp_degC_winter,precip_mm_winter,temp_degC_spring,precip_mm_spring
NLA12_AL-101,111.059229,1443.769977,18.40076901,1.345419978674,0.98095813878,81.746511565,3.674741475,25.267999648,103.13999811333333,9.974999747,132.79999543333332,20.018333436666666,101.94333139999999
NLA12_AL-102,118.9761534,1546.689995,16.36384608,1.43268999466,0.8721767529800001,72.68139608166666,3.28043103,23.346000288,114.43333433333333,8.035000006333334,157.89999898,17.844999946666665,77.57333308666666
NLA12_AL-103,100.4369224,1305.679991,17.3446155,1.21668999304,0.92647414829,77.20617902416667,3.50416806,24.394999694000003,118.48000083666666,8.765000343333334,96.16999818,18.93166733,98.10333380000002
NLA12_AL-104,114.7976919,1492.369995,17.87230741,1.4563399963330002,0.93354167851,77.79513987583333,3.587239665,24.426999664,135.20332846666668,9.74666659,158.85333253333334,19.27499962,116.76667147999997
NLA12_AL-105,125.5599982,1632.279977,18.90269221,1.5674399801690002,0.99056891687,82.54740973916667,3.849724842,25.484999849999998,193.60666148666667,11.173333168666668,132.94333143333333,20.32333374,122.31666693000001
NLA12_AL-112,113.198462,1471.580006,17.85576938,1.34571000303,0.95616623222,79.68051935166667,3.613249573,24.939000324,129.96000164,9.065000215333333,137.14000193333334,19.678333283333334,96.16999819333334
NLA12_AL-113,143.2146153,1861.789999,19.91230759,1.800479997245,1.03248454879,86.04037906583333,4.095428439,26.002999878000004,275.23666383333335,12.636666613333333,127.98333487333332,21.14333343666667,134.32333373999998
NLA12_AL-114,103.3392302,1343.409992,17.37269211,1.2590299949400001,0.93290788624,77.74232385333333,3.513781395,24.556000136,108.98666634333334,8.703333219000001,115.46333312333331,19.053332646666664,99.45666631333334
NLA12_AL-R03,94.2815386,1225.660002,16.75269222,1.15873000147,0.8760507066300001,73.0042255525,3.385241403,23.304999542,87.20333481,8.908333460666666,122.61666615999998,18.136666613333333,94.34333293000002
NLA12_AL-R05,116.0215388,1508.280005,18.38769223,1.4040100079000002,0.9803867777799999,81.69889814833333,3.681248583,25.281999968,114.88333067,9.948333105333333,134.55666860000002,20.008333203333336,102.39666812
NLA12_AR-101,114.3930774,1487.110006,18.12615384,1.3903400097199998,1.01984433724,84.98702810333333,3.682050817,26.275999831999997,73.85999996666668,7.656666596666668,128.50333405666666,19.948333103333333,97.17333220333332
NLA12_AR-102,102.8523083,1337.080008,17.36653834,1.24978000449,0.98283541067,81.90295088916666,3.512337932,25.593999864,40.65666516666666,6.581666628333333,120.60000101333334,19.584999720000003,74.54999923666666
NLA12_AR-103,107.3992307,1396.189999,18.05653865,1.31970000095,1.01713632579,84.7613604825,3.652067663,26.319000624,67.72333336666667,7.708333333333333,112.74332939,19.506666816666666,87.99000105333333
NLA12_AR-104,108.9723072,1416.639994,17.37038418,1.24972999006,1.00055923277,83.37993606416667,3.529805245,26.055999374,69.60666657333333,6.404999891999999,104.22666675666666,18.838332493333333,103.41666477
NLA12_AR-105,122.255384,1589.319992,18.20461552,1.476569992107,0.99161715511,82.63476292583333,3.71101232,25.740000152,108.69333139333332,8.671666463333333,147.8933309,19.828333536666666,133.87666701566664
NLA12_AR-106,109.2499997,1420.249996,16.55269252,1.32917999655,0.9415068613800001,78.458905115,3.328895978,24.820000458,52.71333313,5.699999968333333,123.87999980666666,18.736667,85.82333502333334
NLA12_AR-109,83.82230758,1089.689999,18.37076906,1.03334999842,1.01783205789,84.8193381575,3.831210918,26.338000108,59.53000004999999,8.289999644333333,109.67000069999999,19.549999873333334,98.67999902000001
NLA12_AR-111,131.0107689,1703.139996,18.18115359,1.60596999743,1.0272581035400001,85.60484196166666,3.692973998,26.42299957,111.07999927333333,7.585000038333334,133.33333334,20.0183328,103.11666743666666
NLA12_AZ-101,24.35538503,316.6200054,22.21269233,0.31017000559,1.28681258618,107.23438218166666,4.784844608,30.321000671999997,27.356667836666663,12.214999833333332,21.316666689,21.16833369,14.016666890333333
NLA12_AZ-102,28.86769267,375.2800047,13.3238459,0.371880004647,0.74272038192,61.89336516,2.922120241,21.359999466,54.660001120000004,3.6866664883333335,23.733332872333335,12.319999695,18.85333379
NLA12_AZ-103,39.511538,513.649994,9.400384537,0.491559993804,0.57417250204,47.84770850333333,2.333819179,16.94599991,68.899999,0.47499998400000004,29.250000001333333,8.454999923,24.38666598
NLA12_AZ-106,8.480769221,110.2499999,23.53730803,0.10638999997899999,1.40044143729,116.7034531075,5.426876009,31.87800064,16.670000076666668,13.410000483333334,5.940000116333334,22.80333391666667,1.6500000756666668
NLA12_AZ-107,15.70461537,204.1599998,11.99961528,0.199889999867,0.69620946631,58.017455525833334,2.684602461,20.423999788000003,42.37000012466667,1.6466666063333335,9.396666487333333,11.628333251,1.8133333126666666
NLA12_AZ-118,12.35230769,160.58,22.97692299,0.159779999963,1.36439608306,113.69967358833334,5.10511901,31.44299965,22.70666694666667,12.54666678,12.49333318,22.08499972333333,3.9299999079999997
NLA12_AZ-123,6.729230669,87.4799987,24.16307735,0.085049998636,1.44678670406,120.56555867166666,5.619625355,32.362001037999995,14.25999991,14.039999960000001,4.4033332073333336,23.14499982,1.1066666643333334
NLA12_AZ-127,35.83461593,465.850007,9.988846248,0.446260006878,0.5926394004600001,49.386616705,2.37461053,17.393000222,68.21000225566667,1.4083333806666667,22.889999707,8.566666444333334,27.62666702333333
NLA12_AZ-130,19.76923095,257.0000024,21.89153855,0.244520002846,1.26523811187,105.4365093225,4.705057636,30.032999802,24.840000153333335,11.881666501,20.076667149,20.835000676666667,12.140000185333335
NLA12_AZ-140,18.35923092,238.6700019,18.58576932,0.238000001899,1.02471173462,85.39264455166666,3.895501948,26.710000609999998,35.07666746733333,8.353333314333334,22.490000406666667,18.263333003333333,4.386666615999999
NLA12_AZ-143,40.00000028,520.0000036,11.28692301,0.495970002909,0.64278284655,53.5652372125,2.551373635,18.729999924000005,63.703333143,2.556666692,32.55999978333333,10.081666787000001,32.996667226666666
NLA12_AZ-145,31.99846192,415.980005,9.310384659,0.410360005134,0.5556278713,46.302322608333334,2.250814601,16.270000076,63.21000099133334,0.8466666536666666,27.803333282,8.514999787333332,7.263333241333332
NLA12_AZ-157,28.15846163,366.0600011,8.496538418,0.351090000875,0.53713932152,44.76161012666667,2.171377849,15.863999936000003,56.18999997766667,-0.5266666413333333,22.896667004333334,7.814999897,6.170000076333333
NLA12_AZ-R01,47.48461577,617.300005,10.32923066,0.5958100051899999,0.59920613012,49.93384417666667,2.458116729,17.603999708000003,55.10666656666666,1.6416666510000002,55.10999997333334,9.286666551666666,31.490000406666667
NLA12_AZ-R02,36.27076849,471.5199904,10.40269221,0.46570999045999995,0.61462741083,51.2189509025,2.508550771,18.239000128,69.57666427533333,0.7483332953333331,46.80999978333333,9.711666425333332,12.256666501333333
NLA12_CA-101,53.08692411,690.1300134,13.98846127,0.6403100137190001,0.67096584556,55.91382046333333,3.025519958,17.152999876000003,1.3499999643333334,9.695000011666666,67.94000259966667,12.858332953333333,104.26000206233333
NLA12_CA-102,33.59538498,436.7400048,14.8380767,0.425750005009,0.7509122433500001,62.57602027916667,3.392690881,20.70399971,8.050000191,7.833333174333333,36.856666563333334,12.668333053333333,56.80666708933333
NLA12_CA-103,108.5461528,1411.099986,10.05807686,1.301999987938,0.58790930499,48.9924420825,2.651382804,16.813000105999997,15.863333642999999,3.4283332029999998,100.17999839533333,6.751666783333334,246.2366644633333
NLA12_CA-104,27.90999961,362.8299949,6.756923162,0.339769995395,0.47873298052999996,39.894415044166664,2.037559876,13.631000327200002,13.370000283000001,-0.7216665743333334,41.259999603333334,4.823333501666667,40.76333236666667
NLA12_CA-105,29.27307672,380.5499973,16.32653886,0.35306999777,0.8416779141099999,70.13982617583333,3.640118837,22.25700035,0.173333327,9.095000108333334,31.809998986333337,15.295000393333334,65.10666656000001
NLA12_CA-106,3.74,48.62,23.54076928,0.048619999998,1.37978653002,114.982210835,5.659556645,31.588000486000006,9.363333385666666,13.706666949999999,3.900000032,22.32333310333333,0.34999998400000004
NLA12_CA-107,71.48846192,929.3500049,8.000384606,0.8595300052229999,0.51221959809,42.6849665075,2.276752652,14.540999985,13.136666693333332,1.4166666663333334,76.00666603233333,5.01000007,146.34000237333333
