SITE_ID,BASINAreaSqKM,OPEN_11_km2,ICE_11_km2,DEVOPEN_11_km2,DEVLOW_11_km2,DEVMED_11_km2,DEVHIGH_11_km2,BARREN_11_km2,DECID_11_km2,CONIF_11_km2,MIXED_11_km2,SHRUBLAND_11_km2,GRASS_11_km2,PASTURE_11_km2,CROPS_11_km2,WDYWET_11_km2,EMHERBWET_11_km2
NLA12_MO-120,0.1152,0.0297,0,0,0,0,0,0,0.0153,0,0,0,0,0.0045,0.0657,0,0
NLA12_UT-244,0.1161,0,0,0,0,0,0,0.1152,0,9e-4,0,0,0,0,0,0,0
NLA12_SD-185,0.1224,0.0189,0,0,0,0,0,0,0,0,0,0,0,0.0999,0,0,0.0036
NLA12_MO-117,0.1233,0.0063,0,0.0252,9e-4,0,0,0,0.0873,0,0.0036,0,0,0,0,0,0
NLA12_UT-177,0.1242,0.0054,0,0,0,0,0,0,0,0,0,0,0,0.1107,0,0,0.0081
NLA12_UT-422,0.1251,0,0,0.045,0.0387,0.018,0.0234,0,0,0,0,0,0,0,0,0,0
NLA12_WA-R11,0.1269,0.0081,0,0,0.0144,0.0036,0.0072,0.0027,0,0.0873,0,0.0036,0,0,0,0,0
NLA12_TX-211,0.1296,0.0504,0,0,0.0108,0.0018,0,0.018,0.0027,0,0,0,0,0.0333,0.0126,0,0
NLA12_ID-131,0.1296,0.0153,0,0,0,0,0,0,0,0.0261,0,0.0072,0.081,0,0,0,0
NLA12_WA-129,0.1314,0,0,0,0,0,0,0,0,0.1143,0,0.0072,0,0,0,0.0099,0
NLA12_AZ-139,0.1323,0.0216,0,0,0,0,0,0,0.0099,0,0,0.0936,0,0,0,0.0072,0
NLA12_UT-308,0.1323,0,0,0,0.009,9e-4,0,0,0,0,0,0.0018,0,0.0648,0.0072,0.0243,0.0243
NLA12_MI-171,0.1359,0.0108,0,0.0126,0,0,0,0,0.0189,0,0,0,0,0.0036,0,0.09,0
NLA12_IN-170,0.1368,0.0099,0,0.0117,0,0,0,0,0.0144,0,0,0,0,0.1008,0,0,0
NLA12_UT-256,0.1449,0.0792,0,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,0.0585
NLA12_UT-345,0.1458,0.0054,0,0,0,0,0,0.1134,0,0,0,0,0,0,0,0,0.027
NLA12_WI-122,0.1476,0.0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1143,0.0036
NLA12_NJ-107,0.1521,0.0306,0,0.0774,0.0063,9e-4,0,0,0.0369,0,0,0,0,0,0,0,0
NLA12_NY-R07,0.1521,0.0117,0,0.0027,0,0,0,0,0.0576,0.0279,0.0333,0,0,0,0.0162,9e-4,0.0018
NLA12_FL-114,0.153,0.0504,0,0.0495,0.0144,0.0108,0,0,0,0.0135,0,0.0036,0,0,0,0.0108,0
NLA12_UT-236,0.1557,0.0099,0,0,0,0,0,0.0045,0,0,0,0,0.0054,0.0693,0,0,0.0666
NLA12_SD-146,0.1566,0.036,0,0,0,0,0,0,0,0,0,0,0.1206,0,0,0,0
NLA12_CA-R06,0.1575,0.0153,0,0,0,0,0,0,0,0.1413,0,9e-4,0,0,0,0,0
NLA12_FL-110,0.1584,0.0054,0,0.0027,0,0,0,0,0,0,0,9e-4,0.0072,0.0639,0.0603,0,0.018
NLA12_UT-198,0.1584,0.036,0,0,0,0,0,0,0,0,0,0,0,0.0522,0,0.0189,0.0513
NLA12_MI-139,0.1593,0.0072,0,0.0108,0,0,0,0,0.0324,0,0.0045,0,0,0.0297,0.0657,0.0036,0.0054
NLA12_WI-174,0.1647,0.0648,0,0,0,0,0,0,0.0387,0,0.0072,0,0,0,0,0.054,0
NLA12_WI-110,0.1665,0.0621,0,0.009,0,0,0,0,0.0252,0.0288,0.009,0,0,0,0,0.0324,0
NLA12_VA-R14,0.1674,0.0153,0,0.0081,0.0018,0,0,0,0.1098,0.0279,0.0045,0,0,0,0,0,0
NLA12_MN-136,0.1701,0.027,0,0,0,0,0,0,0.0081,0,0,0,0.0873,0.0225,0.0225,0,0.0027
NLA12_UT-258,0.1719,0,0,0,0,0,0,0,0.1287,0.0189,0.0027,0.0216,0,0,0,0,0
NLA12_WI-129,0.1737,0.0081,0,0,0,0,0,0,0.0171,0,0,0,0.0099,0.0459,0.0801,0.0126,0
NLA12_MT-172,0.1737,0,0,0,0,0,0,0,0,0,0,0.0171,0.0045,0,0.1521,0,0
NLA12_TX-126,0.1746,0,0,0,0,0,0,0.0288,0,0,0,0,0,0.1269,0,0.0189,0
NLA12_ID-181,0.1746,0.0072,0,0,0,0,0,0.018,0,0.0198,0,0.0108,0.1188,0,0,0,0
NLA12_WI-187,0.1764,0.0153,0,0,0,0,0,0,0.0432,0.036,0.036,0,0,0.0225,0,0.0117,0.0117
NLA12_UT-410,0.1764,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1647
NLA12_SD-166,0.1773,0.0675,0,0.0054,0,0,0,0,0,0,0,0,0.1044,0,0,0,0
NLA12_IN-202,0.1809,0.0162,0,0.009,0.0027,0,0,0,0.0045,0,0,0,0,0.1485,0,0,0
NLA12_NC-128,0.1809,0.0432,0,0.0027,0,0,0,0,0.0405,0.0153,0,0,0.009,0.0657,0,0.0045,0
NLA12_RI-110,0.1818,0.018,0,0,0,0,0,0,0,0.0333,0.0171,0,0,0,0,0.1134,0
NLA12_MN-143,0.1836,0.0405,0,0.0126,0,0,0,0,0.063,0,0,0,0.0162,0.0027,0.0342,0,0.0144
NLA12_OH-135,0.1953,0.009,0,0.0099,0.0234,0.0126,0.0018,0,0.0162,0,0,0,0,0.0171,0.1053,0,0
NLA12_NE-149,0.1953,0.0315,0,0.0243,0.0216,0.0036,0,0,0,0,0,0,0.0531,0,0,0.0567,0.0045
NLA12_UT-320,0.1953,0.0126,0,0,0,0,0,0,0,0.1827,0,0,0,0,0,0,0
NLA12_UT-110,0.1971,0.0144,0,0,0,0,0,0,0,0,0,0.027,0,0.081,0,0.0549,0.0198
NLA12_NE-143,0.198,0.027,0,0,0,0,0,0,0,0,0,0,0.1377,0,0,0,0.0333
NLA12_CO-129,0.1989,0.0189,0,0,0,0,0,0,0,0,0,0.0171,0,0,0.036,0,0.1269
NLA12_UT-302,0.1989,0,0,9e-4,9e-4,0,0,0,0,0,0,0,0,0.0558,0.1152,0.0135,0.0126
NLA12_TN-106,0.2097,0.0171,0,0.0189,0,0,0,0,0.0954,0.0216,0.0252,0.018,0.0135,0,0,0,0
NLA12_CT-113,0.2088,0.0198,0,0.0639,0.0945,0.0306,0,0,0,0,0,0,0,0,0,0,0
NLA12_CA-114,0.2097,0.0162,0,0,0,0,0,0.1935,0,0,0,0,0,0,0,0,0
NLA12_AR-109,0.2115,0.0234,0,0.0306,0.0027,0,0,0,0.099,0.0243,0,0,0.0162,0.0153,0,0,0
NLA12_IN-155,0.2124,0.0108,0,0.0099,0.0072,0,0,0,0.1638,0,0,0,0,0,0,0,0.0207
NLA12_MS-112,0.2169,0.0108,0,0.0261,9e-4,0,0,0,0.0495,0.0072,0.063,0.027,0,0,0,0.009,0.0234
NLA12_WY-119,0.2169,0.0585,0,0.0117,0.0027,0,0,0,0,0,0,0,0.0063,0,0.0027,0.0162,0.1188
NLA12_UT-274,0.2169,0,0,0,0,0,0,0,0,0.0099,0,0,0,0.1854,0,0.0216,0
NLA12_ID-149,0.2196,0.0558,0,0,0,0,0,0,0,0.1314,0,0,0,0,0.0315,0,9e-4
NLA12_MT-148,0.2259,0.0099,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0
NLA12_MI-149,0.2223,0.0072,0,0.0189,0.0018,0,0,0,0.1278,0,0.0072,0.0297,0.009,0,0.0072,0.0063,0.0072
NLA12_MT-132,0.2259,0.036,0,0,0,0,0,0,0,0.0216,0,0.0108,0.1575,0,0,0,0
NLA12_LA-112,0.2277,0.009,0,0.0198,0,0,0,0,0,0.0243,0,0.1071,0.027,0.0405,0,0,0
NLA12_TX-172,0.2313,0,0,0.0288,0,0,0,0,0.0567,0,0.0171,0.0144,0.0711,0.0432,0,0,0
NLA12_UT-147,0.234,0.0045,0,0,0,0,0,0.0018,0,0.2196,0,0,0.0081,0,0,0,0
NLA12_UT-290,0.2349,0.0693,0,0,0,0,0,0,0,0.0027,0,0.0729,0.0234,0,0,0.0657,9e-4
NLA12_TX-201,0.2367,0.0171,0,0.0018,0.0099,9e-4,0,0.0036,0,0.0297,0,0.0054,0.0216,0.1467,0,0,0
NLA12_CA-R05,0.2367,0.0198,0,0,0,0,0,0,0,0.1098,0,0.1071,0,0,0,0,0
NLA12_CA-181,0.2385,0.1269,0,0.0144,0.0081,9e-4,0,0,0,0,0,0.0135,0.0144,0.0405,0.0117,0.0081,0
NLA12_CA-191,0.2421,0.0225,0,0,0,0,0,0.0279,0,0,0,0.0558,0.1359,0,0,0,0
NLA12_IN-201,0.2439,0.0036,0,0.0252,0,0,0,0,0.0774,0,0,0,0.0018,0,0.1251,0,0.0108
NLA12_MN-133,0.2457,0.0558,0,0.0045,0,0,0,0,0,0,0,0,0.0027,0,0.1755,0.0018,0.0054
NLA12_NE-163,0.2457,0.0837,0,0,0,0,0,0,0,0,0,0,0.1062,0,0,0.0063,0.0495
NLA12_IN-168,0.2466,0.1755,0,0.0324,0.0117,0.0063,0,0,0.0207,0,0,0,0,0,0,0,0
NLA12_SC-126,0.2484,0.0198,0,0.0018,0.0054,0,0,0,0.0234,0.0198,0,0,0.0108,0.1458,0.0216,0,0
NLA12_IN-136,0.2484,0.0423,0,0.0612,0.1269,0.0027,0,0,0,0.0063,0,0,0,0,0,0.0018,0.0072
NLA12_CO-R10,0.2484,0.0216,0,0,0,0,0,0,0.1764,0,0,0.0486,0,9e-4,0,9e-4,0
NLA12_MI-131,0.2493,0.072,0,0.0324,0.0252,0.0072,0,0.0117,0.0252,0,0,0,0.0063,0,0,0.0261,0.0432
NLA12_CA-R12,0.2493,0.0621,0,0,0,0,0,0,0,0.1872,0,0,0,0,0,0,0
NLA12_CO-114,0.2529,0.0603,0,0,0,0,0,0.0135,0.0018,0.1494,0,0,0.0279,0,0,0,0
NLA12_UT-271,0.2538,0.0441,0,0.0171,0.009,0.0018,0,0.0216,0,0,0,9e-4,0,0.1485,0,0,0.0108
NLA12_TX-131,0.2574,0.0252,0,0.0126,0,0,0,0,0.0045,0.0144,0,0.0576,0.0081,0.1296,0,0,0.0054
NLA12_UT-356,0.2583,0,0,0,0,0,0,0,0.2259,0,0,0.0324,0,0,0,0,0
NLA12_KY-117,0.2646,0.0333,0,0.0216,0,0,0,0,0.0306,0.0117,0,0,0,0.1674,0,0,0
NLA12_NY-R06,0.2664,0.0324,0,0,0,0,0,0,0.0801,0.0846,0.0594,0,0,0,0,0.0099,0
NLA12_MI-137,0.2691,0.0117,0,0.0072,0,0,0,0,0.1215,0.0135,0.0261,0.0594,0.0072,0,0,0.0225,0
NLA12_IN-158,0.2736,0.0612,0,0,0,0,0,0,0.0945,0.0891,0,0,0,0,0,0.0162,0.0126
NLA12_SD-134,0.2763,0.126,0,0,0,0,0,0,0,0,0,0,0.1503,0,0,0,0
