"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_VertDD_use",0.761254230038609,0.0313933705319359,24.2488849441699,0,0.699724354442694,0.822784105634524
"2","L_HorizDD_use","~","L_DpthMx_mod",-0.0893416742081983,0.0439191288685641,-2.0342314729322,0.0419282626970108,-0.175421585022957,-0.0032617633934393
"3","L_HorizDD_use","~","L_LkAreakm2",0.0673500296125226,0.0554728378892296,1.21410824063139,0.224706393612904,-0.0413747347705963,0.176074793995641
"4","L_HorizDD_use","~","L_SLD",-0.0444461016637384,0.0552148739380831,-0.804966098692525,0.420839243243882,-0.152665265993301,0.0637730626658238
"5","L_HorizDD_use","~","bffFlat_grad",0.0888024688930944,0.0345707955304493,2.56871349156194,0.0102076813747356,0.0210449547365156,0.156559983049673
"6","L_HorizDD_use","~","Temp_degC_avg_yr",0.122223371371771,0.0824866454061351,1.48173526478118,0.13841074987635,-0.0394474828297805,0.283894225573322
"7","L_HorizDD_use","~","Precip_mm_total_yr_sc",-0.225947445748961,0.0673207603488588,-3.35628184497757,0.00078998017398102,-0.357893711444576,-0.0940011800533453
"8","L_HorizDD_use","~","PHDI",0.0405737179726909,0.0871328478163443,0.465653527797127,0.641463521685322,-0.130203525617753,0.211350961563135
"9","L_HorizDD_use","~","HydrAP",-0.0134168602408638,0.0520379325692129,-0.257828464322997,0.796539295627032,-0.115409333906445,0.0885756134247173
"10","L_HorizDD_use","~","hydrap_phdi",-0.16041420744298,0.0869011068701203,-1.84593974945256,0.0649009542436807,-0.330737247125082,0.00990883223912201
"11","L_VertDD_use","~","L_LkAreakm2",0.125214018047641,0.0944232669703046,1.32609283776444,0.184808948223649,-0.0598521845167666,0.310280220612048
"12","L_VertDD_use","~","L_DpthMx_mod",-0.00403135398199216,0.0872372527267394,-0.0462113816745228,0.963141770902816,-0.17501322743662,0.166950519472636
"13","L_VertDD_use","~","L_SLD",0.0099195887479282,0.10294795119335,0.0963553779647141,0.923238330388219,-0.191854687873225,0.211693865369082
"14","L_VertDD_use","~","L_EI",0.134581724111274,0.0745244521751302,1.805873376902,0.0709381205285529,-0.0114835181195587,0.280646966342107
"15","L_VertDD_use","~","L_inflow",0.149610454349069,0.0897883273434776,1.66625728282861,0.095662181001902,-0.02637143347624,0.325592342174378
"16","L_VertDD_use","~","BFIWs",-0.0242328102242703,0.0778228667557606,-0.311384188664272,0.755508572476159,-0.17676282623922,0.12829720579068
"17","L_VertDD_use","~","Temp_degC_avg_yr",-0.138323630883707,0.119760031907019,-1.15500663018444,0.248087711377336,-0.373048980208831,0.0964017184414174
"18","L_VertDD_use","~","Precip_mm_total_yr_sc",0.0106912845297319,0.136895016661061,0.0780984201653049,0.937749763883206,-0.257618017788958,0.279000586848422
"19","L_VertDD_use","~","PHDI",-0.466567605216622,0.141044823349257,-3.30793852718224,0.000939854374854665,-0.74301037918698,-0.190124831246263
"20","L_VertDD_use","~","HydrAP",0.0417555626081093,0.0959089650040985,0.435366627158628,0.663296330199679,-0.146222554594436,0.229733679810655
"21","L_VertDD_use","~","hydrap_phdi",0.234669651589761,0.150821071688681,1.55594738163747,0.119720605100253,-0.0609342170297883,0.53027352020931
"22","L_EI","~","L_LkAreakm2",0.141811847299048,0.0684817676843649,2.07079712008405,0.0383777594879593,0.00759004904005356,0.276033645558042
"23","L_EI","~","L_DpthMx_mod",-0.28628028128841,0.0584267249727114,-4.89981735964354,9.59257857369167e-07,-0.400794557969551,-0.171766004607268
"24","L_EI","~","bffFlat_grad",0.0719646977776584,0.0602511329442595,1.19441235809185,0.232316705052355,-0.0461253528208249,0.190054748376142
"25","L_EI","~","L_inflow",-0.0879681943739247,0.0812237748596731,-1.08303504147528,0.278792869667432,-0.247163867787274,0.0712274790394244
"26","L_EI","~","BFIWs",-0.184529712249708,0.0639819794919815,-2.88408882805563,0.00392548008871496,-0.309932087713572,-0.0591273367858441
"27","L_EI","~","Temp_degC_avg_yr",0.0388129366734189,0.153524317183471,0.252812957487608,0.800412754273533,-0.262089195757288,0.339715069104126
"28","L_EI","~","Precip_mm_total_yr_sc",-0.273661127256957,0.166752424411813,-1.64112232983865,0.10077202434788,-0.600489873438848,0.0531676189249334
"29","L_EI","~","PHDI",0.0600455311495496,0.117001882471674,0.513201410790008,0.607810439203599,-0.169273944618319,0.289365006917418
"30","L_EI","~","HydrAP",-0.279766707307087,0.0790307270825008,-3.53997385112042,0.000400166679064951,-0.434664086060803,-0.124869328553371
"31","L_EI","~","hydrap_phdi",-0.140451917953026,0.114561923505996,-1.22599126878028,0.220201960735622,-0.364989162024412,0.0840853261183593
"32","L_HorizDD_use","~~","L_HorizDD_use",0.285800190198375,0.0330403095175054,8.65004578867373,0,0.221042373506008,0.350558006890741
"33","L_VertDD_use","~~","L_VertDD_use",0.885326554935784,0.0415280041579631,21.3187841045335,0,0.803933162436346,0.966719947435221
"34","L_EI","~~","L_EI",0.64228598943912,0.0476463460223952,13.4802779868413,0,0.548900867240292,0.735671111637947
"35","L_DpthMx_mod","~~","L_DpthMx_mod",1,0,NA,NA,1,1
"36","L_DpthMx_mod","~~","L_LkAreakm2",0.47536497523581,0,NA,NA,0.47536497523581,0.47536497523581
"37","L_DpthMx_mod","~~","L_SLD",0.426392383240497,0,NA,NA,0.426392383240497,0.426392383240497
"38","L_DpthMx_mod","~~","bffFlat_grad",-0.265821072751206,0,NA,NA,-0.265821072751206,-0.265821072751206
