"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_VertDD_use","a",0.794876017564616,0.0290790336577011,27.335021752145,0,0.737882158890294,0.851869876238938
"2","L_HorizDD_use","~","L_DpthMx_mod","l",-0.191632881518508,0.0342263519243586,-5.59898647515877,2.15608615405927e-08,-0.258715298612444,-0.124550464424572
"3","L_HorizDD_use","~","L_LkAreakm2","o",0.143379341454451,0.0404266662125727,3.54665261539326,0.000390158686311981,0.0641445316627865,0.222614151246116
"4","L_HorizDD_use","~","L_SLD","r",-0.10964428297952,0.038702007660252,-2.83303863567078,0.00461078127851122,-0.185498824123008,-0.0337897418360333
"5","L_HorizDD_use","~","bffFlat_grad","t",0.119958720104361,0.0311094081085767,3.85602707983664,0.000115244726998531,0.0589854006311925,0.18093203957753
"6","L_HorizDD_use","~","Temp_degC_avg_yr","z",-0.0838436744176541,0.0305745292363568,-2.74227196662619,0.0061015798923465,-0.14376865056518,-0.023918698270128
"7","L_HorizDD_use","~","Precip_mm_total_yr_sc","e",-0.0229018015061745,0.0283605791217074,-0.807522350227513,0.419365603114104,-0.0784875151654197,0.0326839121530706
"8","L_HorizDD_use","~","PHDI_inv","d",0.0310908606886665,0.0393466561629339,0.790177964803913,0.429423842842819,-0.046027168302765,0.108208889680098
"9","L_HorizDD_use","~","HydrAP","g",0.178927339289256,0.0416414206007557,4.29685963417898,1.73234812796963e-05,0.0973116546466906,0.260543023931821
"10","L_HorizDD_use","~","hydrap_phdiinv","delta",-0.107907245383657,0.0567139421878571,-1.90265816871324,0.0570851636494847,-0.219064529493144,0.00325003872582966
"11","L_VertDD_use","~","L_LkAreakm2","p",0.15780494283511,0.074543070113738,2.11696328839597,0.0342629636243883,0.0117032101151398,0.303906675555081
"12","L_VertDD_use","~","L_DpthMx_mod","m",0.0406831917147049,0.0529820116829917,0.767868006940269,0.442565606280628,-0.0631596430124392,0.144526026441849
"13","L_VertDD_use","~","L_SLD","s",0.189407169993213,0.0628424547050412,3.01400018319174,0.00257827650265319,0.0662382220712422,0.312576117915183
"14","L_VertDD_use","~","L_EI","h",0.0814870546349175,0.0496781870589397,1.64029847824839,0.100943121884763,-0.015880402817848,0.178854512087683
"15","L_VertDD_use","~","L_inflow","v",0.0474366011342561,0.0563048785280909,0.842495399587615,0.399510713679989,-0.0629189329347047,0.157792135203217
"16","L_VertDD_use","~","BFIWs","y",0.188318170029923,0.0572527224760299,3.28924393261416,0.00100456919099856,0.0761048959600381,0.300531444099809
"17","L_VertDD_use","~","Temp_degC_avg_yr","j",-0.0180703459635013,0.0622297787865278,-0.29038100915463,0.771524770605671,-0.14003847115099,0.103897779223988
"18","L_VertDD_use","~","Precip_mm_total_yr_sc","c",-0.00660254863318245,0.0554614901940318,-0.119047443732281,0.905237768349525,-0.115305071942406,0.102099974676041
"19","L_VertDD_use","~","PHDI_inv","b",0.149395671490166,0.0718927398279265,2.07803558256008,0.0377060819594917,0.00848849067752144,0.29030285230281
"20","L_VertDD_use","~","HydrAP","f",0.395367525012358,0.0626047048717524,6.31530051650719,2.69636979410848e-10,0.272664558200964,0.518070491823752
"21","L_VertDD_use","~","hydrap_phdiinv","eps",-0.00179055255140891,0.0862324759681641,-0.0207642484030025,0.983433717227668,-0.170803099746726,0.167221994643908
"22","L_EI","~","L_LkAreakm2","q",0.0421861717638683,0.057694136595513,0.731203797356925,0.464654681059995,-0.0708922580824716,0.155264601610208
"23","L_EI","~","L_DpthMx_mod","n",-0.279821079592596,0.0619286716030288,-4.51844149647335,6.22964809915416e-06,-0.401199045544941,-0.158443113640251
"24","L_EI","~","bffFlat_grad","u",0.148071903182577,0.0481826412952484,3.07313794350206,0.00211820548558062,0.0536356615638777,0.242508144801276
"25","L_EI","~","L_inflow","w",-0.267905313029016,0.0505010530643886,-5.30494508079738,1.12706923349748e-07,-0.366885558216563,-0.168925067841468
"26","L_EI","~","BFIWs","x",-0.0928302409404333,0.0609346513268275,-1.52343927337061,0.127648842709504,-0.212259962951521,0.0265994810706543
"27","L_EI","~","Temp_degC_avg_yr","i",0.146281754540931,0.0543708197275143,2.69044600162439,0.00713565820341366,0.0397169060650834,0.252846603016779
"28","L_EI","~","Precip_mm_total_yr_sc","alpha",-0.161920461446633,0.0665820656827439,-2.4318930298463,0.0150201425316323,-0.292418912201092,-0.0314220106921749
"29","L_EI","~","PHDI_inv","beta",-0.0697010117800083,0.107258461594228,-0.649841613836453,0.515794535583834,-0.279923733541868,0.140521709981851
"30","L_EI","~","HydrAP","k",-0.187017473673723,0.0639486776248067,-2.92449321268179,0.00345017603704223,-0.312354578677307,-0.0616803686701393
"31","L_EI","~","hydrap_phdiinv","gamma",0.0921368690309404,0.102701455236997,0.897133042743383,0.36964792873511,-0.109154284393426,0.293428022455307
"32","L_HorizDD_use","~~","L_HorizDD_use","",0.209150765917873,0.0207061886979053,10.1008818652866,0,0.168567381812888,0.249734150022858
"33","L_VertDD_use","~~","L_VertDD_use","",0.617828092935403,0.043440500625847,14.2223980855275,0,0.532686276238353,0.702969909632453
"34","L_EI","~~","L_EI","",0.639385302208194,0.0386865619360808,16.5273229310117,0,0.563561034127797,0.71520957028859
"35","L_DpthMx_mod","~~","L_DpthMx_mod","",1,0,NA,NA,1,1
"36","L_DpthMx_mod","~~","L_LkAreakm2","",0.457051863209938,0,NA,NA,0.457051863209938,0.457051863209938
"37","L_DpthMx_mod","~~","L_SLD","",0.266987684453105,0,NA,NA,0.266987684453105,0.266987684453105
