"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_VertDD_use",0.740238011001223,0.0446533469265838,16.5774362270823,0,0.652719059235946,0.827756962766499
"2","L_HorizDD_use","~","L_DpthMx_mod",-0.119103576904278,0.0328401915830907,-3.62676254804812,0.000286996989581345,-0.183469169652531,-0.0547379841560252
"3","L_HorizDD_use","~","L_LkAreakm2",0.0049091178478193,0.0617676534687854,0.0794771627563955,0.936653095623718,-0.116153258360551,0.125971494056189
"4","L_HorizDD_use","~","L_SLD",-0.0120277287136699,0.0498049262923933,-0.241496767670288,0.809170121388475,-0.109643590499433,0.0855881330720929
"5","L_HorizDD_use","~","bffFlat_grad",0.169691728823271,0.0284927125933536,5.95561859079905,2.59089949494751e-09,0.113847038318447,0.225536419328095
"6","L_HorizDD_use","~","Temp_degC_avg_yr",-0.102346484161719,0.0606096417646994,-1.68861720976757,0.091292810477861,-0.221139199136404,0.0164462308129669
"7","L_HorizDD_use","~","Precip_mm_total_yr_sc",-0.0266666388444873,0.0392165061475743,-0.679985074247538,0.496513911729845,-0.103529578493227,0.0501963008042519
"8","L_HorizDD_use","~","PHDI",-0.0398381317291473,0.0381686912793126,-1.04373847763388,0.296606402509187,-0.114647391973628,0.0349711285153334
"9","L_HorizDD_use","~","HydrAP",-0.0167416337304653,0.0461901689416142,-0.362450151494948,0.717015667984419,-0.10727270129585,0.073789433834919
"10","L_VertDD_use","~","L_LkAreakm2",0.263798335851083,0.0662071463277572,3.98443899915507,6.76397290324537e-05,0.134034713529505,0.39356195817266
"11","L_VertDD_use","~","L_DpthMx_mod",0.0225590354532551,0.0543726015607122,0.41489711372493,0.678217222825658,-0.0840093053514871,0.129127376257997
"12","L_VertDD_use","~","L_SLD",0.0415450085871067,0.0693764349635961,0.598834584234642,0.54928319734895,-0.094430305317327,0.177520322491541
"13","L_VertDD_use","~","L_EI",0.214175716730673,0.0528541781510957,4.05220030322679,5.0738196534228e-05,0.110583431122061,0.317768002339284
"14","L_VertDD_use","~","L_inflow",0.169455094638015,0.0700037859633639,2.42065614460764,0.0154925241356412,0.0322501953683709,0.306659993907659
"15","L_VertDD_use","~","BFIWs",-0.17852184838129,0.0656701300753511,-2.71846345022387,0.00655859013788351,-0.307232938189038,-0.0498107585735408
"16","L_VertDD_use","~","Temp_degC_avg_yr",0.195614621399079,0.0902461575124399,2.16756731578422,0.0301916227872419,0.0187354029315679,0.37249383986659
"17","L_VertDD_use","~","Precip_mm_total_yr_sc",0.0752127725716762,0.078914841126603,0.953087803230984,0.340545585322087,-0.0794574738821659,0.229883019025518
"18","L_VertDD_use","~","PHDI",-0.218810058696029,0.0513005462481198,-4.26525787148023,1.99671448783967e-05,-0.319357281729575,-0.118262835662482
"19","L_VertDD_use","~","HydrAP",-0.221916095601471,0.0710469425534544,-3.12351366048589,0.00178705569528126,-0.361165544217928,-0.0826666469850142
"20","L_EI","~","L_LkAreakm2",0.0466117065610308,0.0443654419064945,1.05063095413927,0.293428118666032,-0.0403429617339024,0.133566374855964
"21","L_EI","~","L_DpthMx_mod",-0.199990365463468,0.045808784030452,-4.36576455141271,1.26678877108155e-05,-0.289773932338728,-0.110206798588209
"22","L_EI","~","bffFlat_grad",0.0576216216803477,0.033823685579839,1.70358790570989,0.0884581025269329,-0.00867158388054352,0.123914827241239
"23","L_EI","~","L_inflow",-0.52054222461112,0.0487094981613815,-10.6866677806141,0,-0.616011086712448,-0.425073362509792
"24","L_EI","~","BFIWs",-0.0822280567034566,0.053139296048244,-1.54740583369421,0.121765415413028,-0.186379163121826,0.0219230497149131
"25","L_EI","~","Temp_degC_avg_yr",-0.0391205954667725,0.0803435037395949,-0.48691672189911,0.626317348213304,-0.196590969188138,0.118349778254593
"26","L_EI","~","Precip_mm_total_yr_sc",-0.0609392155133794,0.0685084083042859,-0.88951439716294,0.373726689193832,-0.195213228427945,0.0733347974011857
"27","L_EI","~","PHDI",0.0761103385450982,0.0401766894009658,1.89439049558096,0.0581731970554555,-0.00263452569884699,0.154855202789043
"28","L_EI","~","HydrAP",-0.000189836793066717,0.0612533115218399,-0.00309920865256454,0.997527193224003,-0.120244121309685,0.119864447723552
"29","L_HorizDD_use","~~","L_HorizDD_use",0.426629936491046,0.051094884465628,8.34975831637401,0,0.326485803144181,0.526774069837912
"30","L_VertDD_use","~~","L_VertDD_use",0.823075802486025,0.0330898945567356,24.8739324652361,0,0.758220800902595,0.887930804069455
"31","L_EI","~~","L_EI",0.582277884605962,0.0378491410134975,15.3841769988469,0,0.508094931373729,0.656460837838195
"32","L_DpthMx_mod","~~","L_DpthMx_mod",1,0,NA,NA,1,1
"33","L_DpthMx_mod","~~","L_LkAreakm2",0.338542255511433,0,NA,NA,0.338542255511433,0.338542255511433
"34","L_DpthMx_mod","~~","L_SLD",0.189275630049255,0,NA,NA,0.189275630049255,0.189275630049255
"35","L_DpthMx_mod","~~","bffFlat_grad",-0.159821417725907,0,NA,NA,-0.159821417725907,-0.159821417725907
"36","L_DpthMx_mod","~~","Temp_degC_avg_yr",0.11541006914606,0,NA,NA,0.11541006914606,0.11541006914606
"37","L_DpthMx_mod","~~","Precip_mm_total_yr_sc",0.264094866425001,0,NA,NA,0.264094866425001,0.264094866425001
"38","L_DpthMx_mod","~~","PHDI",0.0394301689401052,0,NA,NA,0.0394301689401052,0.0394301689401052
"39","L_DpthMx_mod","~~","HydrAP",-0.0793896108527383,0,NA,NA,-0.0793896108527383,-0.0793896108527383
"40","L_DpthMx_mod","~~","L_inflow",0.200692731718928,0,NA,NA,0.200692731718928,0.200692731718928
"41","L_DpthMx_mod","~~","BFIWs",0.200158821223039,0,NA,NA,0.200158821223039,0.200158821223039
"42","L_LkAreakm2","~~","L_LkAreakm2",1,0,NA,NA,1,1
"43","L_LkAreakm2","~~","L_SLD",0.577203919547726,0,NA,NA,0.577203919547726,0.577203919547726
"44","L_LkAreakm2","~~","bffFlat_grad",-0.2337045431346,0,NA,NA,-0.2337045431346,-0.2337045431346
"45","L_LkAreakm2","~~","Temp_degC_avg_yr",0.0803292320420685,0,NA,NA,0.0803292320420685,0.0803292320420685
"46","L_LkAreakm2","~~","Precip_mm_total_yr_sc",0.0287891509382147,0,NA,NA,0.0287891509382147,0.0287891509382147
"47","L_LkAreakm2","~~","PHDI",0.136121138399301,0,NA,NA,0.136121138399301,0.136121138399301
"48","L_LkAreakm2","~~","HydrAP",0.170225084416159,0,NA,NA,0.170225084416159,0.170225084416159
"49","L_LkAreakm2","~~","L_inflow",0.100903238793117,0,NA,NA,0.100903238793117,0.100903238793117
"50","L_LkAreakm2","~~","BFIWs",-0.0474165160625711,0,NA,NA,-0.0474165160625711,-0.0474165160625711
"51","L_SLD","~~","L_SLD",1,0,NA,NA,1,1
"52","L_SLD","~~","bffFlat_grad",-0.29322238486091,0,NA,NA,-0.29322238486091,-0.29322238486091
"53","L_SLD","~~","Temp_degC_avg_yr",0.339145403557391,0,NA,NA,0.339145403557391,0.339145403557391
"54","L_SLD","~~","Precip_mm_total_yr_sc",0.214757615977869,0,NA,NA,0.214757615977869,0.214757615977869
"55","L_SLD","~~","PHDI",0.103364422862471,0,NA,NA,0.103364422862471,0.103364422862471
"56","L_SLD","~~","HydrAP",0.413502943826821,0,NA,NA,0.413502943826821,0.413502943826821
"57","L_SLD","~~","L_inflow",0.304472013126835,0,NA,NA,0.304472013126835,0.304472013126835
"58","L_SLD","~~","BFIWs",-0.296339670505246,0,NA,NA,-0.296339670505246,-0.296339670505246
"59","bffFlat_grad","~~","bffFlat_grad",1,0,NA,NA,1,1
"60","bffFlat_grad","~~","Temp_degC_avg_yr",-0.275122420204631,0,NA,NA,-0.275122420204631,-0.275122420204631
"61","bffFlat_grad","~~","Precip_mm_total_yr_sc",-0.217758437328255,0,NA,NA,-0.217758437328255,-0.217758437328255
"62","bffFlat_grad","~~","PHDI",-0.168159073201396,0,NA,NA,-0.168159073201396,-0.168159073201396
"63","bffFlat_grad","~~","HydrAP",-0.173003497449911,0,NA,NA,-0.173003497449911,-0.173003497449911
"64","bffFlat_grad","~~","L_inflow",-0.123010013981062,0,NA,NA,-0.123010013981062,-0.123010013981062
"65","bffFlat_grad","~~","BFIWs",0.187160684339043,0,NA,NA,0.187160684339043,0.187160684339043
"66","Temp_degC_avg_yr","~~","Temp_degC_avg_yr",1,0,NA,NA,1,1
"67","Temp_degC_avg_yr","~~","Precip_mm_total_yr_sc",0.694168709987194,0,NA,NA,0.694168709987194,0.694168709987194
"68","Temp_degC_avg_yr","~~","PHDI",0.397459871535431,0,NA,NA,0.397459871535431,0.397459871535431
"69","Temp_degC_avg_yr","~~","HydrAP",0.647650251561012,0,NA,NA,0.647650251561012,0.647650251561012
"70","Temp_degC_avg_yr","~~","L_inflow",0.454625382368854,0,NA,NA,0.454625382368854,0.454625382368854
"71","Temp_degC_avg_yr","~~","BFIWs",-0.476301559779505,0,NA,NA,-0.476301559779505,-0.476301559779505
"72","Precip_mm_total_yr_sc","~~","Precip_mm_total_yr_sc",1,0,NA,NA,1,1
"73","Precip_mm_total_yr_sc","~~","PHDI",0.364572022877279,0,NA,NA,0.364572022877279,0.364572022877279
"74","Precip_mm_total_yr_sc","~~","HydrAP",0.345816817367731,0,NA,NA,0.345816817367731,0.345816817367731
"75","Precip_mm_total_yr_sc","~~","L_inflow",0.555656169447122,0,NA,NA,0.555656169447122,0.555656169447122
"76","Precip_mm_total_yr_sc","~~","BFIWs",-0.104360743802846,0,NA,NA,-0.104360743802846,-0.104360743802846
"77","PHDI","~~","PHDI",1,0,NA,NA,1,1
"78","PHDI","~~","HydrAP",0.265791859421344,0,NA,NA,0.265791859421344,0.265791859421344
"79","PHDI","~~","L_inflow",0.277940763047626,0,NA,NA,0.277940763047626,0.277940763047626
"80","PHDI","~~","BFIWs",-0.242585472441562,0,NA,NA,-0.242585472441562,-0.242585472441562
"81","HydrAP","~~","HydrAP",1,0,NA,NA,1,1
"82","HydrAP","~~","L_inflow",0.390980465004779,0,NA,NA,0.390980465004779,0.390980465004779
"83","HydrAP","~~","BFIWs",-0.474827495893871,0,NA,NA,-0.474827495893871,-0.474827495893871
"84","L_inflow","~~","L_inflow",1,0,NA,NA,1,1
"85","L_inflow","~~","BFIWs",0.0089558405156846,0,NA,NA,0.0089558405156846,0.0089558405156846
"86","BFIWs","~~","BFIWs",1,0,NA,NA,1,1
"87","L_HorizDD_use","~1","",2.37006821510622,0.186596758819913,12.7015508205778,0,2.00434528818729,2.73579114202516
"88","L_VertDD_use","~1","",-2.06950284188619,0.396687475869754,-5.21696037251672,1.81883152317042e-07,-2.84699600770901,-1.29200967606337
"89","L_EI","~1","",-0.144679231829857,0.27067341549337,-0.534515853971633,0.59298468368613,-0.675189377769309,0.385830914109594
"90","L_DpthMx_mod","~1","",1.94588865137089,0,NA,NA,1.94588865137089,1.94588865137089
"91","L_LkAreakm2","~1","",-0.548855556551865,0,NA,NA,-0.548855556551865,-0.548855556551865
"92","L_SLD","~1","",1.30540571230056,0,NA,NA,1.30540571230056,1.30540571230056
"93","bffFlat_grad","~1","",2.61290411716765,0,NA,NA,2.61290411716765,2.61290411716765
"94","Temp_degC_avg_yr","~1","",3.62728774438132,0,NA,NA,3.62728774438132,3.62728774438132
"95","Precip_mm_total_yr_sc","~1","",4.13329762198949,0,NA,NA,4.13329762198949,4.13329762198949
"96","PHDI","~1","",-0.0890059519293418,0,NA,NA,-0.0890059519293418,-0.0890059519293418
"97","HydrAP","~1","",1.52669802088352,0,NA,NA,1.52669802088352,1.52669802088352
"98","L_inflow","~1","",0.712818551897446,0,NA,NA,0.712818551897446,0.712818551897446
"99","BFIWs","~1","",2.58501699783254,0,NA,NA,2.58501699783254,2.58501699783254
"100","area_horiz",":=","a*p+q*h*a",0.202663422311385,0.0491088651769932,4.12681949747701,3.67814866897298e-05,0.106411815242845,0.298915029379925
"101","zmax_horiz",":=","a*m+n*h*a",-0.0150076183083518,0.0400406606404367,-0.374809457893802,0.707802179822144,-0.0934858710807981,0.0634706344640946
"102","sld_horiz",":=","a*s",0.0307531945235486,0.0515496269466047,0.596574531090262,0.55079147967308,-0.070282217708272,0.131788606755369
"103","bank_horiz",":=","u*h*a",0.00913538990067632,0.00572172049594549,1.59661589676563,0.110351353196505,-0.0020789762009815,0.0203497560023341
"104","ei_horiz",":=","a*h",0.158541006557474,0.0400067575861577,3.96285568046958,7.40585542742256e-05,0.0801292025503807,0.236952810564568
"105","inflow_horiz",":=","a*v+w*h*a",0.0429098139633542,0.0436883749858897,0.982179217634279,0.326011564153637,-0.0427178275520702,0.128537455478779
"106","base_horiz",":=","a*y+x*h*a",-0.145185176843059,0.052532496509953,-2.7637212485333,0.00571463354594859,-0.248146978020543,-0.0422233756655747
"107","temp_horiz",":=","a*j+i*h*a",0.138599159684782,0.0685918965688741,2.020634602888,0.0433176041614114,0.0041615127784918,0.273036806591071
"108","precip_horiz",":=","a*c+alpha*h*a",0.0460139886040309,0.0591642847465088,0.777732525647512,0.436726713194374,-0.0699458786701988,0.161973855878261
"109","phdi_horiz",":=","a*b+beta*h*a",-0.149904912953839,0.0399382074864538,-3.75342115703825,0.000174437414533823,-0.228182361234376,-0.0716274646733018
"110","hydrap_horiz",":=","a*f+k*h*a",-0.164300826133445,0.0549016711997042,-2.99263797518662,0.00276577616518314,-0.271906124375925,-0.0566955278909645
"111","area_vert",":=","h*q",0.00998309566074856,0.00973698220808048,1.02527615306351,0.30523290455001,-0.00910103878519647,0.0290672301066936
"112","zmax_vert",":=","h*n",-0.0428330798623674,0.0141691985473016,-3.02297125129385,0.00250306021059865,-0.0706041987048759,-0.0150619610198589
"113","bank_vert",":=","h*u",0.0123411521225721,0.00767541537823773,1.60788068324788,0.107861313228522,-0.00270238558515868,0.027384689830303
"114","inflow_vert",":=","h*w",-0.111487504044665,0.0302152503668805,-3.6897759472769,0.000224451644837975,-0.170708306547612,-0.0522667015417189
"115","base_vert",":=","h*x",-0.0176112529798332,0.0123900472159838,-1.42140321766601,0.155199571597647,-0.0418952992899123,0.00667279333024587
"116","temp_vert",":=","h*i",-0.00837868157302669,0.0174526822083464,-0.480079879585487,0.631170594539394,-0.0425853101350085,0.0258279469889552
"117","precip_vert",":=","h*alpha",-0.013051700159583,0.0149116359788727,-0.87526949947511,0.381427285636336,-0.0422779696287451,0.0161745693095792
"118","phdi_vert",":=","h*beta",0.0163009863085105,0.00970528087122974,1.67959964526457,0.093035236761507,-0.00272101465894527,0.0353229872759663
