SITE_ID,VISIT_NO,UID,nlaSITE_ID,COMID,VolumeCorrect,FetchN,FetchNE,FetchE,FetchSE,MaxDepthCorrect,MeanDepthCorrect
NLA12_CA-223,1,8779,NA,120053886,663332.5965,952.1946231,934.9953936,507.5910245,929.9120072,4.352474909,1.896412628
NLA12_CA-R01,1,7338,NLA06608-0501,5330665,5940893.816,945.5064882,723.449885,1304.312468,722.6656921,17.61146246,5.961111896
NLA12_CA-R02,1,7396,NLA06608-0713,8932970,11246609.59,3484.235102,1768.728537,1830.35614,1771.529034,8.995268704,2.914416922
NLA12_CA-R03,1,7379,NLA06608-1717,21606665,293848386.7,7679.184335,3613.720903,2959.175165,3612.972329,54.52110717,12.96159027
NLA12_CA-R05,1,7289,NA,2772456,24312.90376,210.9796429,186.6340797,206.8309401,186.6493781,2.161844109,0.839917316
NLA12_CA-R06,1,7230,NA,2772492,28305.62014,199.8318658,142.5923668,191.2878952,143.9166676,2.093221451,0.96962457
NLA12_CA-R09,1,1000057,NA,8914599,52734.65957,193.6125238,212.8994216,242.0305436,213.0986709,3.430964005,1.377670232
NLA12_CA-R10,1,7254,NA,2772488,393206.5383,392.9323336,668.5151656,545.7319215,668.7083748,4.624766704,2.157380553
NLA12_CA-R12,1,7200,NA,2772494,64491.49656,455.8693333,254.3935634,247.2894136,254.5748176,1.967661547,0.791670295
NLA12_CA-R13,1,7172,NA,8914597,333228.8871,402.9071583,442.5957153,307.2300082,441.4248947,7.595233122,3.290106922
NLA12_CO-101,1,7173,NLA06608-0864,1594371,3486225.826,2024.211615,1634.751194,1775.393486,1635.829879,3.296689342,1.148121816
NLA12_CO-101,2,8129,NLA06608-0864,1594371,3486225.826,2024.211615,1634.751194,1775.393486,1635.829879,3.296689342,1.148121816
NLA12_CO-102,1,6795,NLA06608-0687,3230751,358540.5221,468.5964955,349.6524088,386.9133535,350.2983269,5.589883293,2.392719557
NLA12_CO-103,1,8505,NLA06608-1403,11646,7345410.033,5822.459224,1623.087104,1697.082466,1621.640637,3.354041206,1.201091586
NLA12_CO-104,1,8596,NLA06608-1339,2890152,635637.9599,782.1028928,1323.124243,1351.452623,1324.274985,2.446027984,0.876787528
NLA12_CO-105,1,8325,NLA06608-0004,3262179,1000960.991,1194.0738,1119.137857,1082.205253,1120.665685,4.472826733,1.530846738
NLA12_CO-106,1,7325,NLA06608-0635,16000330,2220204.899,1734.075274,1208.116174,1327.566786,1208.140274,3.004643196,1.169658652
NLA12_CO-107,1,8297,NLA06608-0068,18377442,3447774.65,1006.852703,765.0603203,637.4690934,764.2983737,17.13714255,6.881942139
NLA12_CO-108,1,6976,NLA06608-0916,946899,163938.2452,264.5109486,192.1261845,251.721004,191.2154193,3.000790338,1.603645648
NLA12_CO-109,1,8184,NLA06608-1483,1233765,2681401.737,902.6380696,677.1257704,973.8372159,678.1232166,14.05517429,5.254768417
NLA12_CO-110,1,6342,NLA06608-0827,2890996,136694.475,472.539874,479.1203523,485.8789894,479.3945681,1.877172136,0.749184303
NLA12_CO-111,1,8477,NLA06608-1851,2888348,4322723.85,1711.548784,1538.17531,1840.860366,1538.715222,5.233323059,1.987568251
NLA12_CO-114,1,6874,NA,3230297,116726.963,287.9391141,266.1676918,287.1685282,266.1327605,4.335718153,2.038246646
NLA12_CO-115,1,7102,NA,1342174,39618.98011,426.4642397,136.9256646,111.8033063,137.099458,2.608984932,1.128236448
NLA12_CO-117,1,7686,NA,17030676,7448.794557,465.275609,423.2433581,305.8532294,423.6394705,0.151681088,0.067080247
NLA12_CO-119,1,7322,NA,2888108,463087.8749,225.679921,262.1149069,348.7878758,261.9098791,18.61776828,7.547163018
NLA12_CO-121,1,7684,NA,17905749,30182.34553,95.71125259,100.9737402,284.5046863,100.9403175,3.271802619,1.467800015
NLA12_CO-124,1,6753,NA,228961,28214.32119,322.7138012,369.1378664,331.5523268,368.7059731,0.672235816,0.306523176
NLA12_CO-125,1,7476,NA,916277,7656.978601,169.3579543,131.9544843,139.0496022,131.7019804,1.096321158,0.467456281
NLA12_CO-127,1,8414,NA,2890238,938.7411452,90.58845863,84.26223649,156.7150699,84.25198545,0.132675369,0.068422705
NLA12_CO-129,1,7395,NA,936730,1686.139594,333.2554745,124.1827382,121.9719605,123.7357762,0.142314097,0.058307205
NLA12_CO-130,1,7957,NA,1312039,94291.7664,306.7382108,164.656368,178.913615,164.0483226,6.37881343,2.457005546
NLA12_CO-131,1,6875,NA,17496123,56638.14889,477.1565272,420.2306263,453.878015,419.9551082,0.788330454,0.325577843
NLA12_CO-131,2,8025,NA,17496123,56638.14889,477.1565272,420.2306263,453.878015,419.9551082,0.788330454,0.325577843
NLA12_CO-133,1,7827,NA,17013513,1298581.997,337.8649431,290.6324736,407.5270128,291.1324279,19.44282772,8.281961686
NLA12_CO-R01,1,8258,NLA06608-0079,1343650,8265592.744,2162.084362,954.2768695,950.2781469,954.5626258,16.62360153,6.314047882
NLA12_CO-R04,1,7768,NLA06608-0715,2888150,7238477.038,1191.332674,1812.058336,894.1607073,1812.435448,29.73597033,9.116907966
NLA12_CO-R07,1,8334,NA,1354798,35964.1939,169.467209,148.9553341,186.7515462,149.1358698,3.463880398,1.413372962
NLA12_CO-R10,1,8282,NA,3112461,22954.23886,134.0125538,146.6931322,182.2475837,146.8142853,2.905227279,1.214712754
NLA12_CT-101,1,6689,NLA06608-1414,6160981,649668.9653,447.7850043,716.7648005,362.5045884,719.8818935,8.063041604,3.338445767
NLA12_CT-101,2,8298,NLA06608-1414,6160981,649668.9653,447.7850043,716.7648005,362.5045884,719.8818935,8.063041604,3.338445767
NLA12_CT-102,1,6854,NLA06608-0134,6110045,6260973.099,2002.486222,826.494204,718.4085388,826.5164675,16.10179007,6.261943879
NLA12_CT-103,1,7800,NLA06608-0006,7711476,3150627.966,928.7226162,563.9671617,716.1035221,651.3833057,15.40653313,5.606132579
NLA12_CT-104,1,7091,NLA06608-0498,6147915,1057491.646,603.7562672,851.457099,584.6870132,851.4712129,7.449729564,2.878904638
NLA12_CT-105,1,8500,NLA06608-0805,7711148,332808.8462,363.7514652,248.7173953,250.2757108,248.1617253,7.391077053,3.142169576
NLA12_CT-107,1,7450,NA,7701750,639139.3525,755.9314291,718.442689,760.2536366,721.1728464,5.002737647,1.952194858
NLA12_CT-108,1,7953,NA,7711522,1072595.836,933.8952314,333.6418352,247.1438431,337.169397,6.426397573,2.813481623
NLA12_CT-115,1,6813,NA,6161549,5022485.889,1354.14154,1158.2432,1100.656665,1167.065408,11.92902024,4.495923882
NLA12_CT-115,2,8412,NA,6161549,5022485.889,1354.14154,1158.2432,1100.656665,1167.065408,11.92902024,4.495923882
NLA12_CT-118,1,7224,NA,6148083,670976.6269,756.219923,319.0438702,261.4757961,315.441522,5.278862782,2.629248849
NLA12_CT-126,1,7582,NA,6161203,1333805.423,1004.655148,609.1880705,470.7373338,608.9793224,9.120976017,3.932373564
NLA12_DE-101,1,7729,NLA06608-0141,4652598,1016723.817,1793.934777,518.0520663,741.7539086,506.0649694,4.245999124,1.552848701
NLA12_DE-101,2,8654,NLA06608-0141,4652598,1016723.817,1793.934777,518.0520663,741.7539086,506.0649694,4.245999124,1.552848701
NLA12_DE-102,1,6838,NLA06608-1741,8075982,229455.8918,439.5466592,407.1970944,559.706943,407.094043,2.173793623,0.995527519
NLA12_DE-103,1,7972,NLA06608-2333,8390734,185355.3779,510.5819892,367.2954292,673.1019583,367.1497253,1.612418313,0.679554118
NLA12_DE-104,1,8115,NLA06608-0285,8390908,190103.1165,322.2713198,389.4787248,907.1133412,390.8863868,1.860470181,0.839220131
NLA12_DE-105,1,6780,NA,8390906,5132.954629,228.1746895,162.2554649,120.0105905,161.7486347,0.528806918,0.222823998
NLA12_DE-105,2,8620,NA,8390906,5132.954629,228.1746895,162.2554649,120.0105905,161.7486347,0.528806918,0.222823998
NLA12_DE-107,1,8592,NA,8076098,91397.02916,313.3036887,208.4444579,411.5690249,209.7712241,1.279394645,0.642663161
NLA12_DE-121,1,8469,NA,8390936,58799.74765,685.050742,459.2315495,338.7975413,457.1477887,0.541284895,0.247055719
NLA12_FL-101,1,6212,NLA06608-3169,166757656,2587045720,54770.28148,46882.8019,49420.34042,46839.59056,4.963414494,1.544600736
NLA12_FL-101,2,8062,NLA06608-3169,166757656,2587045720,54770.28148,46882.8019,49420.34042,46839.59056,4.963414494,1.544600736
NLA12_FL-102,1,6222,NLA06608-2593,16793645,1796066.051,2380.089569,1671.35831,1817.747538,1670.940397,1.676931737,0.619732464
NLA12_FL-102,2,7826,NLA06608-2593,16793645,1796066.051,2380.089569,1671.35831,1817.747538,1670.940397,1.676931737,0.619732464
NLA12_FL-103,1,7530,NLA06608-2117,16632086,456572280.5,13930.32932,14049.78263,13788.55632,14050.67383,10.41503208,3.679563853
NLA12_FL-104,1,6233,NLA06608-1349,10994803,206058.791,636.7888123,638.5729892,725.5574864,637.1100164,1.202149598,0.526294305
NLA12_FL-105,1,7839,NLA06608-1733,16636112,67609554.92,12870.47101,4913.504967,4751.125516,4933.580581,4.574591082,1.064905464
NLA12_FL-106,1,6232,NLA06608-0069,10994747,34221.08771,604.070695,373.776954,461.9695719,373.9065058,0.336342456,0.139846269
NLA12_FL-107,1,6228,NLA06608-2657,16952318,59430.19263,554.912041,920.0058416,590.9993257,915.081208,0.527762696,0.197870277
NLA12_FL-108,1,7531,NLA06608-2074,10363726,105067081,3893.452696,5019.561955,5236.37725,5016.179737,10.63800104,3.126601211
NLA12_FL-109,1,7836,NLA06608-2629,10996865,33383423.99,6076.24945,7385.371368,8354.819604,7384.761694,2.983022389,0.936273141
NLA12_FL-110,1,6231,NA,21480132,2947.740806,132.1826138,177.2759858,174.493189,177.6754577,0.364378193,0.157578075
NLA12_FL-110,2,7908,NA,21480132,2947.740806,132.1826138,177.2759858,174.493189,177.6754577,0.364378193,0.157578075
NLA12_FL-114,1,6251,NA,10994915,1801.625834,297.2403235,284.8242731,263.0694014,285.8405019,0.062482316,0.028278241
NLA12_FL-123,1,6218,NA,21489910,114496.6644,638.344981,601.5544448,636.4960528,602.1384603,0.81818624,0.331574574
NLA12_FL-123,2,8061,NA,21489910,114496.6644,638.344981,601.5544448,636.4960528,602.1384603,0.81818624,0.331574574
NLA12_FL-126,1,7909,NA,166757640,1331952.932,3972.811489,7529.331165,6113.7853,7529.239828,0.167228623,0.049795862
NLA12_FL-130,1,7814,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_FL-132,1,8060,NA,16757722,13192.03468,3052.045158,3017.699497,2691.281505,3017.791886,0.006271436,0.002178912
NLA12_FL-141,1,8026,NA,2239997,720893.5528,602.1003283,853.9061129,866.0854369,854.0035919,5.426457011,2.20241525
NLA12_FL-R04,1,1000190,NA,16628932,563323.6475,2436.350195,1333.449925,1227.6636,1333.696563,0.915404608,0.321860739
NLA12_FL-R06,1,7532,NA,18260065,1767880.412,2953.98848,3200.119611,3140.153492,3200.834337,0.692298574,0.245786518
