SITE_ID,phdi_nla12_WY_AVG
NLA12_FL-R04,-2.796153846
NLA12_GA-R01,-4.251538462
NLA12_NC-102,-1.995384615
NLA12_NC-111,-2.761538462
NLA12_NC-115,-2.876923077
NLA12_NC-120,-2.876923077
NLA12_NC-124,-2.761538462
NLA12_NC-127,-2.761538462
NLA12_NC-132,-1.995384615
NLA12_SC-105,-3.304615385
NLA12_SC-106,-3.284615385
NLA12_SC-107,-3.284615385
NLA12_SC-114,-3.304615385
NLA12_SC-119,-3.284615385
NLA12_SC-124,-4.104615385
NLA12_SC-125,-4.146153846
NLA12_SC-126,-3.382307692
NLA12_SC-127,-4.146153846
NLA12_AL-106,-2.710769231
NLA12_FL-101,-2.040769231
NLA12_FL-101,-1.453846154
NLA12_FL-102,-2.040769231
NLA12_FL-103,-2.796153846
NLA12_FL-104,-2.796153846
NLA12_FL-105,-2.796153846
NLA12_FL-106,-2.796153846
NLA12_FL-107,-2.040769231
NLA12_FL-108,-3.705384615
NLA12_FL-109,-2.796153846
NLA12_FL-110,-2.040769231
NLA12_FL-114,-2.796153846
NLA12_FL-119,-2.040769231
NLA12_FL-123,-2.040769231
NLA12_FL-126,-2.040769231
NLA12_FL-130,-2.796153846
NLA12_FL-132,-1.453846154
NLA12_FL-135,-2.040769231
NLA12_FL-141,-3.705384615
NLA12_GA-101,-3.598461538
NLA12_GA-102,-4.935384615
NLA12_GA-103,-4.237692308
NLA12_GA-107,-4.585384615
NLA12_GA-111,-4.585384615
NLA12_GA-112,-4.251538462
NLA12_GA-116,-3.476153846
NLA12_GA-119,-4.935384615
NLA12_GA-120,-4.237692308
NLA12_GA-122,-4.251538462
NLA12_GA-123,-4.251538462
NLA12_GA-124,-3.475384615
NLA12_GA-125,-4.237692308
NLA12_GA-127,-3.476153846
NLA12_GA-127,-4.585384615
NLA12_NC-101,-0.291538462
NLA12_NC-101,-0.156923077
NLA12_NC-101,-2.270769231
NLA12_NC-108,-0.291538462
NLA12_SC-101,-3.382307692
NLA12_SC-102,-4.146153846
NLA12_SC-103,-1.876153846
NLA12_SC-104,-4.104615385
NLA12_SC-108,-4.104615385
NLA12_SC-109,-3.284615385
NLA12_SC-110,-3.284615385
NLA12_SC-112,-4.104615385
NLA12_SC-117,-3.284615385
NLA12_SC-118,-3.304615385
