"","SITE_ID","VISIT_NO","XL_VertDD_use","XL_HorizDD_use","SDL_VertDD_use","SDL_HorizDD_use","XL_DDVrtDix_sc","SDL_DDVrtDix_sc","XL_DDHzSqrtA_sc","SDL_DDHzSqrtA_sc","LOE_VertDD_use","LOE_HorizDD_use","LOE_DDVrtDix_sc","LOE_DDHzSqrtA_sc","ZLOE_VertDD_use","ZLOE_HorizDD_use","ZLOE_DDVrtDix_sc","ZLOE_DDHzSqrtA_sc"
"1346","NLA12_CO-104",1,-0.6006328,0.2716127,0.4087041,0.3821072,-1.5254963,0.4820186,-1.452122,0.852297,0.782476388,1.223237322,0.871732466,0.110398141,1.914530312,3.201293568,1.808503792,0.12953013
"1347","NLA12_CO-105",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.784793339,1.384773931,1.193458014,0.433707587,1.462306329,3.220946809,2.180470797,0.538772007
"1348","NLA12_CO-106",1,-0.6006328,0.2716127,0.4087041,0.3821072,-1.5254963,0.4820186,-1.452122,0.852297,0.966120785,1.619924758,1.028378417,0.270454052,2.363863697,4.239451017,2.133482851,0.317323716
"1349","NLA12_CO-107",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.476007879,0.543507121,0.348523349,-0.155935739,0.886946027,1.264182903,0.636758877,-0.193710725
"1350","NLA12_CO-108",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.305746163,0.296225342,0.647980196,-0.131874999,0.569697177,0.689012154,1.183872308,-0.163821339
"1351","NLA12_CO-109",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.89755252,1.186860712,0.867346572,0.307390779,1.672410641,2.760605999,1.584658907,0.381855314
"1352","NLA12_CO-110",1,-0.6006328,0.2716127,0.4087041,0.3821072,-1.5254963,0.4820186,-1.452122,0.852297,0.812820404,1.205797988,1.119335961,0.343874305,1.988774775,3.15565367,2.322184167,0.403467694
"1353","NLA12_CO-111",1,-0.6006328,0.2716127,0.4087041,0.3821072,-1.5254963,0.4820186,-1.452122,0.852297,0.554875309,1.268560301,0.681843501,-0.031436665,1.357645567,3.319906823,1.414558486,-0.036884636
"1354","NLA12_CO-114",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.476007879,0.383987878,0.811844308,0.007076342,0.886946027,0.893145445,1.4832552,0.008790566
"1355","NLA12_CO-115",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,0.360938558,0.135633269,0.771572706,-0.411738612,0.938929677,0.452907411,1.809532904,-0.443338494
"1356","NLA12_CO-117",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.495142889,0.622960738,0.840052075,-0.065347027,0.922600314,1.448989871,1.534791333,-0.081177157
"1357","NLA12_CO-119",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,-0.3111593,-0.1697181,-0.3152184,-0.6004739,-0.809436107,-0.566723678,-0.739266776,-0.646558731
"1358","NLA12_CO-121",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.464108656,0.37684863,1.007088562,0.158011422,0.86477419,0.876539747,1.839970216,0.196289236
"1359","NLA12_CO-124",1,-0.6006328,0.2716127,0.4087041,0.3821072,-1.5254963,0.4820186,-1.452122,0.852297,0.191697407,-0.028574651,0.373171763,-0.451939986,0.469037152,-0.074781766,0.774185401,-0.530261148
"1360","NLA12_CO-125",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,-0.3111593,-0.1697181,-0.3152184,-0.6004739,-0.809436107,-0.566723678,-0.739266776,-0.646558731
"1361","NLA12_CO-127",1,-0.6006328,0.2716127,0.4087041,0.3821072,-1.5254963,0.4820186,-1.452122,0.852297,0.843670849,0.387352143,1.032435078,-0.313340262,2.064258344,1.013726364,2.141898836,-0.367642103
"1362","NLA12_CO-129",1,-0.8885898,0.0835151,0.2045807,0.2002487,-1.7509032,0.468163,-1.6489222,0.6566322,0.587559804,1.266732918,1.052966001,0.781009191,2.872019718,6.325798461,2.249143997,1.189416527
"1363","NLA12_CO-130",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,-0.3111593,-0.1697181,-0.3152184,-0.6004739,-0.809436107,-0.566723678,-0.739266776,-0.646558731
"1364","NLA12_CO-131",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.16307866,0.172248498,0.325535209,-0.256903367,0.303864654,0.40064536,0.594759103,-0.319137471
"1365","NLA12_CO-131",2,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,-0.013012599,-0.143107352,0.139224785,-0.391641085,-0.024246391,-0.33286384,0.254366366,-0.486515016
"1366","NLA12_CO-133",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.51347027,0.7344185,1.168100913,0.13422907,0.956749744,1.708237619,2.134142885,0.166745677
"1367","NLA12_CO-R01",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,-0.3111593,-0.1697181,-0.3152184,-0.6004739,-0.809436107,-0.566723678,-0.739266776,-0.646558731
"1368","NLA12_CO-R04",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.27578294,-0.114913151,NA,-0.418540294,0.513866669,-0.26728489,NA,-0.519930482
"1369","NLA12_CO-R07",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,-0.5693151,-0.3579512,-0.5063009,-0.453638,-1.060805479,-0.832584835,-0.925021504,-0.563530506
