SITE_ID,Precip_PT,E,RH_PT,TMEAN_PT,P_WY
NLA12_MN-322,55.52,48.90523018,2.062045329,6.045384636,682.6018134
NLA12_MN-325,38.00,53.32168889,2.171076808,7.118461482,436.7403128
NLA12_MN-334,39.64,51.55234716,2.060986403,6.738461688,430.0152322
NLA12_MN-335,50.96,55.90336833,2.272406675,7.969230726,604.5730383
NLA12_MN-338,53.60,50.53247426,2.099917028,6.513461498,655.3206915
NLA12_MN-341,33.23,51.72321601,2.105326523,6.549615272,367.7267134
NLA12_MN-342,57.70,48.08474799,2.074581773,5.899615233,702.0467455
NLA12_MN-346,69.62,45.65411185,1.988348904,5.082307613,813.0664612
NLA12_MN-367,35.42,52.26112256,2.134939695,6.696153935,376.3673408
NLA12_MN-378,48.44,60.59995206,2.466974469,10.06807707,593.2473709
NLA12_MN-395,35.91,56.1040211,2.292441635,8.311153926,437.7331651
NLA12_MN-396,46.33,59.17274125,2.388446013,9.421538444,590.8261262
NLA12_MN-414,38.29,51.12613141,2.086944411,6.372307833,421.8827961
NLA12_MN-415,33.19,55.0943834,2.22222696,7.614230909,364.6446569
NLA12_MN-420,38.27,55.79702315,2.287003373,8.208076972,462.6065855
NLA12_MN-427,39.42,57.601901,2.321569379,8.881153859,471.2153063
NLA12_MN-443,51.48,58.04699918,2.31872813,9.161923041,636.2569037
NLA12_MN-444,51.45,58.46637166,2.34033996,9.290769136,635.5813072
NLA12_MN-475,36.58,56.21175845,2.30626632,8.498461449,430.6769435
NLA12_MN-R01,44.77,52.34099013,2.18405706,7.085000002,530.9576384
NLA12_MN-R12,47.65,49.94030612,2.064229056,6.185384447,552.1703156
NLA12_MN-R13,52.83,52.09297842,2.184604529,6.996153758,633.891868
NLA12_MN-R14,66.83,49.24907952,2.10113747,6.468846119,831.1404573
NLA12_MO-101,100.80,75.99169658,3.079374822,15.42423087,1247.471685
NLA12_MO-102,85.29,73.38682115,2.974284381,14.9626921,1033.063909
NLA12_MO-103,61.98,72.3657393,2.830124651,13.96307709,768.2302401
NLA12_MO-104,77.01,71.82425773,2.972003133,14.90538467,917.0833534
NLA12_MO-105,75.67,71.64987108,2.868742541,14.59076898,904.8861524
NLA12_MO-106,91.81,76.93185762,3.199839015,15.8980769,1124.394324
NLA12_MO-107,101.00,75.95210405,3.205217998,15.99230752,1205.253233
NLA12_MO-108,92.53,72.04381304,2.994297303,14.87192295,1124.946383
NLA12_MO-109,72.80,73.68691418,2.933415091,14.54538446,838.3522243
NLA12_MO-110,86.75,69.66396922,2.846831491,14.10576918,1022.799386
NLA12_MO-115,61.66,72.19919075,2.810247512,13.75692313,757.9137083
NLA12_MO-117,69.54,71.74797932,2.932090881,14.68230768,836.0829966
NLA12_MO-119,77.54,74.87280149,2.983464746,14.90884588,924.1909904
NLA12_MO-120,67.77,71.41187797,2.884629727,14.23846131,783.2691205
NLA12_MO-122,67.55,66.9623987,2.709142494,12.80884581,770.6601724
NLA12_MO-123,81.49,74.82466079,2.956956106,14.86615381,945.6876523
NLA12_MO-126,62.62,68.62301266,2.756867269,13.12461561,735.7659232
NLA12_MO-R01,72.89,72.43483676,2.95930029,14.94269239,868.9496604
NLA12_MO-R02,76.25,71.90695803,2.940384464,14.8007694,891.3907174
NLA12_MS-101,123.94,85.84850413,3.873729577,19.43500005,1585.726804
NLA12_MS-102,134.14,85.12979116,3.842716113,19.34384595,1714.643196
NLA12_MS-103,143.28,86.82485063,4.216227024,20.22269242,1798.748038
NLA12_MS-104,118.79,84.32704626,3.904485934,18.74769222,1367.484127
NLA12_MS-105,131.76,85.03185272,3.941412871,19.47499972,1658.940981
NLA12_MS-106,99.50,79.53697008,3.561603226,17.34807675,1135.453729
NLA12_MS-107,87.66,80.98992815,3.588342633,17.54230774,1011.994228
NLA12_MS-112,113.24,80.02602959,3.639409821,17.85153851,1293.016646
NLA12_MS-113,117.09,74.24315962,3.365659036,16.34653869,1374.299615
NLA12_MS-116,108.17,78.49742515,3.566640543,17.40269199,1233.49453
NLA12_MS-119,119.36,80.57461045,3.723595181,18.25384602,1403.329808
NLA12_MS-125,134.70,79.00511428,3.667779113,18.05230794,1639.481381
NLA12_MS-126,138.17,86.97852905,4.015410652,20.00807681,1755.528901
NLA12_MS-128,116.21,76.66782014,3.47442163,16.94615371,1401.405665
NLA12_MS-R03,118.01,78.95212588,3.623365468,17.72038452,1349.117729
NLA12_MT-102,53.25,45.8311898,2.177649907,6.810769283,601.4051359
NLA12_MT-103,24.93,49.68387854,2.047149136,6.307692234,295.3990145
NLA12_MT-104,24.85,48.39381955,2.172174636,7.685000053,289.0831879
NLA12_MT-105,39.92,50.5989592,2.316074061,7.993076949,480.9588792
NLA12_MT-106,25.23,46.1374789,2.078071277,6.913461703,286.0660294
NLA12_MT-107,33.79,42.1603073,1.969159149,5.555769443,383.4448934
NLA12_MT-108,29.87,45.4512168,2.044961526,6.072307587,354.5277962
NLA12_MT-109,28.37,54.85175579,2.236409177,7.793846369,347.811323
NLA12_MT-110,79.43,34.89571406,1.754954064,2.892307649,893.8991953
NLA12_MT-111,59.13,44.51545951,2.149445343,6.218461495,657.5588482
NLA12_MT-113,21.07,47.84932668,2.113922673,7.288461464,241.1548019
NLA12_MT-118,24.40,51.58743818,2.154559733,6.958846312,300.3858055
NLA12_MT-119,22.56,52.76459039,2.184212415,7.774230902,258.4879721
NLA12_MT-120,129.04,37.13035204,1.929989661,3.540384458,1521.481155
NLA12_MT-124,37.31,37.72757604,1.886301471,3.936923009,449.7587252
NLA12_MT-126,24.87,51.35287585,2.110202072,6.564230664,294.6169119
NLA12_MT-135,37.63,47.15611932,2.046818544,7.119615371,427.3554234
NLA12_MT-136,82.80,41.3774105,2.019205534,5.218461679,952.9992652
NLA12_MT-138,28.17,56.4597373,2.294155379,8.929230763,331.8906969
NLA12_MT-140,121.75,37.52478946,1.880552189,3.970384763,1448.719558
NLA12_MT-142,24.21,53.22640774,2.117673689,7.250384643,278.83969
NLA12_MT-143,40.80,41.92737133,1.978042039,5.291923092,449.4648682
NLA12_MT-144,20.82,47.61025786,2.118532748,7.210769139,253.0610442
NLA12_MT-151,27.19,52.35371194,2.195993973,7.931153829,317.4282151
NLA12_MT-152,80.79,32.87137477,1.665456244,1.945769291,964.4140059
NLA12_MT-154,21.56,50.86299329,2.093055106,6.288461519,255.3771735
NLA12_MT-156,26.97,42.87675156,1.951803967,5.644615485,323.636391
NLA12_MT-160,20.91,46.03163494,2.058078894,6.736923146,241.6884459
NLA12_MT-161,26.09,59.79837683,2.405184077,9.226153741,318.4240355
NLA12_MT-162,80.90,33.43028879,1.656161159,1.913076878,1108.57006
NLA12_MT-164,41.61,44.99177892,2.205357385,6.500384643,469.262422
NLA12_MT-177,24.03,57.29935486,2.292026951,8.851538383,275.6016494
NLA12_NC-101,98.21,70.98395236,3.275452173,15.71192309,1184.623498
NLA12_NC-103,98.27,76.25549942,3.528899082,16.91653842,1222.184472
NLA12_NC-104,99.00,77.73484383,3.74454669,17.71692276,1180.497533
NLA12_NC-105,120.17,59.1906781,2.875709177,13.14115401,1447.305235
NLA12_NC-107,75.82,76.44335505,3.545816881,17.07961548,936.3728135
NLA12_NC-108,116.13,64.86432526,3.068350747,14.41961545,1451.754052
NLA12_NC-109,158.98,57.10542092,2.828082575,12.70807688,2000.733805
NLA12_NC-114,98.62,75.08229188,3.409368448,16.52961548,1211.517347
NLA12_NC-115,87.05,77.06785944,3.577984699,17.14961529,1065.046014
NLA12_NC-116,100.65,72.50426422,3.273853825,15.97692303,1246.383998
NLA12_NC-124,85.60,75.91914507,3.508992419,16.90999985,1078.93887
NLA12_NC-127,90.28,75.21588336,3.434437535,16.5996155,1118.337029
NLA12_NC-134,89.45,73.97591,3.437403654,16.41153831,1102.7209
NLA12_ND-101,37.96,56.85937458,2.329899845,8.44115393,434.5233515
NLA12_ND-102,35.54,51.35895267,2.107002905,6.346153809,373.1153729
