"","SITE_ID","DSGN_CYCLE","SITETYPE","IND_DOMAIN","UNIQUE_ID","WGT_CAT","WGT_SP","WGT_TP"
"572","NLA12_NE-106",2012,"PROB","CORE","NLA_NE-10092","TPL_(20,50]",43.58689877,0
"573","NLA12_NE-107",2012,"PROB","CORE","NLA_NE-10105","SPL_(20,50]",28.70092648,0
"574","NLA12_NE-121",2012,"PROB","CORE","NLA_NE-10115","SPL_>50",7.783105841,0
"575","NLA12_NE-125",2012,"PROB","CORE","NLA_NE-10119","SPL_(10,20]",12.5934696,0
"576","NLA12_NE-127",2012,"PROB","CORE","NLA_NE-10121","SPL_>50",7.783105841,0
"577","NLA12_NE-129",2012,"PROB","CORE","NLA_NE-10123","TPL_(20,50]",15.29853947,0
"578","NLA12_NE-133",2012,"PROB","CORE","NLA_NE-10127","SPL_>50",7.783105841,0
"579","NLA12_NE-135",2012,"PROB","CORE","NLA_NE-10129","SPL_(10,20]",12.5934696,0
"580","NLA12_NE-149",2012,"PROB","CORE","NLA_NE-10142","SPL_(4,10]",43.54361937,0
"581","NLA12_NE-154",2012,"PROB","CORE","NLA_NE-10146","TPL_>50",9.881581998,0
"582","NLA12_NE-156",2012,"PROB","CORE","NLA_NE-10148","SPL_(10,20]",12.5934696,0
"583","NLA12_NE-157",2012,"PROB","CORE","NLA_NE-10149","TPL_(20,50]",15.29853947,0
"584","NLA12_NE-158",2012,"PROB","CORE","NLA_NE-10150","SPL_(20,50]",11.66736557,0
"585","NLA12_NE-160",2012,"PROB","CORE","NLA_NE-10152","SPL_>50",7.783105841,0
"586","NLA12_NE-166",2012,"PROB","CORE","NLA_NE-10158","SPL_(1,4]",115.3074561,0
"587","NLA12_NE-170",2012,"PROB","CORE","NLA_NE-10162","TPL_>50",9.881581998,0
"588","NLA12_NH-105",2012,"PROB","CORE","NLA_NH-10005","NAP_>50",26.50051526,0
"589","NLA12_NH-102",2012,"PROB","CORE","NLA_NH-10007","NAP_(10,20]",230.355825,0
"590","NLA12_NH-101",2012,"PROB","CORE","NLA_NH-10013","NAP_(10,20]",230.355825,0
"591","NLA12_NH-103",2012,"PROB","CORE","NLA_NH-10015","NAP_>50",29.18024457,0
"592","NLA12_NH-104",2012,"PROB","CORE","NLA_NH-10016","NAP_>50",29.18024457,0
"593","NLA12_NH-107",2012,"PROB","CORE","NLA_NH-10018","NAP_(4,10]",124.1675499,0
"594","NLA12_NH-108",2012,"PROB","CORE","NLA_NH-10019","NAP_(20,50]",31.91694409,0
"595","NLA12_NH-109",2012,"PROB","CORE","NLA_NH-10020","NAP_>50",25.40911433,0
"596","NLA12_NH-111",2012,"PROB","CORE","NLA_NH-10022","NAP_(20,50]",31.91694409,0
"597","NLA12_NH-112",2012,"PROB","CORE","NLA_NH-10023","NAP_(1,4]",158.4865037,0
"598","NLA12_NH-115",2012,"PROB","CORE","NLA_NH-10026","NAP_(20,50]",31.91694409,0
"599","NLA12_NJ-104",2012,"PROB","CORE","NLA_NJ-10001","CPL_(20,50]",13.96224492,0
"600","NLA12_NJ-102",2012,"PROB","CORE","NLA_NJ-10002","NAP_>50",10.17627208,0
"601","NLA12_NJ-103",2012,"PROB","CORE","NLA_NJ-10005","SAP_(20,50]",10.80630577,0
"602","NLA12_NJ-101",2012,"PROB","CORE","NLA_NJ-10006","NAP_(20,50]",42.0124509,0
"603","NLA12_NJ-105",2012,"PROB","CORE","NLA_NJ-10014","NAP_(10,20]",6.905273716,0
"604","NLA12_NJ-106",2012,"PROB","CORE","NLA_NJ-10015","NAP_(4,10]",6.882266044,0
"605","NLA12_NJ-107",2012,"PROB","CORE","NLA_NJ-10016","NAP_(1,4]",7.303058092,0
"606","NLA12_NJ-108",2012,"PROB","CORE","NLA_NJ-10017","CPL_(20,50]",1.693868995,0
"607","NLA12_NJ-118",2012,"PROB","CORE","NLA_NJ-10018","NAP_(1,4]",69.98764005,0
"608","NLA12_NJ-119",2012,"PROB","CORE","NLA_NJ-10019","NAP_(1,4]",69.98764005,0
"609","NLA12_NJ-131",2012,"PROB","CORE","NLA_NJ-10020","CPL_(10,20]",25.98989144,0
"610","NLA12_NM-104",2012,"PROB","CORE","NLA_NM-10009","XER_(20,50]",9.775407507,0
"611","NLA12_NM-105",2012,"PROB","CORE","NLA_NM-10011","SPL_>50",1.675584395,0
"612","NLA12_NM-117",2012,"PROB","CORE","NLA_NM-10039","WMT_(20,50]",2.47812016,0
"613","NLA12_NM-129",2012,"PROB","CORE","NLA_NM-10051","SPL_>50",1.865232337,0
"614","NLA12_NM-132",2012,"PROB","CORE","NLA_NM-10054","WMT_(20,50]",2.47812016,0
"615","NLA12_NM-133",2012,"PROB","CORE","NLA_NM-10055","WMT_(1,4]",25.76493606,0
"616","NLA12_NM-134",2012,"PROB","CORE","NLA_NM-10056","XER_>50",1.014486181,0
"617","NLA12_NM-138",2012,"PROB","CORE","NLA_NM-10060","WMT_(10,20]",1.382804768,0
"618","NLA12_NM-150",2012,"PROB","CORE","NLA_NM-10072","XER_(10,20]",0.868919575,0
"619","NLA12_NM-152",2012,"PROB","CORE","NLA_NM-10074","SPL_(20,50]",1.429824212,0
