response,predictor,effect,est_std,se_std,z,pvalue,ci_lower,ci_upper
L_HorizDD_use,L_inflow,total,0.069112328,0.040438267,1.709082348,0.087435697,-0.010145219,0.148369875
L_HorizDD_use,BFIWs,total,-0.049934927,0.041107435,-1.21474196,0.224464523,-0.13050402,0.030634166
L_HorizDD_use,Temp_degC_avg_yr,total,0.066241923,0.056083476,1.181130833,0.237550753,-0.04367967,0.176163515
L_HorizDD_use,Precip_mm_total_yr_sc,total,-0.114220989,0.058062218,-1.967217135,0.049158183,-0.228020844,-0.000421134
L_HorizDD_use,PHDI,total,-0.202165592,0.043948667,-4.600039266,4.22E-06,-0.288303395,-0.116027788
L_HorizDD_use,HydrAP,total,-0.099803155,0.044719471,-2.231760636,0.025630787,-0.187451708,-0.012154602
L_VertDD_use,L_LkAreakm2,total,0.205183244,0.060615198,3.385013195,0.000711748,0.08637964,0.323986849
L_VertDD_use,L_DpthMx_mod,total,0.00858704,0.052932587,0.162225965,0.871127913,-0.095158924,0.112333004
L_VertDD_use,L_SLD,total,0.067096192,0.055326043,1.212741549,0.225228649,-0.041340861,0.175533244
L_VertDD_use,bffFlat_grad,total,0.008302999,0.006224479,1.33392667,0.18222789,-0.003896756,0.020502753
L_VertDD_use,L_EI,total,0.137533355,0.060390381,2.277404998,0.022762052,0.019170384,0.255896326
L_VertDD_use,L_inflow,total,0.094460929,0.05462812,1.729163081,0.083779912,-0.01260822,0.201530078
L_VertDD_use,BFIWs,total,-0.068249756,0.056003198,-1.218676046,0.222967173,-0.178014008,0.041514495
L_VertDD_use,Temp_degC_avg_yr,total,0.088967584,0.053537981,1.661765765,0.096559749,-0.015964931,0.193900098
L_VertDD_use,Precip_mm_total_yr_sc,total,-0.189560373,0.059319226,-3.195597538,0.001395416,-0.30582392,-0.073296826
L_VertDD_use,PHDI,total,-0.126770688,0.044479253,-2.850108301,0.004370434,-0.213948421,-0.039592954
L_VertDD_use,HydrAP,total,-0.193115286,0.04852425,-3.979768617,6.90E-05,-0.288221067,-0.098009504
L_EI,L_LkAreakm2,total,0.111005652,0.041628012,2.666609482,0.007662065,0.029416247,0.192595056
L_EI,L_DpthMx_mod,total,-0.314173591,0.039751837,-7.903372847,2.66E-15,-0.392085761,-0.236261422
L_EI,bffFlat_grad,total,0.0603708,0.036953601,1.63369194,0.102323552,-0.012056927,0.132798526
L_EI,L_inflow,total,-0.444393157,0.042774484,-10.38921151,0,-0.528229604,-0.36055671
L_EI,BFIWs,total,-0.067696579,0.038127161,-1.775547324,0.075807559,-0.142424442,0.007031284
L_EI,Temp_degC_avg_yr,total,0.085485178,0.039584694,2.159551294,0.030807422,0.007900603,0.163069753
L_EI,Precip_mm_total_yr_sc,total,-0.043590056,0.046467455,-0.938077114,0.348204782,-0.134664594,0.047484482
L_EI,PHDI,total,-0.061766629,0.036524455,-1.691103376,0.090817061,-0.133353245,0.009819987
L_EI,HydrAP,total,0.091077454,0.041957575,2.170703475,0.029953594,0.008842118,0.17331279
