ecoregion,response,predictor,effect,est_std,se_std,z,pvalue,ci_lower,ci_upper
WEST,L_VertDD_use,L_LkAreakm2,indirect,0.003437627,0.005010439,0.686092921,0.492654515,-0.006382654,0.013257907
WEST,L_VertDD_use,L_DpthMx_mod,indirect,-0.022801796,0.015432123,-1.477554006,0.139527193,-0.053048201,0.00744461
WEST,L_VertDD_use,bffFlat_grad,indirect,0.012065943,0.008221421,1.467622607,0.142206764,-0.004047746,0.028179632
WEST,L_VertDD_use,L_inflow,indirect,-0.021830815,0.01375981,-1.58656372,0.11261149,-0.048799546,0.005137917
WEST,L_VertDD_use,BFIWs,indirect,-0.007564463,0.006645115,-1.138349377,0.254974624,-0.02058865,0.005459724
WEST,L_VertDD_use,Temp_degC_avg_yr,indirect,0.011920069,0.008359988,1.425847678,0.153912315,-0.004465206,0.028305345
WEST,L_VertDD_use,Precip_mm_total_yr_sc,indirect,-0.013194421,0.009321184,-1.415530571,0.156912991,-0.031463607,0.005074764
WEST,L_VertDD_use,PHDI,indirect,-0.00567973,0.009086667,-0.625062014,0.531930358,-0.02348927,0.012129809
WEST,L_VertDD_use,HydrAP,indirect,-0.015239503,0.010715421,-1.422202924,1.55E-01,-0.036241342,0.005762336
WEST,L_VertDD_use,HydrAP_PHDI,indirect,0.007507962,0.009431714,0.796033713,4.26E-01,-0.010977857,0.025993781
WEST,L_HorizDD_use,L_LkAreakm2,total,0.271547193,0.068951554,3.938231654,8.20843E-05,0.13640463,0.406689756
WEST,L_HorizDD_use,L_DpthMx_mod,total,-0.177419389,0.053809559,-3.297172314,0.000976636,-0.282884187,-0.071954591
WEST,L_HorizDD_use,L_SLD,total,0.040910934,0.061977545,0.660092849,0.509194247,-0.080562821,0.162384689
WEST,L_HorizDD_use,bffFlat_grad,total,0.129549649,0.031404392,4.125207948,3.704E-05,0.067998171,0.191101127
WEST,L_HorizDD_use,L_VertDD_use,total,0.794876018,0.029079034,27.33502175,0,0.737882159,0.851869876
