"","SITE_ID","DSGN_CYCLE","SITETYPE","IND_DOMAIN","UNIQUE_ID","WGT_CAT","WGT_SP","WGT_TP"
"1","NLA06608-0203",2007,"PROB","CORE","NLA_AL-10003","SAP_>50",5.763444752,0
"2","NLA06608-0283",2007,"PROB","CORE","NLA_AL-10005","CPL_>50",13.17706804,0
"3","NLA06608-0395",2007,"PROB","CORE","NLA_AL-10007","SAP_>50",4.512108505,0
"4","NLA06608-0459",2007,"PROB","CORE","NLA_AL-10009","SAP_>50",10.36751041,0
"5","NLA06608-0618",2007,"PROB","CORE","NLA_AL-10010","CPL_>50",2.634200571,0
"6","NLA06608-0651",2007,"PROB","CORE","NLA_AL-10011","SAP_>50",4.512108505,0
"7","NLA06608-0843",2007,"PROB","CORE","NLA_AL-10013","SAP_(20,50]",22.94328221,0
"8","NLA06608-1323",2007,"PROB","CORE","NLA_AL-10019","SAP_>50",4.512108505,0
"9","NLA06608-1871",2007,"PROB","CORE","NLA_AL-10023","SAP_(20,50]",22.94328221,0
"10","NLA06608-2091",2007,"PROB","CORE","NLA_AL-10027","CPL_>50",13.17706804,0
"11","NLA06608-2154",2007,"PROB","CORE","NLA_AL-10028","CPL_(20,50]",28.94460473,0
"12","NLA06608-2187",2007,"PROB","CORE","NLA_AL-10029","SAP_>50",4.512108505,0
"13","NLA06608-2831",2007,"PROB","CORE","NLA_AL-10035","SAP_>50",3.265352994,0
"14","NLA06608-2955",2007,"PROB","CORE","NLA_AL-10037","SAP_>50",11.41587197,0
"15","NLA06608-0080",2007,"PROB","CORE","NLA_AR-10001","CPL_>50",21.73968701,0
"16","NLA06608-0176",2007,"PROB","CORE","NLA_AR-10002","CPL_(20,50]",2.35264597,0
"17","NLA06608-0208",2007,"PROB","CORE","NLA_AR-10003","CPL_>50",21.73968701,0
"18","NLA06608-0436",2007,"PROB","CORE","NLA_AR-10005","SAP_>50",4.512108505,0
"19","NLA06608-0500",2007,"PROB","CORE","NLA_AR-10006","SAP_>50",20.73854091,0
"20","NLA06608-1204",2007,"PROB","CORE","NLA_AR-10014","SAP_>50",4.512108505,0
"21","NLA06608-1288",2007,"PROB","CORE","NLA_AR-10015","CPL_>50",2.634200571,0
"22","NLA06608-1484",2007,"PROB","CORE","NLA_AR-10018","SAP_(20,50]",41.67970681,0
"23","NLA06608-1808",2007,"PROB","CORE","NLA_AR-10020","CPL_>50",23.93800187,0
"24","NLA06608-2076",2007,"PROB","CORE","NLA_AR-10023","SAP_(20,50]",41.67970681,0
"25","NLA06608-0061",2007,"PROB","CORE","NLA_AZ-10001","XER_>50",1.608978926,0
"26","NLA06608-0127",2007,"PROB","CORE","NLA_AZ-10002","XER_(20,50]",4.503625106,0
"27","NLA06608-0130",2007,"PROB","CORE","NLA_AZ-10003","XER_(20,50]",4.177346414,0
"28","NLA06608-0132",2007,"PROB","CORE","NLA_AZ-10004","WMT_>50",1.611587166,0
"29","NLA06608-0569",2007,"PROB","CORE","NLA_AZ-10008","WMT_>50",1.77455069,0
"30","NLA06608-0617",2007,"PROB","CORE","NLA_AZ-10011","WMT_>50",1.77455069,0
"31","NLA06608-0770",2007,"PROB","CORE","NLA_AZ-10014","XER_(10,20]",7.34143914,0
"32","NLA06608-0809",2007,"PROB","CORE","NLA_AZ-10015","WMT_>50",2.774979131,0
"33","NLA06608-0834",2007,"PROB","CORE","NLA_AZ-10016","XER_>50",1.734650941,0
"34","NLA06608-0836",2007,"PROB","CORE","NLA_AZ-10017","XER_>50",1.608978926,0
"35","NLA06608-0873",2007,"PROB","CORE","NLA_AZ-10018","WMT_(20,50]",5.209887807,0
"36","NLA06608-0877",2007,"PROB","CORE","NLA_AZ-10019","XER_>50",1.461220466,0
"37","NLA06608-0895",2007,"PROB","CORE","NLA_AZ-10020","XER_>50",2.712585326,0
"38","NLA06608-1129",2007,"PROB","CORE","NLA_AZ-10025","WMT_>50",1.77455069,0
"39","NLA06608-1151",2007,"PROB","CORE","NLA_AZ-10026","WMT_>50",1.611587166,0
"40","NLA06608-1577",2007,"PROB","CORE","NLA_AZ-10031","WMT_>50",1.611587166,0
"41","NLA06608-1593",2007,"PROB","CORE","NLA_AZ-10032","WMT_>50",1.611587166,0
"42","NLA06608-1602",2007,"PROB","CORE","NLA_AZ-10033","XER_>50",1.734650941,0
"43","NLA06608-1641",2007,"PROB","CORE","NLA_AZ-10035","WMT_>50",1.611587166,0
"44","NLA06608-2217",2007,"PROB","CORE","NLA_AZ-10043","WMT_(20,50]",5.209887807,0
"45","NLA06608-2372",2007,"PROB","CORE","NLA_AZ-10045","WMT_>50",1.645988017,0
"46","NLA06608-0137",2007,"PROB","CORE","NLA_CA-10002","WMT_>50",2.774979131,0
"47","NLA06608-0173",2007,"PROB","CORE","NLA_CA-10003","XER_>50",32.77733152,0
"48","NLA06608-0181",2007,"PROB","CORE","NLA_CA-10004","WMT_>50",13.63354548,0
"49","NLA06608-0201",2007,"PROB","CORE","NLA_CA-10005","WMT_>50",14.69841657,0
"50","NLA06608-0245",2007,"PROB","CORE","NLA_CA-10006","XER_>50",13.32700307,0
"51","NLA06608-0373",2007,"PROB","CORE","NLA_CA-10008","WMT_>50",14.69841657,0
"52","NLA06608-0393",2007,"PROB","CORE","NLA_CA-10009","XER_>50",2.712585326,0
"53","NLA06608-0501",2007,"PROB","CORE","NLA_CA-10012","WMT_>50",12.38152679,0
"54","NLA06608-0565",2007,"PROB","CORE","NLA_CA-10013","XER_(10,20]",60.80836759,0
"55","NLA06608-0649",2007,"PROB","CORE","NLA_CA-10015","WMT_>50",13.34860685,0
"56","NLA06608-0693",2007,"PROB","CORE","NLA_CA-10016","XER_>50",12.10313531,0
"57","NLA06608-0713",2007,"PROB","CORE","NLA_CA-10017","WMT_>50",2.774979131,0
"58","NLA06608-0885",2007,"PROB","CORE","NLA_CA-10019","XER_(20,50]",34.60052062,0
