"","SITE_ID","VISIT_NO","XL_VertDD_use","XL_HorizDD_use","SDL_VertDD_use","SDL_HorizDD_use","XL_DDVrtDix_sc","SDL_DDVrtDix_sc","XL_DDHzSqrtA_sc","SDL_DDHzSqrtA_sc","LOE_VertDD_use","LOE_HorizDD_use","LOE_DDVrtDix_sc","LOE_DDHzSqrtA_sc","ZLOE_VertDD_use","ZLOE_HorizDD_use","ZLOE_DDVrtDix_sc","ZLOE_DDHzSqrtA_sc"
"1","NLA06608-0001",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,-0.224009124,-0.150832756,-0.212189023,0.209666229,-0.582727476,-0.503661626,-0.49763686,0.225757574
"2","NLA06608-0002",1,-0.8509339,0.0986139,0.3312391,0.2367986,-1.7776482,0.4748685,-1.7988,0.6065711,-0.1490661,-0.0986139,-0.2223518,-0.2012,-0.450025676,-0.416446297,-0.468238681,-0.331700604
"3","NLA06608-0002",2,-0.8509339,0.0986139,0.3312391,0.2367986,-1.7776482,0.4748685,-1.7988,0.6065711,0.151963896,-0.057221215,0.716783291,1.235241001,0.458774027,-0.241645072,1.50943533,2.036432334
"4","NLA06608-0003",1,-0.8509339,0.0986139,0.3312391,0.2367986,-1.7776482,0.4748685,-1.7988,0.6065711,-0.1490661,-0.0986139,-0.2223518,-0.2012,-0.450025676,-0.416446297,-0.468238681,-0.331700604
"5","NLA06608-0003",2,-0.8509339,0.0986139,0.3312391,0.2367986,-1.7776482,0.4748685,-1.7988,0.6065711,-0.1490661,-0.0986139,-0.2223518,-0.2012,-0.450025676,-0.416446297,-0.468238681,-0.331700604
"6","NLA06608-0004",1,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,0.487589751,0.73053927,0.736934063,2.690469138,0.908526543,1.699214636,1.346392739,3.34222758
"7","NLA06608-0004",2,-0.4306849,0.3579512,0.5366819,0.4299276,-1.4936991,0.5473396,-1.546362,0.8049928,-0.092193845,-0.090779472,0.130521198,1.572149882,-0.171784898,-0.211150602,0.238464744,1.952998688
"8","NLA06608-0005",1,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,0.48123239,0.215888174,0.663627897,1.911322125,1.251856756,0.720895059,1.556375059,2.058011195
"9","NLA06608-0005",2,-0.6888407,0.1697181,0.3844149,0.2994724,-1.6847816,0.4263933,-1.3995261,0.9287229,0.514915503,0.34879584,0.651433367,2.117208061,1.339478524,1.164701121,1.527775806,2.279698348
"10","NLA06608-0006",1,-0.8148954,0.0737284,0.3040513,0.1436183,-1.8115414,0.3399303,-1.3779563,0.9483471,0.928838752,0.526154672,0.570686493,1.978396687,3.054875122,3.663562875,1.678833847,2.086152515
