"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"WSA9_Ecoregions","SAP","vert","5Pct",53,0,"",0,0
"WSA9_Ecoregions","SAP","vert","10Pct",53,0,"",0,0
"WSA9_Ecoregions","SAP","vert","25Pct",53,0,"",0,0
"WSA9_Ecoregions","SAP","vert","50Pct",53,0,"",0,0.31703612891445
"WSA9_Ecoregions","SAP","vert","75Pct",57,0.317761392442399,"",0,3
"WSA9_Ecoregions","SAP","vert","90Pct",59,0.376560008429444,"",0.319558906331412,3
"WSA9_Ecoregions","SAP","vert","95Pct",62,0.507916231190878,"",0.480721060257804,1.96843775192477
"WSA9_Ecoregions","SAP","vert","Mean",73,0.195044141740953,"0.0393445414693521",0.11793025747278,0.272158026009126
"WSA9_Ecoregions","SAP","vert","Variance",73,0.115415892669832,"0.0400571435506702",0.0369053339869675,0.193926451352697
"WSA9_Ecoregions","SAP","vert","Std. Deviation",73,0.339729146041125,"0.0589545289496904",0.224180392574208,0.455277899508042
"WSA9_Ecoregions","SPL","vert","5Pct",30,0,"",0,0
"WSA9_Ecoregions","SPL","vert","10Pct",30,0,"",0,0
"WSA9_Ecoregions","SPL","vert","25Pct",30,0,"",0,0.294366898360822
"WSA9_Ecoregions","SPL","vert","50Pct",39,0.310598030341288,"",0,0.684223105659461
"WSA9_Ecoregions","SPL","vert","75Pct",56,0.715714469470001,"",0.35158530316131,1.69488153079174
"WSA9_Ecoregions","SPL","vert","90Pct",66,1.51645955326296,"",0.729228988428963,2.5611535560522
"WSA9_Ecoregions","SPL","vert","95Pct",69,1.69894757841557,"",1.62219573566998,8.96052377252446
"WSA9_Ecoregions","SPL","vert","Mean",84,0.634281010695904,"0.101521543263119",0.435302442245265,0.833259579146543
"WSA9_Ecoregions","SPL","vert","Variance",84,1.7623509820531,"0.781518194344444",0.230603467875214,3.29409849623098
"WSA9_Ecoregions","SPL","vert","Std. Deviation",84,1.32753568014314,"0.294349223916972",0.750621802388555,1.90444955789772
"WSA9_Ecoregions","TPL","vert","5Pct",97,0,"",0,0
"WSA9_Ecoregions","TPL","vert","10Pct",97,0,"",0,0
