"","Type","ECOREG_use","Lake_Origin_use","Indicator","10Pct","25Pct","50Pct","5Pct","75Pct","90Pct","95Pct","Mean","Std. Deviation","Variance"
"1","WSA9_by_Lake_Origin","CPL","MAN_MADE","vert",0,0,0,0,0,0.321027382364076,0.585786932247538,0.100920019109071,0.333668299633862,0.111334534180552
"2","WSA9_by_Lake_Origin","CPL","NATURAL","vert",0,0,0.392395949854828,0,0.960533897251829,1.19521652961623,1.19760826480812,0.425868057240276,0.46666787461517,0.21777890519784
"3","WSA9_by_Lake_Origin","NAP","MAN_MADE","vert",0,0,0,0,0,0.294436257061716,0.298962302172106,0.0762535115146336,0.2486562348625,0.0618299231359945
"4","WSA9_by_Lake_Origin","NAP","NATURAL","vert",0,0,0,0,0,0,0,0,0,0
"5","WSA9_by_Lake_Origin","NPL","MAN_MADE","vert",0,0.0731309162779776,0.449281722977279,0,0.972725168629472,1.80353031737236,1.8080676064502,0.623238728137799,0.641267505890591,0.41122401411114
"6","WSA9_by_Lake_Origin","NPL","NATURAL","vert",0,0,0,0,0,0,0.123699207186114,0.0123702591906022,0.0551829616128801,0.00304515925236859
"7","WSA9_by_Lake_Origin","SAP","MAN_MADE","vert",0,0,0,0,0.317880550328338,0.377052944855425,0.508595292887496,0.197428829867043,0.341110257261462,0.116356207608981
"8","WSA9_by_Lake_Origin","SPL","MAN_MADE","vert",0,0,0.310771526525787,0,0.718643786595534,1.62023248391041,1.97045238518375,0.667530166789257,1.37273750387517,1.88440825454542
"9","WSA9_by_Lake_Origin","SPL","NATURAL","vert",0,0,0,0,0.318348440475041,0.67009127534454,0.67504563767227,0.22200060313363,0.255325677968196,0.0651912018299189
"10","WSA9_by_Lake_Origin","TPL","MAN_MADE","vert",0,0,0,0,0.4218806207453,0.681988086758115,2.12567090911093,0.289622895554797,0.620622000133983,0.385171667050305
"11","WSA9_by_Lake_Origin","TPL","NATURAL","vert",0,0,0,0,0,0.0888794730644204,0.0897956897376109,0.0350417811820447,0.124008091329769,0.0153780067152523
"12","WSA9_by_Lake_Origin","UMW","MAN_MADE","vert",0,0,0,0,0,0.0156823231483304,0.0179523139578483,0.00296025828313126,0.010947976279558,0.000119858184617766
"13","WSA9_by_Lake_Origin","UMW","NATURAL","vert",0,0,0,0,0,0.0472716462801794,0.256404523103081,0.0318420000414515,0.121950621928419,0.0148719541887281
"14","WSA9_by_Lake_Origin","WMT","MAN_MADE","vert",0,0,0.646397863459384,0,2.1480338110308,4.56153461811017,14.6312062183228,2.78053104619223,7.12543527487304,50.771827856405
"15","WSA9_by_Lake_Origin","WMT","NATURAL","vert",0,0,0,0,0.0170983081946199,0.400524535334477,0.990662852280427,0.126563551127178,0.360305306437292,0.129819913846871
"16","WSA9_by_Lake_Origin","XER","MAN_MADE","vert",0,0,0,0,1.090529217971,2.01172146263555,2.94510743548619,0.985657806721492,3.27308009643178,10.7130533176579
"17","WSA9_by_Lake_Origin","XER","NATURAL","vert",0,0,0,0,0.213682263014425,0.326265532581928,0.485074503795991,0.103293903982226,0.15430321395681,0.0238094818374012
