"","Type","ECOREG_use","Lake_Origin_use","Indicator","10Pct","25Pct","50Pct","5Pct","75Pct","90Pct","95Pct","Mean","Std. Deviation","Variance"
"1","WSA9_by_Lake_Origin","CPL","MAN_MADE","RT",0.0279282500003908,0.128800629586859,0.156512969439728,0,0.340701634646145,0.68373593211777,0.684571556760374,0.257808627223905,0.240995259718834,0.0580787152069483
"2","WSA9_by_Lake_Origin","CPL","NATURAL","RT",0.103928434673587,0.162378310951517,0.258299142177978,0.103370823905945,0.555802784007748,0.759263290686409,0.809725128382701,0.35623160930269,0.26400185682549,0.0696969804073066
"3","WSA9_by_Lake_Origin","NAP","MAN_MADE","RT",0.058560406464812,0.130581836800624,0.205938125702249,0.0471258131573626,0.280568530608412,0.445749867941685,0.446064309441766,0.217872861688701,0.13252508261627,0.0175628975224491
"4","WSA9_by_Lake_Origin","NAP","NATURAL","RT",0.0704568534702262,0.139660873661727,0.439600882575202,0.0264900082285629,0.935139592168924,1.57290843707006,1.68484132728905,0.634470814864514,0.665159147482823,0.442436691480076
"5","WSA9_by_Lake_Origin","NPL","MAN_MADE","RT",0.168124710943008,0.169457438768354,0.25708405138771,0.167680468334559,0.4546725166594,0.750175326529534,1.37677777083247,0.435545387927215,0.448172522678746,0.200858610084231
"6","WSA9_by_Lake_Origin","NPL","NATURAL","RT",0.421319145100273,0.422026858945387,0.525029111810062,0.341387890646581,0.946528183560443,1.19253824692495,1.44742192192706,0.720526070844565,0.44556525273468,0.198528394444519
"7","WSA9_by_Lake_Origin","SAP","MAN_MADE","RT",0.0756151726717164,0.150088525504131,0.217152769022537,0.042154196745972,0.355590351014314,0.891133891909764,0.926565140122933,0.341573409236403,0.361567043790973,0.130730727155743
"8","WSA9_by_Lake_Origin","SPL","MAN_MADE","RT",0.0292182547452964,0.0789908441132763,0.231367552581478,0.000386491148651831,0.596010930316817,1.30278745958578,1.30589302423264,0.392906467075816,0.48564551515609,0.235851566391224
"9","WSA9_by_Lake_Origin","SPL","NATURAL","RT",0.196825964007666,0.498947096868726,0.520076691913744,0.196588480449194,0.672388025989912,0.713345307175215,0.803742612058223,0.539119357772056,0.180611787908238,0.0326206179314102
"10","WSA9_by_Lake_Origin","TPL","MAN_MADE","RT",0.204443421576197,0.344497257801332,0.402419079099113,0.120538140384703,1.29043738823243,1.31037977479217,1.3116473303948,0.690279493745719,0.566287597171197,0.320681642709928
"11","WSA9_by_Lake_Origin","TPL","NATURAL","RT",0.411906681306744,0.533354810719287,0.852164338201862,0.338635329960872,1.28150074916252,1.64026353211305,2.30089099595833,0.988995111165639,0.740791983302289,0.548772762524938
"12","WSA9_by_Lake_Origin","UMW","MAN_MADE","RT",0.127954109707474,0.282821226163865,0.282937499044179,0.127177868353737,0.498627718500607,0.514383365690723,1.03129866815528,0.362391502742477,0.225736665680886,0.0509570422327241
"13","WSA9_by_Lake_Origin","UMW","NATURAL","RT",0.24734948300957,0.466083117489,0.919133142262437,0.157250763971313,1.93139312610548,3.3345201110492,4.11596347339297,1.44544332698426,1.49017516839567,2.22062203250306
"14","WSA9_by_Lake_Origin","WMT","MAN_MADE","RT",0.278282811312905,0.288918371062316,0.392953569527965,0.170054290227516,0.683517788295661,1.61991746412671,2.79767032142459,0.810648893846272,1.35084918102368,1.82479350987234
"15","WSA9_by_Lake_Origin","WMT","NATURAL","RT",0.303194934218526,0.64934102168095,0.820389317222125,0.144901596545457,1.57799796808574,5.25747482427285,5.48458452943453,1.69039948748103,2.80162573946868,7.84910678405344
"16","WSA9_by_Lake_Origin","XER","MAN_MADE","RT",0.132996245898476,0.208968557111308,0.477505583491662,0.0966446194236631,0.795837711339389,1.50812985952663,1.80907059790546,0.700522813414072,1.05884632219172,1.12115553401894
"17","WSA9_by_Lake_Origin","XER","NATURAL","RT",0.33167369790201,0.493059198601215,0.508124319974812,0.312906519174665,3.09886281226212,5.93714448165104,6.02780606503841,2.1734790614603,2.99025534050486,8.94162700141785
