Type,Subpopulation,Indicator,Statistic,NResp,Estimate,StdError,LCB95Pct,UCB95Pct,Lake_origin,ECO
National,All_Lakes,vert,5Pct,112,0,,0,0,,
National,All_Lakes,vert,10Pct,112,0,,0,0,,
National,All_Lakes,vert,25Pct,143,0.036889795,,0,0.075511246,,
National,All_Lakes,vert,50Pct,362,0.179569217,,0.136576037,0.197857962,,
National,All_Lakes,vert,75Pct,581,0.335335914,,0.300959227,0.458994074,,
National,All_Lakes,vert,90Pct,792,0.966308813,,0.679170195,1.099203663,,
National,All_Lakes,vert,95Pct,851,1.497908974,,0.996271772,2.592557308,,
National,All_Lakes,vert,Mean,959,0.387803693,0.034552701,0.320081643,0.455525743,,
National,All_Lakes,vert,Variance,959,1.226820035,0.423526964,0.39672244,2.05691763,,
National,All_Lakes,vert,Std. Deviation,959,1.107619084,0.191188004,0.732897482,1.482340686,,
Lake_Origin,MAN_MADE,vert,5Pct,61,0,,0,0,,
Lake_Origin,MAN_MADE,vert,10Pct,61,0,,0,0,,
Lake_Origin,MAN_MADE,vert,25Pct,78,0.048168759,,0,0.097897973,,
Lake_Origin,MAN_MADE,vert,50Pct,211,0.208581124,,0.178205141,0.262015183,,
Lake_Origin,MAN_MADE,vert,75Pct,332,0.494108304,,0.325539121,0.681576276,,
Lake_Origin,MAN_MADE,vert,90Pct,436,1.141583965,,0.791755276,1.846965202,,
Lake_Origin,MAN_MADE,vert,95Pct,470,1.846374224,,1.144692931,25.22456135,,
Lake_Origin,MAN_MADE,vert,Mean,547,0.52915174,0.057685206,0.416090814,0.642212667,,
Lake_Origin,MAN_MADE,vert,Variance,547,2.621502919,1.057102123,0.549620831,4.693385007,,
Lake_Origin,MAN_MADE,vert,Std. Deviation,547,1.619105592,0.326446319,0.979282563,2.258928621,,
Lake_Origin,NATURAL,vert,5Pct,51,0,,0,0,,
Lake_Origin,NATURAL,vert,10Pct,51,0,,0,0,,
Lake_Origin,NATURAL,vert,25Pct,64,0.029667089,,0,0.059246149,,
Lake_Origin,NATURAL,vert,50Pct,150,0.117673965,,0.097534666,0.187740187,,
Lake_Origin,NATURAL,vert,75Pct,279,0.30781913,,0.294518991,0.393187795,,
Lake_Origin,NATURAL,vert,90Pct,362,0.686766028,,0.491118314,0.989238149,,
Lake_Origin,NATURAL,vert,95Pct,376,0.996545539,,0.796480308,2.613312446,,
Lake_Origin,NATURAL,vert,Mean,412,0.286917636,0.041113096,0.206337448,0.367497823,,
Lake_Origin,NATURAL,vert,Variance,412,0.206938046,0.082757896,0.044735549,0.369140542,,
Lake_Origin,NATURAL,vert,Std. Deviation,412,0.454904436,0.090961848,0.276622489,0.633186382,,
WSA9_Ecoregions,CPL,vert,5Pct,16,0,,0,0,,
WSA9_Ecoregions,CPL,vert,10Pct,16,0,,0,0,,
WSA9_Ecoregions,CPL,vert,25Pct,16,0,,0,0.038143647,,
WSA9_Ecoregions,CPL,vert,50Pct,30,0.100408833,,0,0.291308355,,
WSA9_Ecoregions,CPL,vert,75Pct,72,0.538973757,,0.28942155,0.987266963,,
WSA9_Ecoregions,CPL,vert,90Pct,77,0.996359085,,0.791188134,3.1,,
WSA9_Ecoregions,CPL,vert,95Pct,83,1.498691879,,0.976573309,3.1,,
WSA9_Ecoregions,CPL,vert,Mean,87,0.418767478,0.113576987,0.196160673,0.641374283,,
WSA9_Ecoregions,CPL,vert,Variance,87,0.4659484,0.233654558,0.007993881,0.92390292,,
WSA9_Ecoregions,CPL,vert,Std. Deviation,87,0.682604131,0.171149388,0.347157495,1.018050767,,
WSA9_Ecoregions,NAP,vert,5Pct,9,0.011006468,,0,0.091274454,,
WSA9_Ecoregions,NAP,vert,10Pct,14,0.09244909,,0.011730258,0.097198299,,
WSA9_Ecoregions,NAP,vert,25Pct,30,0.136342301,,0.097173214,0.210050265,,
WSA9_Ecoregions,NAP,vert,50Pct,54,0.244934407,,0.199938651,0.32494619,,
WSA9_Ecoregions,NAP,vert,75Pct,71,0.391018824,,0.295461533,1.830105789,,
WSA9_Ecoregions,NAP,vert,90Pct,89,1.830045162,,0.391482706,1.85,,
WSA9_Ecoregions,NAP,vert,95Pct,89,1.840022581,,0.398578211,1.85,,
WSA9_Ecoregions,NAP,vert,Mean,91,0.411993468,0.121168852,0.174506882,0.649480053,,
WSA9_Ecoregions,NAP,vert,Variance,91,0.257266149,0.151576433,0,0.554350499,,
WSA9_Ecoregions,NAP,vert,Std. Deviation,91,0.507214106,0.149420562,0.214355186,0.800073025,,
WSA9_Ecoregions,NPL,vert,5Pct,10,0,,0,0.022295473,,
WSA9_Ecoregions,NPL,vert,10Pct,10,0.019512369,,0,0.02630825,,
WSA9_Ecoregions,NPL,vert,25Pct,13,0.092121476,,0,0.490024586,,
WSA9_Ecoregions,NPL,vert,50Pct,30,0.491703258,,0.094346912,0.497118923,,
WSA9_Ecoregions,NPL,vert,75Pct,30,0.49779563,,0.491321032,5,,
WSA9_Ecoregions,NPL,vert,90Pct,49,1.18318884,,0.499786188,1.884880693,,
WSA9_Ecoregions,NPL,vert,95Pct,55,1.779327368,,1.185414692,4.914856231,,
WSA9_Ecoregions,NPL,vert,Mean,63,0.47930306,0.072187054,0.337819034,0.620787086,,
WSA9_Ecoregions,NPL,vert,Variance,63,0.304545854,0.083858363,0.140186483,0.468905224,,
WSA9_Ecoregions,NPL,vert,Std. Deviation,63,0.551856733,0.075978381,0.402941842,0.700771624,,
WSA9_Ecoregions,SAP,vert,5Pct,10,0,,0,0.03679274,,
WSA9_Ecoregions,SAP,vert,10Pct,10,0,,0,0.092912262,,
WSA9_Ecoregions,SAP,vert,25Pct,19,0.090473459,,0,0.158208757,,
WSA9_Ecoregions,SAP,vert,50Pct,34,0.187097366,,0.138621773,0.19871499,,
WSA9_Ecoregions,SAP,vert,75Pct,46,0.217575386,,0.194405102,0.686263643,,
WSA9_Ecoregions,SAP,vert,90Pct,82,0.688355232,,0.246567229,7,,
WSA9_Ecoregions,SAP,vert,95Pct,89,0.874675073,,0.694877227,1.465440713,,
WSA9_Ecoregions,SAP,vert,Mean,109,0.284461918,0.044370968,0.197496419,0.371427416,,
WSA9_Ecoregions,SAP,vert,Variance,109,0.296544877,0.113076657,0.074918701,0.518171052,,
WSA9_Ecoregions,SAP,vert,Std. Deviation,109,0.544559342,0.103823999,0.341068043,0.748050641,,
WSA9_Ecoregions,SPL,vert,5Pct,23,0,,0,0,,
WSA9_Ecoregions,SPL,vert,10Pct,23,0,,0,0,,
WSA9_Ecoregions,SPL,vert,25Pct,23,0,,0,0.091185077,,
WSA9_Ecoregions,SPL,vert,50Pct,49,0.157175956,,0,0.493989811,,
WSA9_Ecoregions,SPL,vert,75Pct,92,0.576511351,,0.296732201,1.491420661,,
WSA9_Ecoregions,SPL,vert,90Pct,109,1.198206658,,0.741855713,6,,
WSA9_Ecoregions,SPL,vert,95Pct,113,1.497001549,,0.74932004,6,,
WSA9_Ecoregions,SPL,vert,Mean,120,0.433375373,0.095581223,0.246039617,0.620711128,,
WSA9_Ecoregions,SPL,vert,Variance,120,0.417306384,0.148461133,0.126327911,0.708284857,,
WSA9_Ecoregions,SPL,vert,Std. Deviation,120,0.645992557,0.114909321,0.420774426,0.871210688,,
WSA9_Ecoregions,TPL,vert,5Pct,18,0,,0,0,,
WSA9_Ecoregions,TPL,vert,10Pct,18,0,,0,0.050214352,,
WSA9_Ecoregions,TPL,vert,25Pct,25,0.058365154,,0.04645046,0.114366313,,
WSA9_Ecoregions,TPL,vert,50Pct,69,0.168757267,,0.105227393,0.29173038,,
WSA9_Ecoregions,TPL,vert,75Pct,95,0.296733212,,0.200690955,0.498723403,,
WSA9_Ecoregions,TPL,vert,90Pct,113,0.494824119,,0.314020576,1.014912488,,
WSA9_Ecoregions,TPL,vert,95Pct,122,0.618203316,,0.49741001,1.041235273,,
WSA9_Ecoregions,TPL,vert,Mean,131,0.244138418,0.025358757,0.194436168,0.293840668,,
WSA9_Ecoregions,TPL,vert,Variance,131,0.089658161,0.026968166,0.036801526,0.142514795,,
WSA9_Ecoregions,TPL,vert,Std. Deviation,131,0.299429726,0.045032546,0.211167557,0.387691895,,
WSA9_Ecoregions,UMW,vert,5Pct,21,0,,0,0,,
WSA9_Ecoregions,UMW,vert,10Pct,21,0,,0,0,,
WSA9_Ecoregions,UMW,vert,25Pct,21,0,,0,0.037073088,,
WSA9_Ecoregions,UMW,vert,50Pct,50,0.095219613,,0.050206507,0.110398272,,
WSA9_Ecoregions,UMW,vert,75Pct,104,0.293590926,,0.177969042,0.317301619,,
WSA9_Ecoregions,UMW,vert,90Pct,127,0.45860672,,0.31471952,1.334404199,,
WSA9_Ecoregions,UMW,vert,95Pct,139,0.974264629,,0.398971868,2.66,,
WSA9_Ecoregions,UMW,vert,Mean,144,0.240633425,0.067616086,0.108108332,0.373158519,,
WSA9_Ecoregions,UMW,vert,Variance,144,0.245095309,0.14906699,0,0.537261241,,
WSA9_Ecoregions,UMW,vert,Std. Deviation,144,0.495071014,0.150551119,0.199996243,0.790145785,,
WSA9_Ecoregions,WMT,vert,5Pct,4,0.017088059,,0,0.089001027,,
WSA9_Ecoregions,WMT,vert,10Pct,13,0.089317882,,0.016147628,0.111798103,,
WSA9_Ecoregions,WMT,vert,25Pct,27,0.185030272,,0.089886629,0.238367507,,
WSA9_Ecoregions,WMT,vert,50Pct,44,0.32708842,,0.235376407,0.495656984,,
WSA9_Ecoregions,WMT,vert,75Pct,79,0.79954662,,0.469752974,1.085780246,,
WSA9_Ecoregions,WMT,vert,90Pct,91,1.099166314,,0.979392023,24.19697218,,
WSA9_Ecoregions,WMT,vert,95Pct,112,2.751693861,,1.841316021,4.664542488,,
WSA9_Ecoregions,WMT,vert,Mean,134,0.84924289,0.131538115,0.591432921,1.107052859,,
WSA9_Ecoregions,WMT,vert,Variance,134,5.274273701,2.512252897,0.350348503,10.1981989,,
WSA9_Ecoregions,WMT,vert,Std. Deviation,134,2.296578695,0.546955544,1.224565528,3.368591861,,
WSA9_Ecoregions,XER,vert,5Pct,6,0.182491762,,0,0.194562028,,
WSA9_Ecoregions,XER,vert,10Pct,7,0.197191156,,0.191028891,0.25351868,,
WSA9_Ecoregions,XER,vert,25Pct,23,0.489880907,,0.257215673,0.52188744,,
WSA9_Ecoregions,XER,vert,50Pct,39,0.937329842,,0.521488556,1.009366642,,
WSA9_Ecoregions,XER,vert,75Pct,46,1.497705705,,1.011406865,2.100330283,,
WSA9_Ecoregions,XER,vert,90Pct,64,2.886967885,,2.088387857,7.372353093,,
WSA9_Ecoregions,XER,vert,95Pct,73,6.220184359,,3.102954921,36.15071013,,
WSA9_Ecoregions,XER,vert,Mean,80,2.17769573,0.736630913,0.733925671,3.621465789,,
WSA9_Ecoregions,XER,vert,Variance,80,35.00804812,26.22033268,0,86.39895583,,
WSA9_Ecoregions,XER,vert,Std. Deviation,80,5.916759934,2.215767833,1.573934784,10.25958509,,
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,5Pct,12,0,,0,0,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,10Pct,12,0,,0,0,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,25Pct,12,0,,0,0,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,50Pct,12,0.036750181,,0,0.193509735,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,75Pct,41,0.290506463,,0.093047278,0.990323041,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,90Pct,48,0.983964439,,0.291431215,3.1,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,95Pct,52,2.969393248,,0.957521393,3.1,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,Mean,54,0.361637871,0.152533318,0.062678062,0.660597681,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,Variance,54,0.57456979,0.346919129,0,1.254518788,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_MAN_MADE,vert,Std. Deviation,54,0.758003819,0.228837322,0.309490909,1.20651673,MAN_MADE,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,5Pct,4,0,,0,0.076849109,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,10Pct,4,0,,0,0.078872485,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,25Pct,5,0.077571323,,0,0.292717085,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,50Pct,15,0.295934769,,0.078670124,0.798684879,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,75Pct,29,0.960746347,,0.298033463,1.49693032,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,90Pct,32,1.491593337,,0.798500019,1.5,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,95Pct,32,1.495796669,,0.965712008,1.5,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,Mean,33,0.5242514,0.123281628,0.282623849,0.765878951,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,Variance,33,0.248237102,0.0742824,0.102646273,0.393827931,_NATURAL,CPL
WSA9_by_Lake_Origin,CPL_NATURAL,vert,Std. Deviation,33,0.498233983,0.074545698,0.352127099,0.644340866,_NATURAL,CPL
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,5Pct,3,0.011656496,,0,0.094315782,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,10Pct,6,0.093834347,,0,0.139874591,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,25Pct,19,0.21018313,,0.091684352,0.211078048,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,50Pct,22,0.289278165,,0.210009446,0.959809779,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,75Pct,26,0.339752557,,0.288128935,1.85,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,90Pct,34,1.839985529,,0.325719298,1.85,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,95Pct,34,1.844992765,,0.327481477,1.85,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,Mean,35,0.574289578,0.226096026,0.13114951,1.017429646,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,Variance,35,0.436059564,0.210088106,0.024294442,0.847824685,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_MAN_MADE,vert,Std. Deviation,35,0.660348062,0.159073766,0.34856921,0.972126915,MAN_MADE,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,5Pct,4,0.009933463,,0.009137856,0.090440894,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,10Pct,8,0.092002641,,0.009604107,0.095943102,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,25Pct,17,0.115489631,,0.093213488,0.190932978,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,50Pct,28,0.213710282,,0.135901189,0.293509378,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,75Pct,44,0.391363643,,0.290208916,0.426092422,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,90Pct,47,0.428847433,,0.394939097,1.85,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,95Pct,50,0.525886397,,0.427175431,1.85,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,Mean,56,0.252279801,0.020162353,0.212762315,0.291797287,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,Variance,56,0.02988832,0.006475052,0.01719745,0.042579189,_NATURAL,NAP
WSA9_by_Lake_Origin,NAP_NATURAL,vert,Std. Deviation,56,0.172882386,0.018726756,0.136178619,0.209586154,_NATURAL,NAP
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,5Pct,5,0,,0,0.349234644,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,10Pct,10,0.33172998,,0,0.490952663,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,25Pct,12,0.491715608,,0,0.494059259,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,50Pct,12,0.494889031,,0.490466304,0.499311758,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,75Pct,12,0.498062455,,0.491535253,5,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,90Pct,12,0.499966509,,0.492172976,5,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,95Pct,22,1.768740689,,0.499715586,5,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,Mean,27,0.586238322,0.060467989,0.467723241,0.704753403,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,Variance,27,0.292838716,0.146276259,0.006142516,0.579534916,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_MAN_MADE,vert,Std. Deviation,27,0.541145744,0.135154218,0.276248345,0.806043143,MAN_MADE,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,5Pct,5,0,,0,0.022234618,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,10Pct,5,0.011617877,,0,0.024274916,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,25Pct,6,0.026382846,,0.011514512,0.091656065,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,50Pct,8,0.096163783,,0.02591923,0.497030874,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,75Pct,18,0.495232686,,0.099542104,1.515370433,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,90Pct,29,1.259422447,,0.728842621,2.00485572,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,95Pct,32,1.779909599,,1.180626659,2.02,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,Mean,36,0.383797831,0.110530472,0.167162086,0.600433575,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,Variance,36,0.29566752,0.088889131,0.121448025,0.469887016,_NATURAL,NPL
WSA9_by_Lake_Origin,NPL_NATURAL,vert,Std. Deviation,36,0.54375318,0.081736654,0.383552281,0.703954078,_NATURAL,NPL
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,5Pct,10,0,,0,0.03679274,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,10Pct,10,0,,0,0.092912262,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,25Pct,19,0.090473459,,0,0.158208757,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,50Pct,34,0.187097366,,0.138621773,0.19871499,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,75Pct,46,0.217575386,,0.194405102,0.686263643,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,90Pct,82,0.688355232,,0.246567229,7,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,95Pct,89,0.874675073,,0.694877227,1.465440713,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,Mean,109,0.284461918,0.044370968,0.197496419,0.371427416,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,Variance,109,0.296544877,0.113076657,0.074918701,0.518171052,MAN_MADE,SAP
WSA9_by_Lake_Origin,SAP_MAN_MADE,vert,Std. Deviation,109,0.544559342,0.103823999,0.341068043,0.748050641,MAN_MADE,SAP
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,5Pct,20,0,,0,0,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,10Pct,20,0,,0,0,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,25Pct,20,0,,0,0.091886514,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,50Pct,41,0.157542187,,0,0.499509215,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,75Pct,79,0.577867247,,0.297021806,1.493397753,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,90Pct,97,1.402396135,,0.742170155,6,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,95Pct,98,1.497396915,,0.749206694,6,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,Mean,105,0.444432014,0.100707203,0.247049524,0.641814504,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,Variance,105,0.43308806,0.155260872,0.128782344,0.737393777,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_MAN_MADE,vert,Std. Deviation,105,0.658094264,0.117962487,0.426892039,0.889296489,MAN_MADE,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,5Pct,3,0,,0,0.029067939,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,10Pct,3,0,,0,0.05365857,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,25Pct,3,0,,0,0.128124261,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,50Pct,7,0.12894148,,0,0.249156338,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,75Pct,10,0.248089284,,0.185620794,0.963467855,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,90Pct,12,0.527592645,,0.246715867,1.125,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,95Pct,13,0.975299894,,0.525582637,1.125,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,Mean,15,0.225578645,0.046822499,0.133808233,0.317349057,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,Variance,15,0.075231098,0.028809713,0.018765097,0.131697098,_NATURAL,SPL
WSA9_by_Lake_Origin,SPL_NATURAL,vert,Std. Deviation,15,0.274282879,0.052518249,0.171349001,0.377216756,_NATURAL,SPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,5Pct,6,0.052485267,,0,0.077111683,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,10Pct,10,0.077579314,,0.045616704,0.097012815,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,25Pct,23,0.129077937,,0.078314992,0.157280596,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,50Pct,31,0.159366893,,0.126748643,0.294559257,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,75Pct,46,0.293948813,,0.158409092,2.96,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,90Pct,49,0.307433225,,0.297416165,0.557242757,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,95Pct,60,0.516943163,,0.400284672,2.80025815,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,Mean,68,0.244311415,0.029744495,0.186013275,0.302609555,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,Variance,68,0.107120791,0.063017598,0,0.230633014,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_MAN_MADE,vert,Std. Deviation,68,0.327293127,0.096270885,0.13860566,0.515980595,MAN_MADE,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,5Pct,14,0,,0,0,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,10Pct,14,0,,0,0.019752874,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,25Pct,19,0.05012477,,0,0.066772859,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,50Pct,38,0.185938139,,0.054365073,0.295617481,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,75Pct,49,0.299678849,,0.188697323,1.004355173,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,90Pct,54,0.497632462,,0.314785453,1.5,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,95Pct,58,0.984412192,,0.497593474,1.5,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,Mean,63,0.24402496,0.037070144,0.171368813,0.316681108,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,Variance,63,0.078205486,0.019040767,0.040886269,0.115524704,_NATURAL,TPL
WSA9_by_Lake_Origin,TPL_NATURAL,vert,Std. Deviation,63,0.279652439,0.034043628,0.212928154,0.346376723,_NATURAL,TPL
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,5Pct,1,0,,0,0.437695438,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,10Pct,1,0,,0,0.438064693,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,25Pct,1,0,,0,0.439217514,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,50Pct,1,0,,0,1.175,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,75Pct,4,0.114638207,,0,1.175,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,90Pct,6,0.435327774,,0.009784527,1.175,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,95Pct,6,0.437900064,,0.116316734,1.175,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,Mean,8,0.095864932,0.05582348,-0.013547077,0.205276942,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,Variance,8,0.034327442,0.015649531,0.003654924,0.06499996,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_MAN_MADE,vert,Std. Deviation,8,0.185276663,0.042232873,0.102501754,0.268051573,MAN_MADE,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,5Pct,20,0,,0,0,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,10Pct,20,0,,0,0,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,25Pct,20,0,,0,0.03769738,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,50Pct,46,0.09581502,,0.05504527,0.110999922,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,75Pct,98,0.294051583,,0.178036545,0.318168243,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,90Pct,121,0.460157285,,0.31450269,1.357863178,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,95Pct,132,0.977155908,,0.397379594,2.66,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,Mean,136,0.245043565,0.069502286,0.108821588,0.381265542,_NATURAL,UMW
WSA9_by_Lake_Origin,UMW_NATURAL,vert,Variance,136,0.250858116,0.152921298,0,0.550578353,_NATURAL,UMW
