"","Type","ECOREG_use","Lake_Origin_use","Indicator","10Pct","25Pct","50Pct","5Pct","75Pct","90Pct","95Pct","Mean","Std. Deviation","Variance"
"1","WSA9_by_Lake_Origin","CPL","MAN_MADE","vert",0,0,0.0367501814272013,0,0.290506463120364,0.983964438709755,2.96939324788982,0.361637871290164,0.758003819446633,0.574569790295683
"2","WSA9_by_Lake_Origin","CPL","NATURAL","vert",0,0.0775713230318494,0.295934769209626,0,0.960746347399796,1.49159333748645,1.49579666874322,0.524251400095913,0.498233982845433,0.248237101662023
"3","WSA9_by_Lake_Origin","NAP","MAN_MADE","vert",0.0938343471583729,0.210183130479318,0.289278165055548,0.0116564961713292,0.339752557043265,1.83998552945576,1.84499276472788,0.574289577831892,0.660348062434502,0.436059563561001
"4","WSA9_by_Lake_Origin","NAP","NATURAL","vert",0.0920026407813063,0.115489631031055,0.213710281694676,0.00993346348095608,0.39136364300624,0.428847433016508,0.525886397353433,0.252279801032123,0.172882386432451,0.0298883195385792
"5","WSA9_by_Lake_Origin","NPL","MAN_MADE","vert",0.331729979578975,0.491715607581488,0.494889031356415,0,0.498062455131342,0.499966509396298,1.76874068861477,0.586238321767659,0.541145743885981,0.292838716125912
"6","WSA9_by_Lake_Origin","NPL","NATURAL","vert",0.0116178769179752,0.0263828459026548,0.0961637831767054,0,0.495232686227655,1.25942244679534,1.77990959859008,0.38379783054301,0.543753179621998,0.295667520349033
"7","WSA9_by_Lake_Origin","SAP","MAN_MADE","vert",0,0.0904734587870255,0.187097366499014,0,0.21757538618533,0.688355231780196,0.874675072561872,0.284461917561657,0.544559341601799,0.296544876525785
"8","WSA9_by_Lake_Origin","SPL","MAN_MADE","vert",0,0,0.157542187165056,0,0.577867247246771,1.40239613526551,1.49739691526159,0.444432013824955,0.658094263940426,0.433088060231291
"9","WSA9_by_Lake_Origin","SPL","NATURAL","vert",0,0,0.128941480325549,0,0.248089284308829,0.527592645060869,0.975299893930031,0.225578645005509,0.274282878617651,0.0752310975027852
"10","WSA9_by_Lake_Origin","TPL","MAN_MADE","vert",0.0775793140745358,0.129077937016456,0.159366892969145,0.0524852667516441,0.293948812979475,0.307433224757841,0.516943162795985,0.244311415087484,0.327293127300991,0.107120791178463
"11","WSA9_by_Lake_Origin","TPL","NATURAL","vert",0,0.050124770498715,0.185938138565248,0,0.29967884892826,0.497632462362122,0.984412191607883,0.244024960228599,0.27965243862783,0.0782054864304922
"12","WSA9_by_Lake_Origin","UMW","MAN_MADE","vert",0,0,0,0,0.114638206548484,0.435327774181196,0.437900063836149,0.0958649324784437,0.185276663266674,0.0343274419512325
"13","WSA9_by_Lake_Origin","UMW","NATURAL","vert",0,0,0.0958150199233122,0,0.294051582942006,0.460157284538973,0.977155908441782,0.24504356542498,0.500857380556999,0.250858115658419
"14","WSA9_by_Lake_Origin","WMT","MAN_MADE","vert",0.231201300518993,0.238378454198564,0.618474833247154,0.0134087613708722,1.0994762417493,3.929017476871,6.76384138776336,1.76962842441339,3.74940377038831,14.0580286334021
"15","WSA9_by_Lake_Origin","WMT","NATURAL","vert",0.08907055609932,0.117390234081355,0.288726188340019,0.0174471354651282,0.404678049224469,0.970270790220928,0.989836076300476,0.381561202393538,0.40218360783059,0.16175165440763
"16","WSA9_by_Lake_Origin","XER","MAN_MADE","vert",0.197766930667604,0.492233487076694,0.938196803103045,0.190913245618213,1.5063645979852,3.19333741747411,7.88874060935846,2.36512858995292,6.25308468353483,39.1010680594578
"17","WSA9_by_Lake_Origin","XER","NATURAL","vert",0.179446112153485,0.362087246663198,0.496454778049293,0.178611945076743,1.02768549074525,1.05654194001001,1.74069738864948,0.696248263097394,0.430043406607743,0.184937331566792
