"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_EI","a",0.08653388965264,0.0565475997318227,1.53028404499974,0.125946435801277,-0.0242973692339192,0.197365148539199
"2","L_HorizDD_use","~","L_DpthMx_mod","l",-0.13945282819256,0.0516169328771615,-2.70168761333477,0.00689885461795092,-0.240620157624217,-0.0382854987609017
"3","L_HorizDD_use","~","L_LkAreakm2","o",0.23410642505963,0.0669838816763012,3.49496653823297,0.000474121192093113,0.102820429429387,0.365392420689872
"4","L_HorizDD_use","~","L_SLD","r",-0.0684438937844523,0.0525102332831457,-1.30343914900147,0.192424878295484,-0.171362059839214,0.0344742722703097
"5","L_HorizDD_use","~","bffFlat_grad","t",0.141681922614194,0.0229728722021716,6.16735780216462,6.94405200007964e-10,0.096655920476496,0.186707924751891
"6","L_HorizDD_use","~","L_inflow","tv",0.080951894897104,0.0622178500032749,1.30110402228369,0.193222851167234,-0.04099285030483,0.202896640099038
"7","L_HorizDD_use","~","BFIWs","rancho",-0.063706059283671,0.0544149898170777,-1.17074466976519,0.241701424096651,-0.170357479544257,0.042945360976915
"8","L_HorizDD_use","~","Temp_degC_avg_yr","z",0.0532399766176752,0.0574466797100657,0.92677204124552,0.35404490418798,-0.0593534466454614,0.165833399880812
"9","L_HorizDD_use","~","Precip_mm_total_yr_sc","e",-0.095057157662594,0.0574625065759213,-1.6542466266591,0.0980774126374055,-0.207681601012796,0.0175672856876078
"10","L_HorizDD_use","~","PHDI","d",-0.200106645903077,0.0447356331278578,-4.47309296665495,7.70962381801965e-06,-0.287786875659275,-0.112426416146879
"11","L_HorizDD_use","~","HydrAP","g",-0.10965145879869,0.0454295757374769,-2.41365799743169,0.0157932788650186,-0.198691791077079,-0.0206111265203005
"12","L_VertDD_use","~","L_LkAreakm2","p",0.189916297232551,0.0595187584756457,3.19086456264478,0.00141847757753211,0.0732616742157476,0.306570920249355
"13","L_VertDD_use","~","L_DpthMx_mod","m",0.0517963288327793,0.0549830262984224,0.942042159550345,0.346171055571039,-0.0559684224731472,0.159561080138706
"14","L_VertDD_use","~","L_SLD","s",0.0670961661995025,0.0531347995120892,1.26275372854727,0.20667769843624,-0.0370461271699487,0.171238459568954
"15","L_VertDD_use","~","L_EI","h",0.13753319382848,0.0578290858381787,2.37827023953543,0.0173940730780198,0.0241902683267746,0.250876119330186
"16","L_VertDD_use","~","L_inflow","v",0.155579756347939,0.0622188499773186,2.50052446171305,0.0124009568554606,0.0336330512328941,0.277526461462985
"17","L_VertDD_use","~","BFIWs","y",-0.0589392243055509,0.0548135110666691,-1.07526818039194,0.282254677906776,-0.16637173186241,0.0484932832513082
"18","L_VertDD_use","~","Temp_degC_avg_yr","j",0.0772105637039071,0.0525896427471094,1.46817053074868,0.142057906924167,-0.0258632420402553,0.180284369448069
"19","L_VertDD_use","~","Precip_mm_total_yr_sc","c",-0.183565331403079,0.0591323471601877,-3.10431329414011,0.00190721258342896,-0.299462602158366,-0.0676680606477914
"20","L_VertDD_use","~","PHDI","b",-0.118275717160879,0.0443197130176122,-2.66869320913421,0.00761469684789784,-0.20514075848055,-0.0314106758412079
"21","L_VertDD_use","~","HydrAP","f",-0.205641470959991,0.0500129694102412,-4.11176287640864,3.92649464404649e-05,-0.303665089763967,-0.107617852156015
"22","L_EI","~","L_LkAreakm2","q",0.111005661808791,0.0412782636621126,2.68920375908831,0.00716226864359637,0.0301017516867024,0.191909571930881
"23","L_EI","~","L_DpthMx_mod","n",-0.314173634539102,0.0390670115282692,-8.04191624208991,8.88178419700125e-16,-0.390743570118121,-0.237603698960083
"24","L_EI","~","bffFlat_grad","u",0.0603708335345258,0.0342189070189557,1.76425370632332,0.077689274267936,-0.00669699181295224,0.127438658882004
"25","L_EI","~","L_inflow","w",-0.444393113300044,0.0442152106388528,-10.0506840718191,0,-0.531053333721047,-0.35773289287904
"26","L_EI","~","BFIWs","x",-0.0676965632362111,0.0373621634393819,-1.81190158717777,0.0700014041283521,-0.140925057961899,0.00553193148947648
"27","L_EI","~","Temp_degC_avg_yr","i",0.0854852116993474,0.0378502448195032,2.25851146028253,0.0239137908998999,0.0113000950470974,0.159670328351598
"28","L_EI","~","Precip_mm_total_yr_sc","alpha",-0.043590100520532,0.0468207037479153,-0.931000541026103,0.351853284305914,-0.135356993597266,0.0481767925562015
"29","L_EI","~","PHDI","beta",-0.0617666124854403,0.0364586659419349,-1.69415448672235,0.0902359308322123,-0.13322428465601,0.00969105968512907
"30","L_EI","~","HydrAP","k",0.091077468747508,0.0404604750486917,2.25102321803938,0.0243840668643251,0.0117763948546907,0.170378542640325
"31","L_HorizDD_use","~~","L_HorizDD_use","",0.844424768334193,0.0307900379890446,27.4252590605652,0,0.784077402793045,0.90477213387534
"32","L_VertDD_use","~~","L_VertDD_use","",0.871153443845178,0.0359160478565289,24.2552701601554,0,0.800759283579365,0.941547604110992
"33","L_EI","~~","L_EI","",0.531353853529344,0.0315870483017682,16.8218900497771,0,0.469444376479951,0.593263330578736
"34","L_HorizDD_use","~~","L_VertDD_use","",0.745204114185202,0.03156728603093,23.6068477174452,0,0.683333370474905,0.807074857895499
"35","L_DpthMx_mod","~~","L_DpthMx_mod","",1,0,NA,NA,1,1
"36","L_DpthMx_mod","~~","L_LkAreakm2","",0.366975816476784,0,NA,NA,0.366975816476784,0.366975816476784
"37","L_DpthMx_mod","~~","L_SLD","",0.174492234990266,0,NA,NA,0.174492234990266,0.174492234990266
"38","L_DpthMx_mod","~~","bffFlat_grad","",-0.275516910847602,0,NA,NA,-0.275516910847602,-0.275516910847602
"39","L_DpthMx_mod","~~","L_inflow","",0.21705223019311,0,NA,NA,0.21705223019311,0.21705223019311
"40","L_DpthMx_mod","~~","BFIWs","",0.245457321896183,0,NA,NA,0.245457321896183,0.245457321896183
"41","L_DpthMx_mod","~~","Temp_degC_avg_yr","",-0.195360311814584,0,NA,NA,-0.195360311814584,-0.195360311814584
"42","L_DpthMx_mod","~~","Precip_mm_total_yr_sc","",0.096154143834706,0,NA,NA,0.096154143834706,0.096154143834706
"43","L_DpthMx_mod","~~","PHDI","",-0.00275195964644649,0,NA,NA,-0.00275195964644649,-0.00275195964644649
"44","L_DpthMx_mod","~~","HydrAP","",0.0149468810385961,0,NA,NA,0.0149468810385961,0.0149468810385961
"45","L_LkAreakm2","~~","L_LkAreakm2","",1,0,NA,NA,1,1
"46","L_LkAreakm2","~~","L_SLD","",0.456883698483006,0,NA,NA,0.456883698483006,0.456883698483006
"47","L_LkAreakm2","~~","bffFlat_grad","",-0.161667276802799,0,NA,NA,-0.161667276802799,-0.161667276802799
"48","L_LkAreakm2","~~","L_inflow","",-0.0286779453738038,0,NA,NA,-0.0286779453738038,-0.0286779453738038
"49","L_LkAreakm2","~~","BFIWs","",-0.0048811265972991,0,NA,NA,-0.0048811265972991,-0.0048811265972991
"50","L_LkAreakm2","~~","Temp_degC_avg_yr","",0.129754195391476,0,NA,NA,0.129754195391476,0.129754195391476
"51","L_LkAreakm2","~~","Precip_mm_total_yr_sc","",-0.131875290921374,0,NA,NA,-0.131875290921374,-0.131875290921374
"52","L_LkAreakm2","~~","PHDI","",0.0387100350596906,0,NA,NA,0.0387100350596906,0.0387100350596906
"53","L_LkAreakm2","~~","HydrAP","",0.306590254892377,0,NA,NA,0.306590254892377,0.306590254892377
"54","L_SLD","~~","L_SLD","",1,0,NA,NA,1,1
"55","L_SLD","~~","bffFlat_grad","",-0.191165746440474,0,NA,NA,-0.191165746440474,-0.191165746440474
"56","L_SLD","~~","L_inflow","",0.133217353077058,0,NA,NA,0.133217353077058,0.133217353077058
"57","L_SLD","~~","BFIWs","",-0.142161128319553,0,NA,NA,-0.142161128319553,-0.142161128319553
"58","L_SLD","~~","Temp_degC_avg_yr","",0.108030792543466,0,NA,NA,0.108030792543466,0.108030792543466
"59","L_SLD","~~","Precip_mm_total_yr_sc","",0.0358560262448795,0,NA,NA,0.0358560262448795,0.0358560262448795
"60","L_SLD","~~","PHDI","",0.037355205730196,0,NA,NA,0.037355205730196,0.037355205730196
"61","L_SLD","~~","HydrAP","",0.224172303880546,0,NA,NA,0.224172303880546,0.224172303880546
"62","bffFlat_grad","~~","bffFlat_grad","",1,0,NA,NA,1,1
"63","bffFlat_grad","~~","L_inflow","",0.0226802831040163,0,NA,NA,0.0226802831040163,0.0226802831040163
"64","bffFlat_grad","~~","BFIWs","",0.110124417690081,0,NA,NA,0.110124417690081,0.110124417690081
"65","bffFlat_grad","~~","Temp_degC_avg_yr","",-0.0780681445843062,0,NA,NA,-0.0780681445843062,-0.0780681445843062
"66","bffFlat_grad","~~","Precip_mm_total_yr_sc","",-0.0384883699152199,0,NA,NA,-0.0384883699152199,-0.0384883699152199
