SITE_ID,VISIT_NO,UID,INDEX_SITE_DEPTH
NLA12_IA-134,1,7125,2.9
NLA12_IA-150,1,6915,6.4
NLA12_IA-152,1,6977,3.7
NLA12_ID-101,1,6959,6.5
NLA12_ID-101,2,7761,4
NLA12_ID-102,1,7164,3
NLA12_ID-103,1,1000069,6.3
NLA12_ID-104,1,7671,4.05
NLA12_ID-105,1,7189,12.5
NLA12_ID-107,1,1000019,3.6
NLA12_ID-108,1,7167,4.75
NLA12_ID-109,1,1000029,15
NLA12_ID-110,1,7549,3.1
NLA12_ID-111,1,1000030,NA
NLA12_ID-112,1,7163,6
NLA12_ID-112,2,7913,5.1
NLA12_ID-113,1,6958,5.6
NLA12_ID-121,1,7188,5.5
NLA12_ID-122,1,7588,6.5
NLA12_ID-141,1,6940,8.1
NLA12_ID-142,1,7477,1.1
NLA12_ID-143,1,1000122,2.2
NLA12_ID-145,1,7413,12.1
NLA12_ID-148,1,1000068,32.8
NLA12_ID-149,1,1000067,9
NLA12_ID-151,1,1000025,3.2
NLA12_ID-158,1,7478,35.5
NLA12_ID-165,1,7187,14.6
NLA12_ID-166,1,7533,3.6
NLA12_ID-168,1,6937,26
NLA12_ID-175,1,6971,11.5
NLA12_ID-180,1,1000160,4
NLA12_ID-194,1,6823,4.27
NLA12_ID-198,1,7590,2.1
NLA12_ID-203,1,7587,1.7
NLA12_ID-205,1,1000170,10
NLA12_ID-207,1,7168,3.8
NLA12_ID-209,1,6970,4.6
NLA12_ID-210,1,7412,14
NLA12_ID-214,1,1000137,5.9
NLA12_ID-215,1,7479,50
NLA12_ID-216,1,1000126,1.15
NLA12_ID-218,1,1000159,21.3
NLA12_ID-220,1,1000169,5.85
NLA12_ID-221,1,1000158,1
NLA12_IL-103,1,8327,7.7
NLA12_IL-103,2,8778,7.5
NLA12_IL-104,1,7249,9.3
NLA12_IL-105,1,8556,16.5
NLA12_IL-106,1,7282,8.7
NLA12_IL-109,1,7446,10
NLA12_IL-109,2,8624,9.8
NLA12_IL-110,1,6809,4.5
NLA12_IL-111,1,8499,10
NLA12_IL-112,1,7933,2.8
NLA12_IL-114,1,8303,15
NLA12_IL-116,1,7973,7.5
NLA12_IL-118,1,7217,3.1
NLA12_IL-120,1,7385,7
NLA12_IL-123,1,8764,1.7
NLA12_IN-101,1,7584,18
NLA12_IN-101,2,7914,15
NLA12_IN-102,1,7793,11.6
NLA12_IN-103,1,8012,9.1
NLA12_IN-104,1,8167,7
NLA12_IN-105,1,7757,7.9
NLA12_IN-106,1,7794,14.6
NLA12_IN-108,1,7370,9
NLA12_IN-110,1,7754,36
NLA12_IN-111,1,7579,8.8
NLA12_IN-112,1,8409,10.7
NLA12_IN-113,1,7592,25.6
NLA12_IN-115,1,8168,5.5
NLA12_IN-116,1,7288,8
NLA12_IN-117,1,8307,7.3
NLA12_IN-120,1,7895,6.5
NLA12_IN-126,1,8341,3.4
NLA12_IN-127,1,7548,6.4
NLA12_IN-128,1,7444,7.9
NLA12_IN-128,2,8051,8.4
NLA12_IN-130,1,7589,7.3
NLA12_IN-131,1,8410,13
NLA12_IN-134,1,7703,10.4
NLA12_IN-135,1,8645,8.5
NLA12_IN-142,1,8293,1.4
NLA12_IN-144,1,7753,28
NLA12_IN-145,1,7896,2.7
NLA12_IN-146,1,7268,7.9
NLA12_IN-147,1,7633,1
NLA12_IN-149,1,7920,6.4
NLA12_IN-155,1,8650,9.4
NLA12_IN-159,1,7829,4.6
NLA12_IN-160,1,7442,6.4
NLA12_IN-162,1,8408,3.8
NLA12_IN-163,1,8014,9.1
NLA12_IN-164,1,7772,8.4
NLA12_IN-166,1,7805,2
NLA12_IN-171,1,8086,5.8
NLA12_IN-172,1,7443,14.6
NLA12_IN-174,1,8070,11.8
NLA12_IN-179,1,7921,3.1
NLA12_IN-180,1,8116,6.4
NLA12_IN-183,1,8438,1.1
NLA12_IN-185,1,7984,5.5
NLA12_IN-186,1,8100,14.6
NLA12_IN-187,1,7922,6.7
NLA12_IN-191,1,8318,2.3
NLA12_IN-193,1,8540,8.2
NLA12_IN-196,1,8493,10
NLA12_IN-199,1,8549,8.5
NLA12_IN-201,1,8651,8.2
NLA12_IN-202,1,8728,2.4
NLA12_KS-101,1,6656,1.7
NLA12_KS-101,2,6969,1.5
NLA12_KS-102,1,6606,6
NLA12_KS-103,1,6437,5.4
NLA12_KS-105,1,6570,1.4
NLA12_KS-106,1,6796,3
NLA12_KS-107,1,6830,2.8
NLA12_KS-108,1,6404,1.5
NLA12_KS-109,1,6421,3.9
NLA12_KS-109,2,6722,3.4
NLA12_KS-114,1,6243,5.7
NLA12_KS-121,1,6851,1.9
NLA12_KS-122,1,6927,13
NLA12_KS-124,1,6609,2.3
NLA12_KS-125,1,6485,15
NLA12_KS-126,1,6781,1.6
NLA12_KS-130,1,6346,2.7
NLA12_KS-138,1,6524,4.6
NLA12_KY-101,1,6284,24.6
NLA12_KY-101,2,6946,25.4
NLA12_KY-102,1,6396,5.5
NLA12_KY-103,1,6303,7.8
NLA12_KY-104,1,6345,1.1
NLA12_KY-107,1,6285,8.7
NLA12_KY-107,2,6939,3.6
NLA12_KY-114,1,6411,16
NLA12_KY-116,1,6945,5.6
NLA12_KY-117,1,6428,5.1
NLA12_KY-120,1,6373,1.6
NLA12_KY-122,1,6374,8.2
NLA12_LA-101,1,6572,4
NLA12_LA-101,2,6866,3.8
NLA12_LA-102,1,6628,4.2
NLA12_LA-103,1,6661,2.4
NLA12_LA-104,1,6718,3.5
NLA12_LA-105,1,6643,2
NLA12_LA-106,1,6754,2.5
NLA12_LA-109,1,6755,1.6
NLA12_LA-134,1,6603,2.6
NLA12_LA-134,2,6856,3.3
NLA12_LA-141,1,6797,1
NLA12_LA-152,1,6662,3.4
NLA12_LA-154,1,6723,1.1
NLA12_LA-155,1,6724,3
NLA12_LA-161,1,6644,5.9
NLA12_LA-172,1,6918,1
NLA12_MA-101,1,8436,4.6
NLA12_MA-101,2,8672,4.3
NLA12_MA-102,1,8494,2
NLA12_MA-103,1,8613,3
NLA12_MA-104,1,8497,7.8
NLA12_MA-105,1,8437,6.5
NLA12_MA-105,2,8652,7
NLA12_MA-106,1,8555,4.2
NLA12_MA-108,1,8457,1.5
NLA12_MA-109,1,8590,10.4
NLA12_MA-110,1,8599,13.8
NLA12_MA-111,1,8443,3.5
NLA12_MD-101,1,6968,11.6
NLA12_MD-101,2,8285,10.9
NLA12_MD-102,1,6777,1.2
NLA12_MD-103,1,7298,3.1
NLA12_MD-104,1,7955,1.6
NLA12_MD-105,1,6905,1.8
NLA12_MD-105,2,7983,1.6
NLA12_MD-108,1,7558,2.5
NLA12_MD-115,1,7219,1.2
NLA12_MD-118,1,7527,0.9
NLA12_ME-101,1,7773,3.3
NLA12_ME-101,2,8473,3
NLA12_ME-102,1,7917,25
NLA12_ME-103,1,7597,27.3
NLA12_ME-104,1,8128,2.3
NLA12_ME-105,1,8142,2.2
NLA12_ME-106,1,7570,32
NLA12_ME-107,1,8185,13.5
NLA12_ME-108,1,8407,31
NLA12_ME-109,1,7463,16.5
NLA12_ME-110,1,7534,18
NLA12_ME-113,1,8598,1.8
NLA12_ME-114,1,7314,23.2
NLA12_ME-115,1,8314,4.8
NLA12_ME-116,1,7923,3
NLA12_ME-118,1,8015,8.7
NLA12_ME-120,1,7819,5.7
NLA12_ME-121,1,7650,12.1
NLA12_ME-122,1,8154,5
NLA12_ME-126,1,7774,4.8
NLA12_ME-126,2,8253,4.7
NLA12_ME-129,1,8013,2.9
NLA12_ME-130,1,7706,5.1
NLA12_ME-134,1,7420,3
NLA12_ME-135,1,8363,4.7
NLA12_ME-137,1,8489,5.6
NLA12_MI-101,1,7103,6.6
NLA12_MI-101,2,1000164,5.8
NLA12_MI-102,1,1000092,12.9
NLA12_MI-103,1,1000162,15
NLA12_MI-104,1,1000070,8.7
NLA12_MI-105,1,1000056,18.2
NLA12_MI-106,1,1000156,6
NLA12_MI-107,1,1000153,16
NLA12_MI-108,1,1000066,9
NLA12_MI-109,1,1000052,9.5
NLA12_MI-110,1,1000094,10.1
NLA12_MI-111,1,7001,8.5
NLA12_MI-112,1,1000080,13.1
NLA12_MI-113,1,1000168,15.5
NLA12_MI-114,1,7002,6.5
NLA12_MI-115,1,1000081,2.6
NLA12_MI-116,1,1000123,3.2
NLA12_MI-117,1,1000091,11.2
NLA12_MI-118,1,1000106,17.5
NLA12_MI-120,1,1000072,4.9
NLA12_MI-122,1,1000148,26.3
NLA12_MI-123,1,1000098,14.6
NLA12_MI-124,1,1000047,2.9
NLA12_MI-125,1,7795,2.7
NLA12_MI-126,1,1000157,8.5
NLA12_MI-128,1,1000076,15.2
NLA12_MI-129,1,1000096,21
NLA12_MI-130,1,1000161,3.5
NLA12_MI-132,1,1000105,4.5
NLA12_MI-133,1,1000152,7.7
NLA12_MI-135,1,7004,11.5
NLA12_MI-136,1,1000055,6.7
NLA12_MI-137,1,1000117,8.5
NLA12_MI-138,1,1000146,3.6
NLA12_MI-139,1,1000046,7
NLA12_MI-139,2,1000166,6.8
NLA12_MI-141,1,1000132,15.2
NLA12_MI-142,1,1000163,3.6
NLA12_MI-144,1,7251,2.7
NLA12_MI-145,1,1000172,12
NLA12_MI-148,1,1000112,17
NLA12_MI-150,1,7787,1.9
NLA12_MI-151,1,1000043,6.6
NLA12_MI-152,1,1000075,7
NLA12_MI-155,1,7005,7.4
NLA12_MI-161,1,1000099,6
NLA12_MI-162,1,1000103,21.7
NLA12_MI-164,1,1000120,0.9
NLA12_MI-165,1,1000101,4.3
NLA12_MI-167,1,1000058,3
NLA12_MI-168,1,1000079,11.9
NLA12_MI-169,1,1000111,3.5
NLA12_MI-172,1,1000173,11.6
NLA12_MI-177,1,1000186,3.7
NLA12_MI-178,1,1000191,2.2
NLA12_MN-101,1,7124,10
