SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLL_BATCH_ID,CHLL_QA_FLAG
NLA12_UT-110,1,0.66,120628.1,NA
NLA12_VA-108,1,2.16,120628.1,NA
NLA12_WV-102,1,4.36,120628.1,NA
NLA12_OK-108,1,12.2,CHLL-20120803,NA
NLA12_OK-135,1,10.3,CHLL-20120803,NA
NLA12_CA-174,1,5.7,L-263-12_12_1927,ND;X2
NLA12_CA-116,1,1.4,L-262-12_12_1928,ND;X2
NLA12_KS-R08,1,14.77,120628.1,NA
NLA12_ND-110,1,13.52,120628.1,NA
NLA12_VA-125,1,9.36,120628.1,NA
NLA12_KS-105,1,5.88,120628.1,NA
NLA12_IL-R03,1,7.26,120628.1,NA
NLA12_LA-101,1,94.67,120628.1,NA
NLA12_MN-137,1,37.84,120628.1,NA
NLA12_UT-109,1,37.6,120628.1,NA
NLA12_NY-0104,1,6.78,120628.1,NA
NLA12_ND-162,1,20.4,120628.1,NA
NLA12_KS-R07,1,17.76,120629.1,NA
NLA12_GA-107,1,102.4,120628.1,NA
NLA12_TX-121,1,23.8,120706.1,NA
NLA12_VA-114,1,16.64,120629.1,NA
NLA12_WV-106,1,1.82,120628.1,NA
NLA12_ND-178,1,2.69,120629.1,NA
NLA12_CA-132,1,4,L-280-12_12_1929,L
NLA12_ND-163,1,28.64,120629.1,NA
NLA12_NH-104,1,2.32,120628.1,NA
NLA12_MN-107,1,63.36,120628.1,NA
NLA12_LA-134,1,24.03,120629.1,NA
NLA12_IA-101,1,95.2,120629.1,NA
NLA12_KS-102,1,22.4,120628.1,NA
NLA12_TX-R02,1,3.76,120628.1,NA
NLA12_KS-124,1,22.44,120629.1,NA
NLA12_AZ-101,2,7.15,120629.1,NA
NLA12_KS-R11,1,3.66,120706.1,NA
NLA12_MO-119,1,3.63,120629.1,NA
NLA12_NV-127,1,23.92,120629.1,NA
NLA12_NV-167,1,2.55,120629.1,NA
NLA12_TX-144,1,5.46,120629.1,NA
NLA12_LA-102,1,7.63,120629.1,NA
NLA12_WI-R06,1,9.52,120629.1,NA
NLA12_SD-168,1,9.84,120629.1,NA
NLA12_ND-186,1,7.34,120629.1,NA
NLA12_CA-157,1,11,L-285-12_12_1955,NA
NLA12_LA-105,1,22.63,120629.1,NA
NLA12_LA-161,1,11.36,120629.1,NA
NLA12_ND-108,1,388.8,120629.1,NA
NLA12_OK-134,1,21.4,CHLL-20120803,NA
NLA12_TX-165,1,4.24,120629.1,NA
NLA12_ND-126,1,59.2,120629.1,NA
NLA12_KS-101,1,7.46,120629.1,NA
NLA12_CA-121,1,5,L-296-12_12_1158,NA
NLA12_IA-109,1,6.56,120629.1,NA
NLA12_LA-103,1,8.84,120629.1,NA
NLA12_LA-152,1,35.2,120706.1,NA
NLA12_MN-102,1,4.58,120629.1,NA
NLA12_MT-109,1,3.8,120710.1,NA
NLA12_UT-105,1,6.32,120629.1,NA
NLA12_TX-117,1,50.4,120629.1,NA
NLA12_OR-110,1,3.81,120629.1,NA
NLA12_OK-120,1,7.43,CHLL-20120803,NA
NLA12_OK-104,1,14.4,CHLL-20120803,NA
NLA12_NH-101,1,48.64,120629.1,NA
NLA12_MI-R08,1,4.58,120629.1,NA
NLA12_SD-172,1,NA,NA,M
NLA12_SD-124,1,62.9,120629.1,NA
NLA12_SD-140,1,9.35,120629.1,NA
NLA12_MN-108,1,2.69,120629.1,NA
NLA12_CT-101,1,7.54,120629.1,NA
NLA12_NH-R04,1,1.06,120629.1,NA
NLA12_WV-101,1,2.43,120629.1,NA
NLA12_ND-155,1,0.65,120629.1,NA
NLA12_NY-0101,1,0.7,120629.1,NA
NLA12_OK-109,1,6.99,CHLL-20120803,NA
NLA12_MT-118,1,8.08,120710.1,NA
NLA12_ND-151,1,46.72,120629.1,NA
NLA12_WV-115,1,2.03,120706.1,NA
NLA12_NH-112,1,2.24,120706.1,NA
NLA12_MN-163,1,56.96,120629.1,NA
NLA12_ND-173,1,2.89,120706.1,NA
NLA12_LA-104,1,16.96,120706.1,NA
NLA12_NV-103,1,0.42,120706.1,NA
NLA12_NV-102,1,2.06,120706.1,NA
NLA12_MN-130,1,3.34,120706.1,NA
NLA12_KS-109,2,9.76,120706.1,NA
NLA12_LA-154,1,561.6,120706.1,NA
NLA12_LA-155,1,4.14,120706.1,NA
NLA12_UT-160,1,7.74,120710.1,NA
NLA12_TX-101,1,40.96,120706.1,NA
NLA12_MI-R09,1,0.99,120710.1,NA
NLA12_MT-138,1,11.41,120710.1,NA
NLA12_TX-160,1,27.52,120710.1,NA
NLA12_MO-104,1,2.48,120710.1,NA
NLA12_MO-117,1,1.56,120710.1,NA
NLA12_CO-124,1,4.28,120710.1,NA
NLA12_LA-106,1,41.6,120706.1,NA
NLA12_LA-109,1,41.4,120710.1,NA
NLA12_TX-195,1,13.33,120710.1,NA
NLA12_IA-106,1,236,120710.1,NA
NLA12_ND-115,2,216,120710.1,NA
NLA12_NV-141,1,5.6,120710.1,NA
NLA12_WI-140,1,10.1,NOT PROVIDED,NA
NLA12_MD-102,1,37.6,120710.1,NA
NLA12_DE-105,1,43.52,120710.1,NA
NLA12_KS-126,1,9,120710.1,NA
NLA12_IA-R03,1,4.58,120710.1,NA
NLA12_IA-103,1,4.39,120710.1,NA
NLA12_VA-R01,1,2.02,120710.1,NA
NLA12_NV-193,1,1.14,120710.1,NA
NLA12_TX-187,1,34.56,120710.1,NA
NLA12_CO-102,1,1.36,120710.1,NA
NLA12_KS-106,1,30.8,120710.1,NA
NLA12_LA-141,1,372,120710.1,NA
NLA12_MN-105,1,6.5,120710.1,NA
NLA12_MT-126,1,4.8,120712.1,NA
NLA12_NJ-107,1,15.73,120710.1,NA
NLA12_SD-106,1,5.22,120710.1,NA
NLA12_TX-157,1,5.52,120710.1,NA
NLA12_WV-113,1,6.29,120710.1,NA
NLA12_SD-110,1,14.96,120712.1,NA
NLA12_IL-110,1,5.45,120710.1,NA
NLA12_NH-105,1,3.82,120710.1,NA
NLA12_CT-115,1,3.72,120710.1,NA
NLA12_IA-R01,1,22.72,120710.1,NA
NLA12_MN-109,1,3.79,120710.1,NA
NLA12_VA-R17,1,3.15,120710.1,NA
