SITE_ID,VISIT_NO,MICL_RESULT_ugL,MICL_BATCH_ID,MICL_QA_FLAG
NLA12_ND-110,1,0.27142,M5,NA
NLA12_VA-125,1,0.20882,M7,NA
NLA12_KS-105,1,0.10243,M5,J03
NLA12_IL-R03,1,0,M5,N
NLA12_LA-101,1,0.2583,M6,NA
NLA12_MN-137,1,6.9,B2I0380,NA
NLA12_UT-109,1,0.21851,M6,NA
NLA12_NY-0104,1,0.08591,M7,J02
NLA12_ND-162,1,0.9253,M5,NA
NLA12_KS-R07,1,0.25476,M6,NA
NLA12_GA-107,1,4.45425,M7,NA
NLA12_TX-121,1,0.12448,M5,J03
NLA12_VA-114,1,0.05289,M7,J02
NLA12_WV-106,1,0.13553,M6,J03
NLA12_ND-178,1,0.09017,M5,J02
NLA12_CA-132,1,0,M5,N
NLA12_ND-163,1,2.52968,M5,NA
NLA12_NH-104,1,0.08804,M5,J02
NLA12_MN-107,1,0,B2H0006,N
NLA12_LA-134,1,0.34118,M6,NA
NLA12_IA-101,1,2.12044,M9,NA
NLA12_KS-102,1,0.13406,M5,J03
NLA12_TX-R02,1,0.11566,M5,J03
NLA12_KS-124,1,0.14591,M7,NA
NLA12_AZ-101,2,0.0828,M7,J02
NLA12_KS-R11,1,0.0432,M6,J02
NLA12_MO-119,1,0.08057,M7,J02
NLA12_NV-127,1,0.10856,M5,J03
NLA12_NV-167,1,0.06824,M5,J02
NLA12_TX-144,1,0,M5,N
NLA12_LA-102,1,0.18614,M6,NA
NLA12_WI-R06,1,0.05386,M8,J02
NLA12_SD-168,1,0.17944,M7,NA
NLA12_ND-186,1,0.04539,M7,J02
NLA12_CA-157,1,0,M7,N
NLA12_LA-105,1,0.20789,M8,NA
NLA12_LA-161,1,0.12925,M8,J03
NLA12_ND-108,1,0.4729,M7,NA
NLA12_OK-134,1,0.10256,M7,J03
NLA12_TX-165,1,0.09964,M8,J03
NLA12_ND-126,1,0.12735,M7,J03
NLA12_KS-101,1,0.01746,M7,J02
NLA12_CA-121,1,0.06235,M7,J02
NLA12_IA-109,1,0.08425,M9,J02
NLA12_LA-103,1,0.06104,M8,J02
NLA12_LA-152,1,0.10506,M9,J03
NLA12_MN-102,1,0.57,B2H0006,NA
NLA12_MT-109,1,0.07111,M7,J02
NLA12_UT-105,1,0.0779,M8,J02
NLA12_TX-117,1,0.1352,M8,J03
NLA12_OR-110,1,0.09321,M9,J02
NLA12_OK-120,1,0.13044,M7,J03
NLA12_OK-104,1,0.05623,M7,J02
NLA12_NH-101,1,0.07689,M7,J02
NLA12_MI-R08,1,0.10674,M8,J03
NLA12_SD-172,1,0.12127,M7,J03
NLA12_SD-124,1,0.03876,M7,J02
NLA12_SD-140,1,0.05927,M7,J02
NLA12_MN-108,1,0,B2H0006,N
NLA12_CT-101,1,0.0858,M7,J02
NLA12_NH-R04,1,0.09229,M6,J02
NLA12_WV-101,1,0.07147,M7,J02
NLA12_ND-155,1,0.81565,M7,NA
NLA12_NY-0101,1,0.0297,M7,J02
NLA12_OK-109,1,0.1062,M7,J03
NLA12_MT-118,1,0.04158,M7,J02
NLA12_ND-151,1,1.24517,M7,NA
NLA12_WV-115,1,0.12299,M7,J03
NLA12_NH-112,1,0.0802,M7,J02
NLA12_MN-163,1,1.9,B2H0006,NA
NLA12_ND-173,1,0.70905,M7,NA
NLA12_LA-104,1,0.16579,M9,NA
NLA12_NV-103,1,0.06828,M7,J02
NLA12_NV-102,1,0.07111,M7,J02
NLA12_MN-130,1,0,B2H0006,N
NLA12_KS-109,2,0.09857,M7,J03
NLA12_LA-154,1,NA,NA,NA
NLA12_LA-155,1,0.088,M9,J02
NLA12_UT-160,1,0.15589,M8,NA
NLA12_TX-101,1,0.15711,M8,NA
NLA12_MI-R09,1,0.09691,M8,J03
NLA12_MT-138,1,0.24098,M7,NA
NLA12_TX-160,1,0.09994,M9,J03
NLA12_MO-104,1,0.03476,M9,J02
NLA12_MO-117,1,0,M9,N
NLA12_CO-124,1,0,M10,N
NLA12_LA-106,1,2.32405,M9,NA
NLA12_LA-109,1,0.09048,M9,J02
NLA12_TX-195,1,0.11758,M9,J03
NLA12_IA-106,1,0.23923,M9,NA
NLA12_ND-115,2,0.12958,M9,J03
NLA12_NV-141,1,0.95549,M9,NA
NLA12_WI-140,1,0,NONE,"N, L"
NLA12_MD-102,1,0.11158,M9,J03
NLA12_DE-105,1,0,M9,N
NLA12_KS-126,1,0,M9,N
NLA12_IA-R03,1,0.0794,M9,J02
NLA12_IA-103,1,0.04128,M9,J02
NLA12_VA-R01,1,0.0673,M9,J02
NLA12_NV-193,1,0.08178,M9,J02
NLA12_TX-187,1,0.27036,M9,NA
NLA12_CO-102,1,0.04844,M9,J02
NLA12_KS-106,1,0.10719,M9,J03
NLA12_LA-141,1,0.01257,M10,J02
NLA12_MN-105,1,0,B2H0006,N
NLA12_MT-126,1,0.21999,M10,NA
NLA12_NJ-107,1,0.08994,M9,J02
NLA12_SD-106,1,0.11301,M10,J03
NLA12_TX-157,1,0.07055,M9,J02
NLA12_WV-113,1,0.07648,M9,J02
NLA12_SD-110,1,0.26714,M10,NA
NLA12_IL-110,1,0.17212,M9,NA
NLA12_NH-105,1,0.06931,M9,J02
NLA12_CT-115,1,0.08427,M8,J02
NLA12_IA-R01,1,0.13197,M9,J03
NLA12_MN-109,1,0.35,B2H0006,NA
NLA12_VA-R17,1,0.09138,M9,J02
NLA12_MT-154,1,0.63212,M10,NA
NLA12_ID-194,1,0,M10,N
NLA12_UT-173,1,0.10064,M9,J03
NLA12_UT-165,1,0,M9,N
NLA12_WV-111,1,0,M9,N
NLA12_NV-109,1,0.13441,M9,J03
NLA12_KS-107,1,0.31812,M9,NA
NLA12_RI-104,1,0,M11,N
NLA12_PA-118,1,0,2012MCN_NLA_02RP,N
NLA12_PA-109,1,0,2012MCN_NLA_01RP,N
NLA12_NY-0102,1,0.13205,M10,J03
NLA12_WV-R01,1,0.11113,M9,J03
NLA12_DE-102,1,3.71317,M9,NA
NLA12_MN-150,1,0,B2H0006,N
NLA12_IA-R02,1,5.8072,M9,NA
NLA12_ND-102,1,1.85603,M9,NA
NLA12_OR-111,1,43.8622,M10,NA
NLA12_IA-113,1,0.15325,M9,NA
NLA12_TX-107,1,0.17464,M9,NA
NLA12_KS-121,1,0.07648,M10,J02
NLA12_ND-119,1,0.33742,M9,NA
NLA12_ND-167,1,3.03155,M9,NA
NLA12_CT-102,1,0.07877,M9,J02
NLA12_LA-134,2,0.24081,M10,NA
NLA12_NH-103,1,0,M9,N
NLA12_TX-105,1,0,M10,N
NLA12_ND-187,1,0.12723,M9,J03
NLA12_LA-101,2,0.23042,M10,NA
NLA12_UT-186,1,0.088,M9,J02
NLA12_UT-141,1,0.09138,M9,J02
NLA12_MN-138,1,0,B2H0322,N
NLA12_SD-102,1,1.88462,M10,NA
NLA12_CO-114,1,0.07381,M9,J02
NLA12_CO-131,1,0.08375,M9,J02
NLA12_MN-153,1,0,B2H0322,N
NLA12_WV-112,1,0.0949,M9,J02
NLA12_MT-142,1,0,M10,N
NLA12_GA-118,1,0.07522,M10,J02
NLA12_MD-105,1,0.4367,M9,NA
NLA12_IA-150,1,0.3376,M10,NA
NLA12_LA-172,1,0.13571,M10,J03
NLA12_OK-103,1,0.13297,M10,J03
NLA12_OH-103,1,0,M11,N
NLA12_WA-118,1,0,M10,N
NLA12_UT-148,1,0.12268,M10,J03
NLA12_KS-122,1,0.10178,M10,J03
NLA12_RI-102,1,0,M11,N
NLA12_ID-168,1,0,M10,N
NLA12_KY-107,2,0,M10,N
NLA12_ID-141,1,0,M10,N
NLA12_UT-125,1,0,M10,N
NLA12_KY-116,1,0.22642,M10,NA
NLA12_KY-101,2,0,M10,N
NLA12_VT-112,1,0.17613,M11,NA
NLA12_ID-113,1,0,M10,N
NLA12_ID-101,1,0.05279,M10,J02
NLA12_SD-183,1,0.03062,M10,J02
NLA12_ND-196,1,0.5968,M10,NA
NLA12_UT-260,1,0,M10,N
NLA12_RI-111,1,0.24235,M11,NA
NLA12_MD-101,1,0.05832,M11,J02
NLA12_KS-101,2,0.06525,M10,J02
NLA12_ID-209,1,0.07661,M12,J02
NLA12_ID-175,1,0.07388,M12,J02
NLA12_CO-108,1,0,M10,N
NLA12_IA-152,1,4.0343,M10,NA
NLA12_ND-106,1,0.0557,M10,J02
NLA12_WA-157,1,0,M10,N
NLA12_WA-121,1,0,M10,N
NLA12_WY-101,1,0.07522,M11,J02
NLA12_MO-108,1,0.0938,M11,J02
NLA12_WY-104,1,0.19594,M11,NA
NLA12_WY-107,1,0.07225,M11,J02
NLA12_MI-111,1,0.05809,M11,J02
NLA12_MI-114,1,0.1519,M11,NA
NLA12_MI-135,1,0.09973,M11,J03
NLA12_MI-155,1,0.30749,M11,NA
NLA12_WY-130,1,0.08324,M12,J02
NLA12_IA-104,1,0.10655,M11,J03
NLA12_CA-101,1,0.45198,M12,NA
NLA12_GA-105,1,0,M11,N
NLA12_MT-107,1,0.07625,M11,J02
NLA12_OK-105,1,0.14444,M12,J03
NLA12_WY-105,1,0.08905,M12,J02
NLA12_OR-104,1,0,M12,N
NLA12_OK-106,1,0.12967,M11,J03
NLA12_ND-101,2,1.87295,M11,NA
