SITE_ID,VISIT_NO,SAM_CODE,ALUMINUM_RESULT_mgL,AMMONIA_N_RESULT_mgL,ANC_RESULT_ueqL,CALCIUM_RESULT_mgL,CHLORIDE_RESULT_mgL,COLOR_RESULT_PtCo,COND_RESULT_uscm,DOC_RESULT_mgL,MAGNESIUM_RESULT_mgL,NITRATE_N_RESULT_mgL,NITRATE_NITRITE_N_RESULT_mgL,NITRITE_N_RESULT_mgL,NTL_RESULT_mgL,PH_RESULT,POTASSIUM_RESULT_mgL,PTL_RESULT_ugL,SILICA_RESULT_mgL,SODIUM_RESULT_mgL,SULFATE_RESULT_mgL,TOC_RESULT_mgL,TSS_RESULT_mgL,TURB_RESULT_NTU,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID
NLA12_CO-127,1,REGULAR,0.025,0.096,2153,33.24,37.542,18,424,8.09,15.51,0.01,0.01,0,0.936,9.53,5.4,712,19.95,36.05,52.033,NA,NA,3.93,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120908.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120919.1,120911.2,121205.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665660
NLA12_MO-120,1,REGULAR,0.022,0.016,890.5,15.86,12.622,28,169.8,7.29,4.128,0.002,0.002,0,1.305,9.03,3.869,69,3.911,8.516,14.801,NA,NA,7.04,121205.1,120912.1,120907.1,121205.1,120907.1,120907,120907.1,121003.1,121205.1,120907.1,120907.1,120907.1,120913.1,120907.1,121205.1,120913.1,120911.1,121205.1,120907.1,NA,NA,120907.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664610
NLA12_PA-119,1,REGULAR,NA,0.04,639.4,26.7,14.79,5,287,2.19,8.51,0.53,0.52,NA,0.7,8,1.893,5,3.056,11.7,78,NA,2,1,NA,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,NA,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,0911-950,NA,0911-950,0911-950,NA,NA,NA,LAB2,NA,NA,NA,NA,NA,NA,LAB4,NA,LAB1,NA,NA,NA,LAB1,LAB3,625880
NLA12_OH-112,1,REGULAR,0.01,0.0078,1992,34.3,16.243,18,291,4.43,11.26,0.002,0.002,0,0.52,8.63,5.026,26,2.015,5.279,23.707,NA,NA,2.58,121205.1,120912.1,120907.1,121205.1,120907.1,120907,120907.1,121003.1,121205.1,120907.1,120907.1,120907.1,120913.1,120907.1,121205.1,120913.1,120911.1,121205.1,120907.1,NA,NA,120907.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665090
NLA12_CA-138,1,REGULAR,NA,0.0214,208,1.68,0.25,5,24,4.99,0.81,0.005,0.005,NA,0.333,7.6,1.04,10.5,6.44,0.43,0.08,NA,1.7,NA,NA,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,NA,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,L-541-12_12_3922,NA,L-541-12_12_3922,NA,LAB_1,LAB_2,LAB_4,LAB_5,LAB_14,LAB_6,LAB_2,LAB_8,LAB_9,LAB_1,LAB_15,LAB_2,LAB_2,LAB_10,LAB_2,LAB_11,LAB_12,NA,647630
NLA12_WI-133,1,REGULAR,NA,0.02,2960,35.4,18.3,25,354,16,22.1,NA,0.019,NA,1.33,8.86,6.6,25,2.84,5,20.2,15,NA,4.7,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657350
NLA12_WI-132,1,REGULAR,NA,0.021,4580,40.1,43.7,35,530,10,41,NA,0.019,NA,1.52,9.05,4.2,109,20.1,20.1,20.3,9,NA,23.1,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657680
NLA12_WI-181,1,REGULAR,NA,0.016,2940,28.6,39,5,415,11,23.3,NA,0.023,NA,1.1,8.91,4.2,24,0.849,21.7,10.7,13,NA,4.4,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657440
NLA12_WI-135,1,REGULAR,NA,0.019,796,10,1.6,12.5,81,7.8,3.9,NA,0.019,NA,0.78,8.18,0.1,20,0.332,1.5,4.5,8.1,NA,2.5,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657650
NLA12_WI-111,1,REGULAR,NA,0.032,1362,14.7,12,5,178,9,10.2,NA,0.019,NA,0.89,8.5,0.2,13,0.298,6,4.5,9.8,NA,1.3,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657770
NLA12_MT-177,1,REGULAR,0,0.028,2705,242,12.754,20,9379,16.64,322.4,0,0,0,1.353,8.76,18.76,46,0.222,2346,5734.061,NA,NA,1.94,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120910.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120913.1,120911.1,121206.1,120914.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649190
NLA12_MA-101,1,REGULAR,0,0.0058,160.1,2.524,51.081,20,200,2.41,1.383,0.003,0.003,0,0.224,6.98,0.998,36,6.462,33.05,3.01,NA,NA,1.45,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120908.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120913.1,120911.1,121205.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665990
