SITE_ID,VISIT_NO,SAM_CODE,ALUMINUM_RESULT_mgL,AMMONIA_N_RESULT_mgL,ANC_RESULT_ueqL,CALCIUM_RESULT_mgL,CHLORIDE_RESULT_mgL,COLOR_RESULT_PtCo,COND_RESULT_uscm,DOC_RESULT_mgL,MAGNESIUM_RESULT_mgL,NITRATE_N_RESULT_mgL,NITRATE_NITRITE_N_RESULT_mgL,NITRITE_N_RESULT_mgL,NTL_RESULT_mgL,PH_RESULT,POTASSIUM_RESULT_mgL,PTL_RESULT_ugL,SILICA_RESULT_mgL,SODIUM_RESULT_mgL,SULFATE_RESULT_mgL,TOC_RESULT_mgL,TSS_RESULT_mgL,TURB_RESULT_NTU,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID
NLA12_MS-116,1,REGULAR,0.007,0.0021,180.7,2.421,1.239,2,30.4,4.78,0.891,0,0,0,0.396,6.53,0.93,22,3.621,1.636,3.371,NA,NA,1.57,110731.1,120613.1,120607.1,120731.1,120608.1,120607.1,120607.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120607.1,120731.1,120618.1,120607.1,120731.1,120608.1,NA,NA,120607.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634490
NLA12_MS-R03,1,REGULAR,0.02,0.0087,240.8,2.441,1.261,26,31.5,7.47,1.051,0,0,0,1.226,7.71,1.622,66,2.162,1.537,0.959,NA,NA,21.78,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,NA,NA,120608.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630230
NLA12_MS-119,1,REGULAR,0.012,0.0099,209.8,1.413,0.965,19,27.9,6.95,1.453,0,0,0,0.99,7.55,2.447,45,1.13,1.049,1.11,NA,NA,8.12,110731.1,120613.1,120609.1,120731.1,120611.1,120609.1,120609.1,120619.1,130204.1,120611.1,120611.1,120611.1,120618.1,120609.1,120731.1,120618.1,120612.1,120731.1,120611.1,NA,NA,120609.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621560
NLA12_VT-101,1,REGULAR,0.031,0.011,273.5,4.865,4.785,32,52.3,5.61,0.728,0.002,0.002,0,0.261,7.53,0.879,18,4.853,3.855,2.774,NA,NA,0.37,121023.1,120620.1,120620.1,121023.1,120622.1,120620.1,120620.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120620.1,121023.1,120627.1,120621.1,121023.1,120622.1,NA,NA,120620.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639470
NLA12_TX-141,1,REGULAR,0,0.004,342.9,8.632,8.969,26,141.2,6.5,4.877,0.002,0.002,0,0.445,7.67,3.457,30,8.921,8.341,30.626,NA,NA,2.08,121023.1,120620.1,120620.1,121023.1,120622.1,120620.1,120620.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120620.1,121023.1,120627.1,120621.1,121023.1,120622.1,NA,NA,120620.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643070
NLA12_TX-169,1,REGULAR,2.48,3.18,-589.6,29.87,9.783,5,573,0.23,9.582,0.078,0.078,0,4.065,3.34,6.079,54,41.445,9.374,163.271,NA,NA,0.42,121023.1,130131.1,120621.1,121023.1,120622.1,120621.1,120621.1,120703.1,121023.1,120622.1,120622.1,120622.1,130123.1,120621.1,121023.1,120628.1,120621.1,121023.1,120622.1,NA,NA,120621.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642770
NLA12_OR-133,1,REGULAR,0,0.0025,279.9,2.798,0.402,15,28.2,3.22,1.612,0.002,0.002,0,0.16,6.71,0.051,20,3.037,0.22,0.048,NA,NA,1.95,121023.1,120627.1,120621.1,121023.1,120622.1,120621.1,120621.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120621.1,121023.1,120627.1,120621.1,121023.1,120622.1,NA,NA,120621.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634100
NLA12_OR-131,1,REGULAR,0,0.0098,2237,20.71,2.416,23,219,7.12,8.657,0.002,0.002,0,0.625,7.84,1.683,197,4.895,14.09,1.361,NA,NA,2.01,121023.1,120627.1,120622.3,121023.1,120622.1,120622.1,120622.3,120703.1,121023.1,120622.1,120622.1,120622.1,120628.1,120622.3,121023.1,120628.1,120626.1,121023.1,120622.1,NA,NA,120622.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632630
NLA12_TX-158,1,REGULAR,0,0.012,2529,83.6,163.281,22,1300,4.87,27.12,0,0,0,0.806,8.2,6.547,88,17.008,158.1,272.672,NA,NA,9.16,121025.1,120702.1,120626.1,121025.1,120626.1,120626.1,120626.1,120710.1,121025.1,120626.1,120626.1,120626.1,120705.1,120626.1,121025.1,120705.1,120626.1,121025.1,120626.1,NA,NA,120626.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642680
NLA12_ID-107,1,REGULAR,0.204,0.065,1078,12.23,2.031,32,122,7.99,2.822,0.107,0.114,0.007,0.895,7.95,3.774,383,24.092,7.532,3.313,NA,NA,28.52,121025.1,120705.1,120627.1,121025.1,120628.1,120627.1,120627.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120627.1,121025.1,120705.1,120628.2,121025.1,120628.1,NA,NA,120627.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640310
NLA12_VT-102,1,REGULAR,0.048,0.03,1344,24.42,1.056,27,142.2,3.23,2.282,0.007,0.008,0.001,0.25,8.33,1.201,14,3.61,1.373,5.031,NA,NA,1.03,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,NA,NA,120628.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639500
NLA12_OR-101,1,REGULAR,0.027,0.074,6056,29.41,5.315,26,542,10.66,26.64,0.004,0.004,0,0.839,8.76,9.517,332,34.793,60.6,3.712,NA,NA,33.64,121025.1,120705.1,120628.1,121025.1,120628.1,120628.1,120628.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120628.1,121025.1,120705.1,120628.2,121025.1,120628.1,NA,NA,120628.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634130
NLA12_TX-135,1,REGULAR,0.051,0.026,15329,2.861,1073.821,40,5790,19.86,3.02,0,0,0,2.894,9.22,14.61,114,5.743,1384,612.771,NA,NA,13.95,121026.1,120710.2,120702.1,121026.1,120629.1,120628.1,120628.1,120718.1,121026.1,120628.1,120628.1,120628.1,120712.1,120628.1,121026.1,120705.1,120628.2,121026.1,120629.1,NA,NA,120628.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642650
NLA12_WI-101,1,REGULAR,NA,0.023,3860,41.2,63.1,7.5,582,6.3,36.7,NA,0.019,NA,1.06,8.68,3.1,92,9.75,32.9,21.9,7.2,NA,11.3,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636290
NLA12_ID-151,1,REGULAR,0.191,0.041,754.1,7.822,2.308,68,85.4,15.04,2.328,0.011,0.011,0,7.844,9.58,4.271,705,7.735,4.338,0.452,NA,NA,24.71,121026.1,120710.2,120629.1,121026.1,120629.1,120629.1,120629.1,120718.1,121026.1,120629.1,120629.1,120629.1,120712.1,120629.1,121026.1,120712.1,120703.1,121026.1,120629.1,NA,NA,120629.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645890
NLA12_TX-110,1,REGULAR,0.007,0.0092,1449,27.41,21.986,11,322,4.48,4.01,0.002,0.002,0,0.61,8.4,5.246,26,2.262,29.32,48.751,NA,NA,2.92,121026.1,120711.1,120629.1,121026.1,120629.1,120629.1,120629.1,120718.1,121026.1,120629.1,120629.1,120629.1,120705.1,120629.1,121026.1,120705.1,120703.1,121026.1,120629.1,NA,NA,120629.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642530
NLA12_WI-102,1,REGULAR,NA,0.018,3900,30.1,53.7,5,542,6.2,35.6,NA,0.019,NA,0.8,8.58,2.1,10,2.72,24.6,23.5,6.2,NA,1.5,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636530
NLA12_ID-109,1,REGULAR,0.008,0.0091,2948,46.14,15.573,13,395,1.88,13.66,0.002,0.002,0,0.23,8.63,2.827,41,5.166,16.48,39.697,NA,NA,4.46,121026.1,120710.2,120629.1,121026.1,120629.1,120629.1,120629.1,120718.1,121026.1,120629.1,120629.1,120629.1,120705.1,120629.1,121026.1,120705.1,120703.1,121026.1,120629.1,NA,NA,120629.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640070
NLA12_ID-111,1,REGULAR,0.417,0.015,794.5,8.383,1.951,18,90.6,2.93,1.749,0.005,0.005,0,0.465,7.94,3.447,84,30.527,5.845,2.916,NA,NA,4.33,121026.1,120711.1,120629.1,121026.1,120629.1,120629.1,120629.1,120718.1,121026.1,120629.1,120629.1,120629.1,120705.1,120629.1,121026.1,120705.1,120703.1,121026.1,120629.1,NA,NA,120629.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640160
NLA12_VT-106,1,REGULAR,0.025,0.016,237.2,3.834,0.171,45,30.3,7.29,0.766,0.003,0.003,0,0.315,7.19,0.721,20,3.887,1.051,2.004,NA,NA,1.44,121031.1,120711.1,120705.1,121031.1,120706.1,120705.1,120705.1,120724.1,121031.1,120706.1,120706.1,120706.1,120712.2,120705.1,121031.1,120712.2,120705.2,121031.1,120706.1,NA,NA,120705.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639530
NLA12_WI-152,1,REGULAR,NA,0.048,3900,38.2,62.5,5,571,4.7,31.4,NA,0.019,NA,0.5,8.62,2.4,24,3.63,29.9,25.4,5,NA,1.7,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636500
NLA12_WI-113,1,REGULAR,NA,0.034,2900,20.3,16.9,2.5,328,3.9,27.8,NA,1.09,NA,1.67,9,0.9,12,7.99,7,10.9,4.3,NA,1.5,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636440
NLA12_MI-151,1,REGULAR,0.01,0.015,1882,22.44,53.563,10,413,5.07,17.59,0.002,0.002,0,0.398,8.97,2.965,10,1.046,32.79,27.976,NA,NA,1.52,121031.1,120711.1,120710.1,121031.1,120710.1,120710,120710.1,120725.1,121031.1,120710.1,120710.1,120710.1,120712.2,120710.1,121031.1,120712.2,120712.1,121031.1,120710.1,NA,NA,120710.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639740
NLA12_WI-117,1,REGULAR,NA,0.048,2620,25.8,11.1,10,272,8.3,17.8,NA,0.019,NA,0.72,8.08,NA,18,1.36,6.6,4.5,9.4,NA,1.6,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636350
NLA12_MI-139,1,REGULAR,0,0.034,4422,70.29,6.396,45,454,18.43,18.96,0.002,0.002,0,1.559,8.5,1.183,31,5.034,4.743,26.989,NA,NA,1.96,121031.1,120718.1,120711.2,121031.1,120712.1,120711,120711.2,120731.1,121031.1,120712.1,120712.1,120712.1,120717.1,120711.2,121031.1,120717.1,120712.1,121031.1,120712.1,NA,NA,120711.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639380
NLA12_MI-124,1,REGULAR,0,0.049,1933,25.13,18.328,12,251,5.95,9.859,0.002,0.003,0.001,0.616,8.42,0.4,38,17.242,11.84,4.696,NA,NA,1.38,121101.1,120718.1,120712.1,121101.1,120712.1,120712,120712.1,120731.1,121101.1,120712.1,120712.1,120712.1,120717.1,120712.1,121101.1,120717.1,120712.1,121101.1,120712.1,NA,NA,120712.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639710
NLA12_TX-117,2,REGULAR,0.006,1.03,946.6,10.01,1.902,60,109.9,14.94,2.784,0.005,0.013,0.008,3.925,7.7,5.953,590,13.946,4.409,1.368,NA,NA,13.76,121101.1,120718.1,120712.1,121101.1,120712.1,120712,120712.1,120731.1,121101.1,120712.1,120712.1,120712.1,120725.1,120712.1,121101.1,120725.1,120712.1,121101.1,120712.1,NA,NA,120712.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642500
NLA12_OR-106,1,REGULAR,0.003,0.0075,479.4,3.747,0.621,10,48.8,0.3,1.676,0.002,0.002,0,0.016,7.66,0.996,62,28.907,3.396,0.93,NA,NA,0.14,121101.1,120718.1,120712.1,121101.1,120712.1,120712,120712.1,120731.1,121101.1,120712.1,120712.1,120712.1,120717.1,120712.1,121101.1,120717.1,120712.1,121101.1,120712.1,NA,NA,120712.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634220
NLA12_WI-136,1,REGULAR,NA,0.059,3760,34.5,111,10,710,6.9,42.7,NA,0.019,NA,0.74,8.75,2.5,21,10,54.1,26.2,7.7,NA,NA,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636020
NLA12_MI-109,1,REGULAR,0,0.0068,4268,61.98,24.535,15,537,4.69,27.95,0,0,0,0.569,8.44,2.099,44,7.537,12.44,43.155,NA,NA,3.21,121101.1,120718.1,120712.1,121101.1,120712.1,120712,120712.1,120725.1,121101.1,120712.1,120712.1,120712.1,120717.1,120712.1,121101.1,120717.1,120712.1,121101.1,120712.1,NA,NA,120712.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639800
NLA12_TX-109,1,REGULAR,0.001,0.011,1054,8.551,17.132,38,174.1,10.02,2.34,0.002,0.002,0,0.805,8,5.247,35,7.378,22.36,4.714,NA,NA,2.72,121101.1,120718.1,120713.1,121101.1,120716.1,120713,120713.1,120731.1,121101.1,120716.1,120716.1,120716.1,120717.1,120713.1,121101.1,120717.1,120717.1,121101.1,120716.1,NA,NA,120713.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642170
NLA12_VT-109,1,REGULAR,0.03,0.0078,130.2,2.373,1.319,40,24.1,5.7,0.58,0.002,0.002,0,0.429,7.07,0.085,19,0.296,1.494,1.94,NA,NA,1.11,121101.1,120718.1,120713.1,121101.1,120716.1,120713,120713.1,120807.1,121101.1,120716.1,120716.1,120716.1,120718.1,120713.1,121101.1,120718.1,120717.1,121101.1,120716.1,NA,NA,120713.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631400
NLA12_MI-136,1,REGULAR,0.006,0.0094,231.2,4.695,4.13,36,51,12.83,1.943,0.002,0.002,0,0.721,7.17,1.595,17,0.33,1.367,3.467,NA,NA,1.46,121101.1,120718.1,120714.1,121101.1,120716.1,120714,120714.1,120807.1,121101.1,120716.1,120716.1,120716.1,120718.1,120716.2,121101.1,120718.1,120717.1,121101.1,120716.1,NA,NA,120714.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639410
NLA12_MI-105,1,REGULAR,0,0.013,2772,41.45,21.464,30,359,6.17,12.95,0.043,0.043,0,0.546,8.5,1.388,44,6.45,14.16,17.198,NA,NA,1.57,121101.1,120718.1,120712.1,121101.1,120712.1,120712,120712.1,120725.1,121101.1,120712.1,120712.1,120712.1,120717.1,120712.1,121101.1,120717.1,120712.1,121101.1,120712.1,NA,NA,120712.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639680
NLA12_CA-R09,1,REGULAR,0.022,0.0066,353.3,12.8,0.107,9,83.2,1.4,0.411,0.005,0.005,0,0.15,8.93,0.549,14,4.339,0.997,19.211,NA,NA,0.48,121102.1,120718.1,120714.1,121102.1,120716.1,120714,120714.1,120807.1,121102.1,120716.1,120716.1,120716.1,120718.1,120716.2,121102.1,120718.1,120717.1,121102.1,120716.1,NA,NA,120714.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650630
NLA12_MI-167,1,REGULAR,0,0.031,2184,19.49,9.261,40,252,7.48,20.1,0.002,0.002,0,0.72,9.28,0.909,26,3.59,4.253,15.096,NA,NA,1.56,121101.1,120718.1,120713.1,121101.1,120716.1,120713,120713.1,120731.1,121101.1,120716.1,120716.1,120716.1,120717.1,120713.1,121101.1,120717.1,120717.1,121101.1,120716.1,NA,NA,120713.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639650
NLA12_WI-168,1,REGULAR,NA,0.048,3420,28,75.6,5,584,5.4,37.6,NA,0.019,NA,0.52,8.79,2.2,17,5.97,37.2,31.2,6.1,NA,1.3,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647990
NLA12_TX-124,1,REGULAR,0,0.0064,2159,65.12,291.546,10,1288,6.05,25.65,0,0,0,0.596,8.62,13.37,25,7.427,143.5,81.769,NA,NA,2.96,121102.1,120718.1,120714.1,121102.1,120719.1,120714,120714.1,120807.1,121102.1,120716.1,120716.1,120716.1,120718.1,120716.2,121102.1,120718.1,120717.1,121102.1,120716.1,NA,NA,120714.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642140
NLA12_TX-148,1,REGULAR,0,0.014,2513,44.62,17.19,10,412,5.74,10.51,0,0,0,0.595,8.56,12.07,64,10.611,20.11,56.013,NA,NA,47.7,121102.1,120718.1,120717.1,121102.1,120719.1,120717,120717.1,120807.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120717.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642560
NLA12_WI-172,1,REGULAR,NA,0.053,5120,50.7,23.4,15,562,4.2,37.5,NA,2.59,NA,3.84,8.39,NA,132,17,9.7,20.1,4.3,NA,6.3,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NA,NOT PROVIDED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647960
NLA12_MI-108,1,REGULAR,0.024,0.015,1085,13.35,9.233,12,144.2,5.13,6.481,0,0,0,0.558,8.26,0.186,14,0.504,5.105,4.81,NA,NA,1.2,121102.1,120723.2,120718.2,121102.1,120719.1,120718,120718.2,120807.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120718.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639770
NLA12_ID-149,1,REGULAR,0.073,0.024,1085,12.17,0.593,23,120.1,7.09,4.107,0.003,0.004,0.001,1.048,9.11,3.481,85,6.7,3.934,6.11,NA,NA,3.94,121102.1,120723.2,120718.2,121102.1,120719.1,120718,120718.2,120808.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120718.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648110
NLA12_ID-148,1,REGULAR,0.25,0.015,595.8,5.774,0.679,15,62.7,3.42,2.14,0.002,0.002,0,0.303,8.45,1.355,77,34.337,3.205,0.819,NA,NA,2.66,121102.1,120723.2,120718.2,121102.1,120719.1,120718,120718.2,120807.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120718.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648050
NLA12_ID-103,1,REGULAR,0.005,0.02,278.1,3.295,1.084,0,38.4,2.54,1.154,0,0,0,0.196,7.5,0.764,35,13.828,2.041,2.983,NA,NA,1.3,121102.1,120723.2,120718.2,121102.1,120719.1,120718,120718.2,120807.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120718.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640220
NLA12_MI-104,1,REGULAR,0,0.025,2087,25.72,10.281,7,240,7.46,11.33,0,0,0,0.619,8.54,0.791,18,3.255,6.939,6.976,NA,NA,1.47,121102.1,120723.2,120718.2,121102.1,120719.1,120718,120718.2,120808.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120718.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651290
NLA12_VT-104,1,REGULAR,0.003,0.026,447.7,6.045,0.548,10,55.4,3.01,1.928,0.078,0.08,0.002,0.296,7.96,0.553,9,2.163,0.911,3.459,NA,NA,0.59,121102.1,120723.2,120718.2,121102.1,120719.1,120718,120718.2,120807.1,121102.1,120719.1,120719.1,120719.1,120723.1,120718.2,121102.1,120723.1,120719.1,121102.1,120719.1,NA,NA,120718.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650930
NLA12_MI-120,1,REGULAR,0,0.028,3913,46.88,20.933,18,473,6.95,31.52,0,0,0,0.781,8.47,1.691,49,11.278,5.206,29.208,NA,NA,4.53,121102.1,120725.1,120719.1,121102.1,120719.1,120719,120719.1,120808.1,121102.1,120719.1,120719.1,120719.1,120725.1,120719.1,121102.1,120725.1,120719.1,121102.1,120719.1,NA,NA,120719.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651110
NLA12_TX-103,1,REGULAR,0,0.016,3830,82.27,1291.575,10,5680,8.92,91.98,0,0,0,0.97,8.02,14.84,49,15.052,989.6,717.932,NA,NA,5.37,121105.1,120725.1,120719.1,121105.1,120719.1,120719,120719.1,120810.1,121105.1,120719.1,120719.1,120719.1,120725.1,120719.1,121105.1,120725.1,120719.1,121105.1,120719.1,NA,NA,120719.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642110
