SITE_ID,VISIT_NO,DATE_COL_iso,dD,d18O,d_excess,E_I,RT,YEAR,SAMPLE_ID,SAMPLED_PHAB,L_LkAreakm2,DDHzSqrtA_sc,DDVrtDix_sc,L_DDHzSqrtA_sc,L_DDVrtDix_sc,URBAN,VertDD_use,HorizDD_use,L_VertDD_use,L_HorizDD_use,ELEV_use,DpthMx_use,LkArea_km2,LATdd_use,LONdd_use,L_DpthMx_use,L_ELEV_use,Lake_Origin_use,ECOWSA9_2015,RT_NLA12_2015,ECOP5_2015,ECOP6_2015,SID,RESAMPLED12,VertDD_CONDc315,HorizDD_CONDc315,Drawdown_CONDus15,RTS12_15
NLA12_NE-158,1,2012-08-30,6.19,2.36,-12.72,NA,NA,2012,662420,YES,-0.413508681,0,0,-2,-2,No,0,0,-1,0,403.72,2.9,0.385914698,40.16875,-96.82952,0.462397998,2.607154666,MAN-MADE,SPL,T,CENPL,CENPL,NLA12_NE-158,NO,Small,Small,SMALL,3
NLA12_NE-160,1,2012-08-23,-103.57,-12.36,-4.69,NA,NA,2012,659390,YES,0.8949032,0.041257816,0.266666667,-1.290239903,-0.558043162,No,2,115.6,0.322219295,2.06669855,1253.72,7.5,7.850606322,41.92716,-103.49353,0.875061263,3.098546821,MAN-MADE,SPL,S,CENPL,CENPL,NLA12_NE-160,NO,Large,Large,LARGE,2
NLA12_NE-166,1,2012-08-25,-37.68,-2.66,-16.38,NA,NA,2012,659240,YES,-1.415741626,0.067876971,0.188679245,-1.108590949,-0.701847498,No,1,13.3,0.041392685,1.155336038,720.23,5.3,0.038393559,40.72208,-99.69936,0.72427587,2.858073783,MAN-MADE,SPL,S,CENPL,CENPL,NLA12_NE-166,NO,Med,Med,MEDIUM,2
NLA12_NE-170,1,2012-08-27,-10.36,0.29,-12.68,NA,NA,2012,659360,YES,-0.054326352,0,0,-2,-2,No,0,0,-1,0,375.32,3.5,0.882416556,40.76638,-96.85048,0.544068044,2.5755573,MAN-MADE,TPL,T,CENPL,CENPL,NLA12_NE-170,NO,Small,Small,SMALL,3
NLA12_NH-101,1,2012-06-19,-55.68,-8.72,14.1,NA,NA,2012,626990,YES,-0.920151031,0,0,-2,-2,No,0,0,-1,0,124.81,6.1,0.120184641,43.83666,-71.0913,0.785329835,2.099715162,NATURAL,NAP,S,APPS,NAP,NLA06608-0726,YES,Small,Small,SMALL,2
NLA12_NH-101,2,2012-07-24,-56.63,-8.15,8.54,NA,NA,2012,648440,YES,-0.920151031,0,0,-2,-2,No,0,0,-1,0,124.81,5.8,0.120184641,43.83734,-71.09218,0.763427994,2.099715162,NATURAL,NAP,S,APPS,NAP,NLA06608-0726,YES,Small,Small,SMALL,2
NLA12_NH-102,1,2012-07-11,-61.32,-8.71,8.37,NA,NA,2012,626870,YES,-0.882482089,0,0,-2,-2,No,0,0,-1,0,444.3,3.1,0.13107441,44.83957,-71.13403,0.491361694,2.648652695,NATURAL,NAP,S,APPS,NAP,NLA06608-0358,YES,Small,Small,SMALL,2
NLA12_NH-103,1,2012-06-28,-48.07,-6.78,6.2,NA,NA,2012,626900,YES,1.22258691,0,0,-2,-2,Yes,0,0,-1,0,146.79,43.9,16.69501872,43.54103,-71.50483,1.64246452,2.169645049,NATURAL,NAP,T,APPS,NAP,NLA06608-0930,YES,Small,Small,SMALL,3
NLA12_NH-104,1,2012-06-14,-50.28,-7.9,12.91,NA,NA,2012,627980,YES,0.478319496,0,0,-2,-2,Yes,0,0,-1,0,395,9.1,3.008288587,43.12913,-72.07913,0.959041392,2.597695186,NATURAL,NAP,S,APPS,NAP,NLA06608-0994,YES,Small,Small,SMALL,2
NLA12_NH-105,1,2012-06-26,-44.45,-6.64,8.65,NA,NA,2012,626930,YES,-0.272708564,0,0,-2,-2,Yes,0,0,-1,0,270.74,2.5,0.533692913,42.73301,-72.10112,0.397940009,2.434153571,NATURAL,NAP,S,APPS,NAP,NLA06608-0162,YES,Small,Small,SMALL,2
NLA12_NH-107,1,2012-07-31,-36.91,-4.57,-0.37,NA,NA,2012,649070,YES,-1.389894063,0.008311539,0.125,-1.737275144,-0.869666232,Yes,0.3,1.677777778,-0.397940009,0.427774533,92.72,2.4,0.040747966,42.9422,-71.2365,0.380211242,1.97183228,MAN-MADE,NAP,S,APPS,NAP,NLA12_NH-107,NO,Med,Large,LARGE,2
NLA12_NH-108,1,2012-06-12,-47.45,-6.88,7.58,NA,NA,2012,628010,YES,-0.467151369,0,0,-2,-2,No,0,0,-1,0,185.09,2.7,0.341074013,43.36743,-71.24325,0.431363764,2.269723036,NATURAL,NAP,S,APPS,NAP,NLA12_NH-108,NO,Small,Small,SMALL,2
NLA12_NH-109,1,2012-07-19,-47.59,-6.93,7.82,NA,NA,2012,654350,YES,-0.153138047,0,0,-2,-2,Yes,0,0,-1,0,422.83,18.9,0.702848873,42.98763,-72.07356,1.276461804,2.627191694,MAN-MADE,NAP,R,APPS,NAP,NLA12_NH-109,NO,Small,Small,SMALL,1
NLA12_NH-111,1,2012-07-17,-45.25,-6.56,7.27,NA,NA,2012,626840,YES,-0.389358149,0,0,-2,-2,Yes,0,0,-1,0,76.02,5.5,0.407982797,43.37859,-70.98519,0.74036269,1.886603514,MAN-MADE,NAP,S,APPS,NAP,NLA12_NH-111,NO,Small,Small,SMALL,2
NLA12_NH-112,1,2012-06-21,-50.02,-7.54,10.27,NA,NA,2012,626960,YES,-1.578064096,0,0,-2,-2,Yes,0,0,-1,0,370.78,4.1,0.026420188,42.7396,-71.93807,0.612783857,2.570286023,MAN-MADE,NAP,S,APPS,NAP,NLA12_NH-112,NO,Small,Small,SMALL,2
NLA12_NH-112,2,2012-07-26,-44.53,-6.07,4,NA,NA,2012,648470,YES,-1.578064096,0,0,-2,-2,Yes,0,0,-1,0,370.78,4.1,0.026420188,42.73962,-71.93801,0.612783857,2.570286023,MAN-MADE,NAP,S,APPS,NAP,NLA12_NH-112,NO,Small,Small,SMALL,2
NLA12_NH-115,1,2012-08-07,-45.78,-5.79,0.55,NA,NA,2012,648980,YES,-0.691338561,0,0,-2,-2,No,0,0,-1,0,132.13,4.3,0.203545469,43.80791,-71.1195,0.633468456,2.124275932,NATURAL,NAP,S,APPS,NAP,NLA12_NH-115,NO,Small,Small,SMALL,2
NLA12_NH-R04,1,2012-06-18,-49.81,-7.71,11.84,NA,NA,2012,631430,YES,-0.37452943,0,0,-2,-2,No,0,0,-1,0,352.85,17.3,0.422153671,43.0213,-72.01741,1.238046103,2.5488192,NATURAL,NAP,R,APPS,NAP,NLA06608-NH4912,YES,Small,Small,SMALL,1
NLA12_NJ-101,1,2012-07-13,-36.12,-5.54,8.2,NA,NA,2012,639050,YES,-0.643513782,0.001510391,0.125,-1.938909924,-0.869666232,Yes,0.7,0.72,-0.096910013,0.235528447,183.07,5.6,0.227240752,40.95063,-74.7837,0.748188027,2.264983012,MAN-MADE,NAP,T,APPS,NAP,NLA06608-0781,YES,Large,Med,LARGE,3
NLA12_NJ-101,2,2012-09-19,-31.5,-4.18,1.91,NA,NA,2012,667070,YES,-0.643513782,0,0,-2,-2,Yes,0,0,-1,0,183.07,2.8,0.227240752,40.94994,-74.78405,0.447158031,2.264983012,MAN-MADE,NAP,T,APPS,NAP,NLA06608-0781,YES,Small,Small,SMALL,3
NLA12_NJ-102,1,2012-07-12,-25.06,-2.79,-2.71,NA,NA,2012,639020,YES,-0.184897101,0,0,-2,-2,Yes,0,0,-1,0,238.18,2.4,0.65328532,40.92558,-74.53292,0.380211242,2.378724862,MAN-MADE,NAP,T,APPS,NAP,NLA06608-0077,YES,Small,Small,SMALL,3
NLA12_NJ-103,1,2012-09-21,-26.29,-4.11,6.63,NA,NA,2012,644120,YES,-0.645069945,0.008406108,0.066666667,-1.735038035,-1.115393419,Yes,0.5,4,-0.22184875,0.698970004,97.81,7.5,0.226427961,40.75911,-74.2868,0.875061263,1.994800899,MAN-MADE,SAP,T,APPS,SAP,NLA06608-0761,YES,Med,Large,LARGE,3
